"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","32,32","33,21","33,40","32,32","180,62K","-3,23%"
"12/05/2026","33,40","33,50","33,97","32,96","95,47K","0,60%"
"11/05/2026","33,20","34,26","34,48","33,20","203,70K","-3,77%"
"08/05/2026","34,50","34,70","34,70","34,13","91,14K","-1,43%"
"07/05/2026","35,00","34,88","35,25","34,65","221,33K","1,71%"
"06/05/2026","34,41","33,95","34,87","33,35","218,67K","3,64%"
"05/05/2026","33,20","33,57","33,89","32,90","93,86K","-2,35%"
"04/05/2026","34,00","33,55","34,90","33,50","83,60K","1,77%"
"30/04/2026","33,41","34,00","34,01","33,41","245,68K","-2,34%"
"29/04/2026","34,21","34,96","34,96","34,00","353,14K","-2,12%"
"28/04/2026","34,95","35,11","35,50","34,95","172,56K","-0,71%"
"27/04/2026","35,20","35,20","35,80","35,00","53,54K","-0,28%"
"24/04/2026","35,30","35,21","35,98","34,92","371,59K","-0,84%"
"23/04/2026","35,60","35,36","35,94","35,36","112,28K","0,28%"
"22/04/2026","35,50","36,00","36,00","34,00","204,61K","-1,39%"
"21/04/2026","36,00","35,40","36,40","35,40","399,40K","1,12%"
"20/04/2026","35,60","35,36","35,90","35,11","592,67K","-1,39%"
"17/04/2026","36,10","35,20","37,60","35,20","1,69M","1,98%"
"16/04/2026","35,40","35,45","36,20","35,03","143,76K","0,31%"
"15/04/2026","35,29","35,75","36,60","35,29","614,95K","-0,45%"
"14/04/2026","35,45","34,52","35,90","34,52","704,77K","4,11%"
"13/04/2026","34,05","33,64","34,30","33,00","932,73K","-1,90%"
"10/04/2026","34,71","34,00","35,50","34,00","631,54K","1,34%"
"09/04/2026","34,25","34,39","34,39","33,40","214,61K","-0,67%"
"08/04/2026","34,48","33,20","34,48","33,08","1,28M","9,50%"
"07/04/2026","31,49","32,30","32,30","31,01","178,26K","-0,03%"
"06/04/2026","31,50","31,95","33,00","31,50","678,06K","-0,63%"
"03/04/2026","31,70","32,55","32,65","31,70","473,38K","-1,71%"
"02/04/2026","32,25","31,00","33,43","31,00","1,23M","2,19%"
"01/04/2026","31,56","29,50","32,05","29,50","1,01M","8,27%"
"31/03/2026","29,15","29,69","29,69","29,00","226,97K","-1,19%"
"30/03/2026","29,50","29,49","29,80","29,40","37,93K","-1,63%"
"27/03/2026","29,99","29,60","29,99","29,16","906,78K","3,06%"
"26/03/2026","29,10","29,96","29,96","29,10","101,51K","-3,00%"
"25/03/2026","30,00","29,62","30,00","29,00","299,74K","1,69%"
"24/03/2026","29,50","29,79","29,79","28,83","355,79K","1,51%"
"19/03/2026","29,06","29,90","30,00","29,00","123,00K","-2,97%"
"18/03/2026","29,95","29,20","30,98","29,20","137,64K","1,94%"
"17/03/2026","29,38","29,00","29,38","29,00","38,23K","2,37%"
"16/03/2026","28,70","28,45","28,70","28,00","69,92K","-0,31%"
"13/03/2026","28,79","29,00","29,20","28,05","141,72K","-0,72%"
"12/03/2026","29,00","29,80","29,80","28,51","87,20K","-0,99%"
"11/03/2026","29,29","29,28","29,50","29,00","86,94K","1,00%"
"10/03/2026","29,00","29,90","29,90","29,00","271,07K","3,57%"
