"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","343,00","350,00","350,00","340,20","0,20K","-1,99%"
"11/05/2026","349,95","342,15","349,95","342,15","0,14K","-0,01%"
"08/05/2026","350,00","350,00","350,00","336,60","0,28K","0,00%"
"07/05/2026","350,00","350,00","350,00","350,00","0,03K","0,00%"
"06/05/2026","350,00","347,00","350,00","347,00","0,11K","0,29%"
"05/05/2026","349,00","347,00","349,00","347,00","0,05K","-0,29%"
"04/05/2026","350,00","350,00","350,00","350,00","0,26K","0,00%"
"30/04/2026","350,00","348,50","350,00","348,50","0,05K","0,00%"
"29/04/2026","350,00","350,00","350,00","347,00","0,11K","0,01%"
"28/04/2026","349,95","350,00","350,00","347,00","0,25K","-0,01%"
"27/04/2026","350,00","350,00","350,00","347,00","0,34K","0,00%"
"24/04/2026","350,00","350,00","350,00","350,00","0,18K","0,00%"
"23/04/2026","350,00","350,00","350,00","350,00","0,06K","0,00%"
"22/04/2026","350,00","351,00","351,00","350,00","0,20K","-1,39%"
"21/04/2026","354,95","350,05","355,00","350,05","0,03K","-0,57%"
"20/04/2026","357,00","359,00","359,00","356,50","0,04K","-0,83%"
"17/04/2026","360,00","350,00","360,00","345,00","1,02K","2,86%"
"16/04/2026","350,00","350,00","350,00","345,00","0,02K","0,00%"
"15/04/2026","350,00","343,00","350,00","343,00","0,06K","0,00%"
"14/04/2026","350,00","340,30","350,00","340,30","0,04K","0,00%"
"13/04/2026","350,00","350,00","350,00","349,00","0,20K","0,00%"
"10/04/2026","350,00","341,00","350,00","341,00","0,18K","-1,10%"
"09/04/2026","353,90","352,00","355,00","350,00","0,16K","1,11%"
"08/04/2026","350,00","338,85","350,90","338,85","0,61K","3,32%"
"07/04/2026","338,75","335,00","338,75","333,15","0,06K","0,82%"
"06/04/2026","336,00","338,35","338,85","336,00","0,12K","-0,71%"
"03/04/2026","338,40","338,50","338,50","333,00","0,09K","0,12%"
"02/04/2026","338,00","334,00","338,90","333,00","0,32K","-0,15%"
"01/04/2026","338,50","335,00","338,90","335,00","0,61K","1,04%"
"31/03/2026","335,00","337,00","337,00","335,00","0,02K","0,00%"
"30/03/2026","335,00","336,00","336,95","335,00","0,07K","-0,56%"
"27/03/2026","336,90","337,50","337,50","332,00","0,10K","0,57%"
"26/03/2026","335,00","335,00","337,40","335,00","0,12K","-0,74%"
"25/03/2026","337,50","333,00","337,50","333,00","0,10K","0,07%"
"24/03/2026","337,25","337,25","337,25","330,00","0,46K","0,51%"
"19/03/2026","335,55","337,50","337,50","335,50","0,03K","-0,71%"
"18/03/2026","337,95","337,95","337,95","337,95","0,02K","0,88%"
"17/03/2026","335,00","336,00","336,90","335,00","0,01K","-0,30%"
"16/03/2026","336,00","338,85","338,85","336,00","0,12K","-0,59%"
"13/03/2026","338,00","339,90","339,90","338,00","0,15K","0,90%"
"12/03/2026","335,00","336,00","336,00","333,00","0,18K","0,60%"
"11/03/2026","333,00","336,00","336,00","333,00","0,12K","-0,89%"
"10/03/2026","336,00","330,60","336,00","330,60","0,33K","-0,03%"
"09/03/2026","336,10","338,00","338,00","335,10","0,08K","-1,13%"
"06/03/2026","339,95","340,00","340,00","335,00","0,13K","1,48%"
"05/03/2026","335,00","337,50","340,00","335,00","0,24K","-0,74%"
"04/03/2026","337,50","332,00","337,50","330,00","0,22K","2,12%"
"03/03/2026","330,50","335,00","335,00","330,50","0,98K","-0,45%"
"02/03/2026","332,00","338,00","338,95","332,00","2,30K","-2,35%"
"27/02/2026","340,00","343,00","343,00","340,00","0,43K","-0,87%"
"26/02/2026","343,00","343,00","343,00","340,00","0,04K","0,15%"
"25/02/2026","342,50","342,45","343,00","340,10","0,36K","0,00%"
"24/02/2026","342,50","340,00","344,00","340,00","0,11K","-1,44%"
"23/02/2026","347,50","347,50","347,50","347,50","0,00K","-0,14%"
"20/02/2026","348,00","348,90","348,90","345,00","0,01K","-0,29%"
"19/02/2026","349,00","340,00","350,00","340,00","0,15K","3,56%"
"18/02/2026","337,00","340,00","340,00","337,00","0,02K","-0,88%"
"17/02/2026","340,00","340,00","340,00","339,90","0,49K","0,00%"
"16/02/2026","340,00","340,00","340,00","340,00","0,19K","0,00%"
"13/02/2026","340,00","338,00","340,00","338,00","0,09K","0,89%"
"12/02/2026","337,00","332,00","338,00","331,50","0,30K","-0,30%"
"11/02/2026","338,00","340,00","340,00","338,00","0,11K","-0,29%"
"10/02/2026","339,00","333,00","339,00","333,00","0,14K","1,19%"
"09/02/2026","335,00","335,00","335,50","335,00","0,09K","1,36%"
"06/02/2026","330,50","339,00","339,00","330,50","0,16K","0,09%"
"05/02/2026","330,20","330,10","339,50","330,10","2,57K","-2,88%"
"04/02/2026","340,00","341,00","341,00","335,20","0,10K","0,15%"
"03/02/2026","339,50","335,00","339,50","335,00","0,06K","1,34%"
"02/02/2026","335,00","339,80","340,00","335,00","0,29K","-0,98%"
"30/01/2026","338,30","340,00","340,00","338,15","0,07K","0,09%"
"29/01/2026","338,00","330,00","344,00","330,00","1,96K","-1,74%"
"28/01/2026","344,00","342,00","344,00","341,00","0,35K","0,00%"
"27/01/2026","344,00","340,00","344,95","340,00","0,04K","0,58%"
"26/01/2026","342,00","346,85","346,85","342,00","1,04K","-1,01%"
"23/01/2026","345,50","349,00","349,00","345,50","0,02K","-0,43%"
"22/01/2026","347,00","345,05","347,00","345,05","0,18K","0,61%"
"21/01/2026","344,90","347,40","348,00","344,90","0,32K","-0,03%"
"20/01/2026","345,00","345,20","345,20","345,00","0,61K","-0,04%"
"19/01/2026","345,15","349,90","349,90","345,15","0,46K","-0,25%"
"16/01/2026","346,00","345,15","347,80","345,15","0,13K","0,25%"
"15/01/2026","345,15","347,90","347,90","345,15","0,58K","-0,52%"
"13/01/2026","346,95","345,30","347,90","345,20","0,07K","0,13%"
"12/01/2026","346,50","348,00","349,50","346,00","0,10K","-0,40%"
"09/01/2026","347,90","350,00","350,00","345,00","0,06K","-0,32%"
"08/01/2026","349,00","349,90","349,90","345,00","0,17K","1,07%"
"07/01/2026","345,30","350,00","350,00","345,00","0,14K","0,96%"
"06/01/2026","342,00","340,00","348,00","339,80","0,19K","1,18%"
"05/01/2026","338,00","338,00","338,00","337,00","0,27K","0,33%"
"02/01/2026","336,90","337,80","337,80","336,00","0,30K","-0,03%"
"31/12/2025","337,00","337,00","337,00","336,00","0,07K","0,30%"
"30/12/2025","336,00","330,50","336,00","330,50","0,33K","0,24%"
"29/12/2025","335,20","335,95","335,95","334,00","0,56K","0,06%"
"26/12/2025","335,00","336,00","336,00","334,05","0,48K","-0,15%"
"25/12/2025","335,50","334,00","335,50","331,30","0,82K","0,15%"
"24/12/2025","335,00","335,50","335,50","334,00","0,22K","-0,30%"
"23/12/2025","336,00","337,80","337,80","334,00","0,17K","0,30%"
"22/12/2025","335,00","337,80","337,80","334,00","0,19K","0,00%"
"19/12/2025","335,00","337,00","337,00","334,00","0,24K","0,60%"
"18/12/2025","333,00","336,40","336,40","333,00","0,11K","-0,89%"
"17/12/2025","336,00","337,00","337,00","328,00","0,30K","1,82%"
"16/12/2025","330,00","329,00","338,00","328,50","0,12K","0,58%"
"15/12/2025","328,10","333,95","334,00","328,10","0,34K","-1,47%"
"12/12/2025","333,00","331,10","334,00","331,10","0,05K","0,00%"
"11/12/2025","333,00","332,00","337,95","332,00","0,06K","0,91%"
"10/12/2025","330,00","328,00","332,00","328,00","0,48K","0,61%"
"09/12/2025","328,00","328,50","329,90","326,00","0,50K","0,89%"
"08/12/2025","325,10","326,50","328,95","325,00","0,34K","-0,85%"
"05/12/2025","327,90","326,55","327,90","326,55","0,06K","0,43%"
"04/12/2025","326,50","329,80","329,80","326,50","0,01K","0,15%"
"03/12/2025","326,00","329,00","329,00","325,30","0,04K","0,25%"
"02/12/2025","325,20","326,30","326,30","325,20","0,22K","-1,16%"
"01/12/2025","329,00","327,10","329,00","326,05","0,38K","0,46%"
"28/11/2025","327,50","327,20","329,85","327,20","0,11K","-0,71%"
"27/11/2025","329,85","329,90","329,90","329,85","0,04K","0,56%"
"26/11/2025","328,00","327,20","328,00","327,05","0,60K","0,24%"
"25/11/2025","327,20","328,00","329,90","327,20","0,22K","-0,24%"
"24/11/2025","328,00","327,10","328,00","327,10","0,16K","0,28%"
"21/11/2025","327,10","327,20","328,90","327,00","0,73K","-0,34%"
"20/11/2025","328,20","328,00","328,20","328,00","0,14K","0,06%"
"19/11/2025","328,00","330,00","330,00","328,00","0,61K","-0,30%"
"17/11/2025","329,00","328,55","330,00","328,55","0,13K","-1,73%"
"14/11/2025","334,80","331,05","334,80","328,00","0,61K","-0,31%"
"13/11/2025","335,85","336,40","336,40","334,00","0,02K","-0,34%"
"12/11/2025","337,00","332,40","337,45","330,00","0,18K","1,40%"
"11/11/2025","332,35","338,25","338,30","332,35","0,09K","-1,38%"
"10/11/2025","337,00","335,35","337,00","331,40","0,32K","1,81%"
"07/11/2025","331,00","336,00","336,00","331,00","0,29K","-1,16%"
"05/11/2025","334,90","338,00","338,00","330,50","0,37K","-1,18%"
"04/11/2025","338,90","338,00","339,00","338,00","0,02K","-0,03%"
"03/11/2025","339,00","335,00","340,00","331,05","0,15K","1,36%"
"31/10/2025","334,45","334,00","334,45","330,10","0,40K","0,13%"
"30/10/2025","334,00","334,45","334,45","332,00","0,13K","1,52%"
"29/10/2025","329,00","330,10","334,00","329,00","0,21K","-0,33%"
"28/10/2025","330,10","334,45","334,45","330,00","0,09K","0,03%"
"27/10/2025","330,00","334,95","334,95","330,00","0,60K","0,00%"
"24/10/2025","330,00","335,00","335,00","330,00","0,20K","-2,58%"
"23/10/2025","338,75","330,10","338,75","330,00","0,03K","-0,21%"
