"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"08/05/2026","1.240,00","1.240,00","1.240,00","1.240,00","0,00K","3,33%"
"07/05/2026","1.200,00","1.200,00","1.200,00","1.200,00","0,00K","-3,23%"
"06/05/2026","1.240,00","1.240,00","1.240,00","1.240,00","0,00K","0,40%"
"04/05/2026","1.235,00","1.235,00","1.235,00","1.235,00","0,00K","2,92%"
"30/04/2026","1.200,00","1.200,00","1.200,00","1.200,00","0,01K","0,00%"
"28/04/2026","1.200,00","1.200,00","1.200,00","1.200,00","0,00K","0,00%"
"23/04/2026","1.200,00","1.200,00","1.200,00","1.200,00","0,01K","-0,08%"
"22/04/2026","1.201,00","1.201,00","1.201,00","1.201,00","0,01K","0,08%"
"21/04/2026","1.200,00","1.200,00","1.200,00","1.200,00","1,35K","1,69%"
"20/04/2026","1.180,00","1.180,00","1.180,00","1.180,00","0,03K","5,36%"
"17/04/2026","1.120,00","1.120,00","1.120,00","1.120,00","2,50K","0,00%"
"16/04/2026","1.120,00","1.120,00","1.120,00","1.120,00","1,53K","-5,08%"
"15/04/2026","1.180,00","1.180,00","1.180,00","1.180,00","0,07K","-4,45%"
"10/04/2026","1.235,00","1.235,00","1.235,00","1.235,00","0,04K","0,00%"
"09/04/2026","1.235,00","1.235,00","1.235,00","1.235,00","0,05K","-0,80%"
"07/04/2026","1.245,00","1.245,00","1.245,00","1.245,00","0,00K","-0,08%"
"06/04/2026","1.246,00","1.246,00","1.246,00","1.246,00","0,00K","0,00%"
"02/04/2026","1.246,00","1.246,00","1.246,00","1.246,00","0,00K","-0,16%"
"01/04/2026","1.248,00","1.248,00","1.248,00","1.248,00","0,00K","-0,08%"
"30/03/2026","1.249,00","1.249,00","1.249,00","1.249,00","0,04K","5,85%"
"27/03/2026","1.180,00","1.180,00","1.180,00","1.180,00","0,00K","5,92%"
"26/03/2026","1.114,00","1.114,00","1.114,00","1.114,00","7,39K","-5,99%"
"25/03/2026","1.185,00","1.185,00","1.185,00","1.185,00","0,06K","-5,95%"
"24/03/2026","1.260,00","1.260,00","1.260,00","1.260,00","0,00K","-2,25%"
"19/03/2026","1.289,00","1.289,00","1.289,00","1.289,00","0,00K","2,30%"
"10/03/2026","1.260,00","1.260,00","1.260,00","1.260,00","0,02K","1,45%"
"06/03/2026","1.242,00","1.242,00","1.242,00","1.242,00","0,01K","5,97%"
"05/03/2026","1.172,00","1.172,00","1.172,00","1.172,00","0,00K","-5,94%"
"26/02/2026","1.246,00","1.246,00","1.246,00","1.246,00","0,00K","0,00%"
"23/02/2026","1.246,00","1.246,00","1.246,00","1.246,00","0,00K","0,08%"
"12/02/2026","1.245,00","1.245,00","1.245,00","1.245,00","0,00K","0,00%"
"11/02/2026","1.245,00","1.245,00","1.245,00","1.245,00","0,00K","1,55%"
"29/01/2026","1.226,00","1.226,00","1.226,00","1.226,00","0,01K","0,00%"
"26/01/2026","1.226,00","1.226,00","1.226,00","1.226,00","0,01K","0,00%"
"23/01/2026","1.226,00","1.226,00","1.226,00","1.226,00","0,00K","-0,97%"
