"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/05/2026","7.300,0","7.300,0","7.300,0","7.300,0","0,00K","0,14%"
"11/05/2026","7.290,0","7.290,0","7.290,0","7.290,0","0,01K","-0,55%"
"08/05/2026","7.330,0","7.330,0","7.330,0","7.330,0","0,02K","0,88%"
"07/05/2026","7.266,0","7.266,0","7.266,0","7.266,0","0,01K","6,00%"
"05/05/2026","6.855,0","6.855,0","6.855,0","6.855,0","0,00K","-5,97%"
"04/05/2026","7.290,0","7.290,0","7.290,0","7.290,0","0,00K","5,65%"
"20/04/2026","6.900,0","6.900,0","6.900,0","6.900,0","0,01K","0,00%"
"17/04/2026","6.900,0","6.900,0","6.900,0","6.900,0","0,05K","-4,15%"
"13/04/2026","7.199,0","7.199,0","7.199,0","7.199,0","0,02K","2,86%"
"07/04/2026","6.999,0","6.999,0","6.999,0","6.999,0","0,00K","-0,30%"
"31/03/2026","7.020,0","7.020,0","7.020,0","7.020,0","0,00K","-0,43%"
"30/03/2026","7.050,0","7.050,0","7.050,0","7.050,0","0,00K","3,07%"
"26/03/2026","6.840,0","6.840,0","6.840,0","6.840,0","0,01K","4,35%"
"25/03/2026","6.555,0","6.555,0","6.555,0","6.555,0","0,00K","-4,17%"
"11/03/2026","6.840,0","6.840,0","6.840,0","6.840,0","0,01K","0,00%"
"25/02/2026","6.840,0","6.840,0","6.840,0","6.840,0","0,00K","5,95%"
"24/02/2026","6.456,0","6.456,0","6.456,0","6.456,0","0,00K","0,19%"
"23/02/2026","6.444,0","6.444,0","6.444,0","6.444,0","0,00K","-6,00%"
"13/02/2026","6.855,0","6.855,0","6.855,0","6.855,0","0,02K","5,46%"
"12/02/2026","6.500,0","6.500,0","6.500,0","6.500,0","0,04K","1,40%"
"11/02/2026","6.410,0","6.410,0","6.410,0","6.410,0","0,01K","-1,38%"
"10/02/2026","6.500,0","6.500,0","6.500,0","6.500,0","0,00K","1,55%"
