"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","448,00","450,10","451,00","448,00","0,64K","-2,40%"
"12/05/2026","459,00","453,95","460,00","450,50","1,21K","0,90%"
"11/05/2026","454,90","453,00","454,90","451,00","0,41K","0,00%"
"08/05/2026","454,90","450,00","455,00","449,50","0,48K","-0,01%"
"07/05/2026","454,95","450,00","459,00","450,00","0,20K","-0,88%"
"06/05/2026","459,00","445,00","459,00","445,00","0,95K","2,00%"
"05/05/2026","450,00","445,00","450,00","444,90","1,17K","0,22%"
"04/05/2026","449,00","440,00","449,00","440,00","1,93K","3,65%"
"30/04/2026","433,20","440,00","442,95","433,20","2,69K","-2,21%"
"29/04/2026","443,00","443,00","443,25","442,00","0,70K","0,64%"
"28/04/2026","440,20","440,00","443,00","440,00","2,37K","0,39%"
"27/04/2026","438,50","425,20","438,50","425,20","1,21K","3,18%"
"24/04/2026","425,00","425,00","426,00","424,50","16,79K","0,00%"
"23/04/2026","425,00","425,00","426,45","424,00","0,27K","0,47%"
"22/04/2026","423,00","427,85","427,85","422,00","0,34K","0,48%"
"21/04/2026","421,00","427,95","427,95","420,20","0,56K","0,43%"
"20/04/2026","419,20","424,90","425,00","419,20","1,70K","-1,34%"
"17/04/2026","424,90","419,10","425,00","419,10","2,33K","1,65%"
"16/04/2026","418,00","428,00","428,00","418,00","2,47K","-0,48%"
"15/04/2026","420,00","424,00","428,00","420,00","2,52K","-0,71%"
"14/04/2026","423,00","423,00","423,00","422,00","0,80K","0,01%"
"13/04/2026","422,95","419,95","424,00","415,00","0,93K","0,58%"
"10/04/2026","420,50","420,00","424,90","415,10","0,53K","1,30%"
"09/04/2026","415,10","419,00","427,00","415,05","0,88K","0,51%"
"08/04/2026","413,00","419,00","419,00","412,00","7,14K","-0,48%"
"07/04/2026","415,00","418,90","419,50","415,00","0,19K","-0,72%"
"06/04/2026","418,00","419,70","419,90","410,00","0,16K","3,21%"
"03/04/2026","405,00","420,00","420,00","405,00","5,23K","-3,11%"
"02/04/2026","418,00","418,95","418,95","412,10","0,29K","0,24%"
"01/04/2026","417,00","417,90","421,90","408,30","24,11K","2,98%"
"31/03/2026","404,95","415,00","419,80","404,95","2,46K","-2,42%"
"30/03/2026","415,00","425,00","425,00","411,10","0,91K","3,49%"
"27/03/2026","401,00","434,70","434,70","401,00","10,14K","-4,52%"
"26/03/2026","420,00","431,50","435,00","420,00","2,86K","-2,33%"
"25/03/2026","430,00","427,10","435,00","427,10","0,15K","-0,35%"
"24/03/2026","431,50","436,00","446,00","430,00","13,66K","0,12%"
"19/03/2026","431,00","438,50","438,50","430,00","0,65K","-0,92%"
"18/03/2026","435,00","438,90","438,90","435,00","0,05K","0,00%"
"17/03/2026","435,00","439,80","439,80","434,00","0,76K","0,00%"
"16/03/2026","435,00","425,00","435,00","423,00","0,65K","3,33%"
"13/03/2026","421,00","435,00","438,50","420,00","81,99K","-0,94%"
"12/03/2026","425,00","430,00","430,00","425,00","10,46K","-1,19%"
"11/03/2026","430,10","430,00","431,00","426,00","0,07K","1,68%"
"10/03/2026","423,00","426,00","430,00","423,00","0,31K","-0,21%"
"09/03/2026","423,90","425,00","425,00","416,10","0,93K","-1,30%"
"06/03/2026","429,50","431,90","433,00","425,00","25,78K","-0,54%"
"05/03/2026","431,85","420,00","432,95","420,00","0,14K","3,81%"
"04/03/2026","416,00","415,05","433,90","415,05","1,06K","-1,65%"
"03/03/2026","423,00","415,00","426,00","413,00","1,07K","-1,17%"
"02/03/2026","428,00","420,00","430,00","411,20","1,22K","-0,70%"
"27/02/2026","431,00","434,00","434,00","426,90","0,71K","1,15%"
"26/02/2026","426,10","429,00","429,00","424,90","1,09K","3,65%"
"25/02/2026","411,10","439,75","439,75","411,10","18,24K","-5,49%"
"24/02/2026","435,00","435,00","439,70","435,00","0,36K","-0,68%"
"23/02/2026","438,00","439,80","439,80","430,00","1,62K","-0,45%"
"20/02/2026","440,00","440,00","440,00","440,00","0,04K","0,00%"
"19/02/2026","440,00","435,00","440,00","435,00","0,18K","1,15%"
"18/02/2026","435,00","439,00","444,00","435,00","2,96K","-1,14%"
"17/02/2026","440,00","439,00","445,00","439,00","0,09K","0,53%"
"16/02/2026","437,70","443,00","443,00","436,00","1,41K","-0,75%"
"13/02/2026","441,00","444,00","444,00","441,00","3,81K","-0,66%"
"12/02/2026","443,95","444,90","444,90","443,95","0,35K","-0,01%"
"11/02/2026","444,00","444,90","444,90","441,00","11,13K","0,91%"
"10/02/2026","440,00","441,00","444,90","440,00","0,65K","0,00%"
"09/02/2026","440,00","440,00","445,00","440,00","0,29K","0,00%"
"06/02/2026","440,00","446,70","446,70","437,00","0,74K","0,00%"
"05/02/2026","440,00","447,00","447,00","440,00","0,69K","0,00%"
"04/02/2026","440,00","449,00","449,00","440,00","0,19K","-1,76%"
"03/02/2026","447,90","448,00","448,50","445,00","0,15K","-0,02%"
"02/02/2026","448,00","450,00","450,00","440,00","0,45K","-0,20%"
"30/01/2026","448,90","450,00","450,00","440,00","15,52K","-0,24%"
"29/01/2026","450,00","442,00","450,00","435,10","15,25K","2,27%"
"28/01/2026","440,00","442,00","442,00","431,05","0,35K","1,36%"
"27/01/2026","434,10","433,00","438,50","431,00","3,30K","0,03%"
"26/01/2026","433,95","433,00","439,00","433,00","0,70K","-1,80%"
"23/01/2026","441,90","441,90","441,90","435,00","0,20K","1,59%"
"22/01/2026","435,00","440,00","440,00","435,00","0,35K","-0,68%"
"21/01/2026","438,00","440,00","443,00","438,00","0,56K","-0,23%"
"20/01/2026","439,00","445,00","445,00","438,00","1,42K","-1,46%"
"19/01/2026","445,50","445,00","448,00","445,00","0,52K","-0,56%"
"16/01/2026","448,00","444,00","448,00","444,00","0,20K","0,67%"
