"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","130,00","131,00","131,00","130,00","5,17K","0,00%"
"12/05/2026","130,00","130,00","131,00","130,00","0,25K","0,00%"
"11/05/2026","130,00","131,25","131,25","130,00","3,84K","-1,37%"
"08/05/2026","131,80","132,65","132,65","130,60","0,26K","0,92%"
"07/05/2026","130,60","130,50","132,00","130,50","0,47K","0,46%"
"06/05/2026","130,00","132,95","132,95","130,00","2,79K","0,00%"
"05/05/2026","130,00","134,20","134,20","130,00","4,58K","-2,91%"
"04/05/2026","133,90","131,05","133,90","131,05","4,08K","2,92%"
"30/04/2026","130,10","132,40","132,40","130,10","22,94K","-1,29%"
"29/04/2026","131,80","132,35","132,40","130,55","125,45K","-0,45%"
"28/04/2026","132,40","132,50","132,50","131,20","0,72K","0,30%"
"27/04/2026","132,00","133,05","133,05","131,20","1,22K","0,76%"
"24/04/2026","131,00","132,00","133,00","131,00","113,84K","-0,53%"
"23/04/2026","131,70","133,00","133,00","131,25","2,28K","-0,79%"
"22/04/2026","132,75","132,00","133,00","131,00","1,14K","0,57%"
"21/04/2026","132,00","130,00","133,00","130,00","3,37K","1,93%"
"20/04/2026","129,50","133,85","134,00","129,00","20,19K","-2,70%"
"17/04/2026","133,10","135,90","138,90","130,00","278,29K","-1,41%"
"16/04/2026","135,00","137,00","137,00","134,00","1,09K","-0,66%"
"15/04/2026","135,90","136,00","136,00","132,00","4,77K","-0,04%"
"14/04/2026","135,95","134,00","136,00","133,30","1,29K","2,03%"
"13/04/2026","133,25","135,00","135,00","132,60","2,11K","-2,02%"
"10/04/2026","136,00","136,00","136,00","135,00","3,77K","0,29%"
"09/04/2026","135,60","136,00","138,90","134,15","9,23K","0,44%"
"08/04/2026","135,00","136,00","138,70","134,25","12,91K","0,00%"
"07/04/2026","135,00","137,90","137,90","134,10","0,20K","-2,17%"
"06/04/2026","138,00","137,90","138,00","133,90","75,42K","0,00%"
"03/04/2026","138,00","134,50","138,00","132,70","1,55K","1,47%"
"02/04/2026","136,00","134,25","136,00","131,30","1,92K","1,12%"
"01/04/2026","134,50","134,00","134,50","131,20","1,23K","1,89%"
"31/03/2026","132,00","134,50","134,50","130,10","1,25K","-2,04%"
"30/03/2026","134,75","132,50","134,75","131,00","1,45K","1,70%"
"27/03/2026","132,50","133,85","133,85","131,10","20,12K","0,38%"
"26/03/2026","132,00","131,10","134,90","131,10","10,53K","-2,94%"
"25/03/2026","136,00","132,90","136,00","129,00","9,25K","5,26%"
"24/03/2026","129,20","131,60","131,60","129,20","1,50K","-1,60%"
"19/03/2026","131,30","131,40","131,40","129,00","1,02K","0,23%"
"18/03/2026","131,00","128,40","131,60","128,40","0,96K","1,55%"
"17/03/2026","129,00","131,80","131,80","128,55","3,29K","0,00%"
"16/03/2026","129,00","129,00","130,00","128,15","0,53K","0,39%"
"13/03/2026","128,50","131,50","131,50","128,50","13,99K","-1,76%"
"12/03/2026","130,80","132,00","132,00","129,00","2,09K","-0,15%"
"11/03/2026","131,00","132,80","132,80","129,30","5,34K","1,39%"
"10/03/2026","129,20","130,10","133,00","129,20","11,25K","0,94%"
"09/03/2026","128,00","130,00","131,80","128,00","4,97K","-0,78%"
"06/03/2026","129,00","140,00","140,00","129,00","76,69K","-6,42%"
"05/03/2026","137,85","139,80","139,90","135,05","11,50K","2,34%"
"04/03/2026","134,70","130,00","134,90","130,00","64,25K","9,07%"
"03/03/2026","123,50","133,00","134,05","123,50","15,35K","-7,84%"
"02/03/2026","134,00","135,05","138,90","131,20","2,98K","-4,29%"
