"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","691,00","693,00","700,00","691,00","21,51K","-0,23%"
"12/05/2026","692,60","690,00","697,90","690,00","3,38K","-0,77%"
"11/05/2026","698,00","700,00","701,00","698,00","12,29K","-0,26%"
"08/05/2026","699,80","699,90","699,90","696,50","10,71K","0,40%"
"07/05/2026","697,00","699,50","702,00","697,00","20,40K","-0,41%"
"06/05/2026","699,90","699,00","705,00","698,20","65,66K","0,20%"
"05/05/2026","698,50","696,50","700,00","690,00","28,55K","0,36%"
"04/05/2026","696,00","695,10","700,00","695,00","15,25K","0,00%"
"30/04/2026","696,00","695,00","700,00","690,10","36,57K","-0,41%"
"29/04/2026","698,90","699,90","700,00","693,00","19,98K","0,98%"
"28/04/2026","692,10","692,00","700,10","692,00","24,85K","0,04%"
"27/04/2026","691,80","697,00","705,00","691,10","22,40K","0,41%"
"24/04/2026","689,00","710,00","710,00","689,00","83,85K","-2,96%"
"23/04/2026","710,00","711,00","715,00","710,00","23,60K","-0,56%"
"22/04/2026","714,00","710,00","717,00","710,00","29,33K","-0,14%"
"21/04/2026","715,00","706,00","716,00","706,00","30,25K","0,70%"
"20/04/2026","710,00","703,00","710,00","703,00","46,60K","-0,70%"
"17/04/2026","715,00","703,00","723,00","701,10","201,68K","1,71%"
"16/04/2026","703,00","702,30","705,00","700,70","34,36K","0,00%"
"15/04/2026","703,00","696,10","708,00","696,10","49,38K","0,40%"
"14/04/2026","700,20","704,00","709,00","700,20","103,27K","0,03%"
"13/04/2026","700,00","705,00","705,00","695,00","32,03K","-1,55%"
