"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/05/2026","229,90","229,90","229,90","229,90","0,00K","0,04%"
"05/05/2026","229,80","229,80","229,80","229,80","0,00K","4,74%"
"04/05/2026","219,40","219,40","219,40","219,40","0,03K","5,99%"
"30/04/2026","207,00","207,00","207,00","207,00","0,01K","-5,91%"
"24/04/2026","220,00","220,00","220,00","220,00","0,00K","-2,22%"
"21/04/2026","225,00","225,00","225,00","225,00","0,00K","0,00%"
"20/04/2026","225,00","225,00","225,00","225,00","0,00K","2,32%"
"17/04/2026","219,90","219,90","219,90","219,90","0,00K","2,28%"
"16/04/2026","215,00","215,00","215,00","215,00","0,00K","-1,04%"
"14/04/2026","217,25","217,25","217,25","217,25","0,01K","5,98%"
"13/04/2026","205,00","205,00","205,00","205,00","0,03K","-5,31%"
"08/04/2026","216,50","216,50","216,50","216,50","0,02K","0,00%"
"07/04/2026","216,50","216,50","216,50","216,50","0,05K","-0,02%"
"06/04/2026","216,55","216,55","216,55","216,55","0,00K","-5,85%"
"31/03/2026","230,00","230,00","230,00","230,00","0,00K","4,07%"
"26/03/2026","221,00","221,00","221,00","221,00","0,00K","-3,91%"
"25/03/2026","230,00","230,00","230,00","230,00","0,07K","-0,88%"
"24/03/2026","232,05","232,05","232,05","232,05","0,04K","-6,00%"
"09/03/2026","246,85","246,85","246,85","246,85","0,11K","5,94%"
"06/03/2026","233,00","233,00","233,00","233,00","0,00K","5,91%"
"04/03/2026","220,00","220,00","220,00","220,00","0,02K","-5,82%"
"03/03/2026","233,60","233,60","233,60","233,60","0,00K","-6,00%"
"02/03/2026","248,50","248,50","248,50","248,50","0,00K","0,00%"
"27/02/2026","248,50","248,50","248,50","248,50","0,01K","1,47%"
"24/02/2026","244,90","244,90","244,90","244,90","0,00K","-0,81%"
"20/02/2026","246,90","246,90","246,90","246,90","0,00K","5,97%"
"18/02/2026","233,00","233,00","233,00","233,00","0,00K","5,91%"
"17/02/2026","220,00","220,00","220,00","220,00","0,03K","-2,22%"
"04/02/2026","225,00","225,00","225,00","225,00","0,00K","0,00%"
"30/01/2026","225,00","225,00","225,00","225,00","0,02K","0,00%"
"27/01/2026","225,00","225,00","225,00","225,00","0,02K","0,00%"
"26/01/2026","225,00","225,00","225,00","225,00","0,01K","0,00%"
"23/01/2026","225,00","225,00","225,00","225,00","0,01K","0,00%"
"21/01/2026","225,00","225,00","225,00","225,00","0,01K","-2,60%"
"16/01/2026","231,00","231,00","231,00","231,00","0,03K","0,43%"
"15/01/2026","230,00","230,00","230,00","230,00","0,03K","-4,96%"
"13/01/2026","242,00","242,00","242,00","242,00","0,01K","-1,22%"
"07/01/2026","245,00","245,00","245,00","245,00","0,00K","-2,00%"
"06/01/2026","250,00","250,00","250,00","250,00","0,02K","0,00%"
"05/01/2026","250,00","250,00","250,00","250,00","0,03K","4,17%"
"02/01/2026","240,00","240,00","240,00","240,00","0,00K","-4,00%"
