"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","620","600","630","582","9,97K","3,33%"
"16/04/2026","600","600","600","600","0,15K","0,00%"
"15/04/2026","600","609","610","582","3,83K","-0,83%"
"14/04/2026","605","588","605","587","0,70K","3,24%"
"13/04/2026","586","605","605","586","0,20K","-3,62%"
"10/04/2026","608","601","608","592","0,05K","-0,16%"
"09/04/2026","609","602","609","600","5,90K","1,00%"
"08/04/2026","603","617","621","603","3,67K","-2,74%"
"06/04/2026","620","600","620","600","9,29K","3,84%"
"03/04/2026","597","615","615","597","5,97K","-3,68%"
"02/04/2026","620","605","620","590","1,11K","0,00%"
"01/04/2026","620","618","620","608","26,44K","-0,16%"
"31/03/2026","621","600","621","598","0,09K","3,50%"
"30/03/2026","600","626","626","600","0,07K","-4,14%"
"27/03/2026","626","626","626","626","3,00K","-0,18%"
"26/03/2026","627","628","628","615","5,00K","2,79%"
"25/03/2026","610","620","620","602","1,62K","1,50%"
"24/03/2026","601","607","620","580","33,00K","-0,99%"
"19/03/2026","607","607","607","607","0,20K","-0,49%"
"18/03/2026","610","595","610","595","0,31K","5,17%"
"17/03/2026","580","575","580","574","0,15K","1,75%"
"16/03/2026","570","595","595","570","2,41K","0,00%"
"13/03/2026","570","594","594","570","2,36K","-6,56%"
"12/03/2026","610","592","610","592","0,05K","3,39%"
"11/03/2026","590","629","629","590","1,50K","-2,80%"
"10/03/2026","607","620","620","607","1,00K","2,71%"
"09/03/2026","591","620","620","591","3,44K","-7,08%"
"06/03/2026","636","615","636","615","1,12K","-0,63%"
"05/03/2026","640","622","640","620","0,69K","2,89%"
"04/03/2026","622","570","622","570","0,15K","9,89%"
"03/03/2026","566","609","609","566","0,22K","-8,71%"
"02/03/2026","620","620","620","620","0,11K","3,33%"
"27/02/2026","600","632","632","600","4,73K","-1,98%"
"26/02/2026","612","611","615","611","0,29K","-4,30%"
"25/02/2026","640","617","640","616","0,26K","2,80%"
"24/02/2026","622","622","622","622","0,16K","0,00%"
"23/02/2026","623","640","640","623","0,03K","0,00%"
"20/02/2026","622","622","622","622","0,03K","-2,80%"
"19/02/2026","640","643","644","640","1,71K","-0,47%"
"18/02/2026","643","626","643","626","0,00K","-0,31%"
"17/02/2026","645","644","645","644","0,16K","0,00%"
"16/02/2026","645","635","645","634","2,96K","1,57%"
"13/02/2026","635","620","635","620","0,66K","1,60%"
"12/02/2026","625","628","628","625","2,04K","3,82%"
"11/02/2026","602","611","611","602","0,09K","-4,14%"
"09/02/2026","628","628","628","628","0,02K","-0,16%"
"06/02/2026","629","600","629","600","2,43K","2,28%"
"05/02/2026","615","597","615","597","0,25K","-2,38%"
"04/02/2026","630","629","630","629","0,32K","0,00%"
"03/02/2026","630","628","630","628","0,43K","0,00%"
"02/02/2026","630","625","630","625","0,32K","0,00%"
"30/01/2026","630","601","630","591","1,30K","4,83%"
"29/01/2026","601","601","601","601","0,00K","-0,83%"
"28/01/2026","606","606","606","606","0,02K","1,00%"
"27/01/2026","600","600","600","600","0,11K","-0,83%"
"26/01/2026","605","608","608","591","1,89K","2,11%"
"23/01/2026","593","608","608","593","0,87K","-3,66%"
"22/01/2026","615","615","615","615","0,00K","0,00%"
"21/01/2026","615","600","615","591","0,28K","2,48%"
"20/01/2026","600","607","607","600","1,32K","-0,99%"
"19/01/2026","606","607","607","606","0,27K","0,00%"
"16/01/2026","606","605","606","605","3,13K","-1,46%"
"15/01/2026","615","620","620","606","1,57K","-1,58%"
"13/01/2026","625","620","625","604","0,32K","0,00%"
"12/01/2026","625","628","628","603","0,34K","0,48%"
"09/01/2026","622","612","629","601","3,27K","1,65%"
"08/01/2026","612","610","612","602","1,14K","0,31%"
"07/01/2026","610","616","616","602","4,80K","-0,81%"
"06/01/2026","615","640","640","615","1,08K","-3,91%"
"05/01/2026","640","639","640","639","0,25K","0,79%"
"02/01/2026","635","630","635","629","1,39K","0,79%"
"31/12/2025","630","630","630","600","4,37K","-0,47%"
"30/12/2025","633","585","633","585","1,57K","3,26%"
"29/12/2025","613","625","625","600","2,71K","2,00%"
"26/12/2025","601","615","629","601","6,38K","-5,21%"
"25/12/2025","634","620","634","620","3,97K","-0,78%"
"24/12/2025","639","610","639","610","1,57K","0,00%"
"23/12/2025","639","606","639","606","1,96K","-0,22%"
"22/12/2025","640","601","640","601","2,28K","0,93%"
"19/12/2025","634","626","640","625","5,08K","-0,94%"
"18/12/2025","640","634","640","620","1,28K","1,11%"
"17/12/2025","633","635","635","616","0,27K","-0,78%"
"16/12/2025","638","641","641","622","0,89K","-0,47%"
"15/12/2025","641","637","643","627","5,56K","0,94%"
"12/12/2025","635","611","639","611","39,47K","7,63%"
"11/12/2025","590","545","590","545","5,22K","5,36%"
"10/12/2025","560","550","560","540","1,74K","-0,88%"
"08/12/2025","565","550","565","550","0,03K","-0,35%"
"05/12/2025","567","550","567","550","1,15K","0,37%"
"04/12/2025","565","540","565","540","0,86K","2,80%"
"03/12/2025","550","550","550","550","0,01K","1,01%"
"02/12/2025","544","521","560","521","0,18K","-4,53%"
"01/12/2025","570","570","570","570","0,10K","9,58%"
"28/11/2025","520","520","520","520","4,32K","-9,55%"
"27/11/2025","575","569","575","569","0,30K","1,21%"
"26/11/2025","568","568","568","568","0,20K","1,43%"
"25/11/2025","560","560","560","560","0,07K","0,90%"
"24/11/2025","555","538","558","538","0,86K","-0,89%"
"21/11/2025","560","550","560","550","1,35K","0,18%"
"20/11/2025","559","559","559","559","0,50K","-0,18%"
"19/11/2025","560","551","565","551","0,10K","-2,90%"
"17/11/2025","577","577","577","577","0,01K","1,18%"
"14/11/2025","570","558","570","558","1,51K","2,37%"
"13/11/2025","557","557","557","557","0,06K","-0,22%"
"12/11/2025","558","558","558","558","0,00K","3,33%"
"11/11/2025","540","560","560","540","0,61K","-1,82%"
"10/11/2025","550","560","560","550","0,02K","1,29%"
"07/11/2025","543","563","563","543","2,00K","-1,27%"
"05/11/2025","550","565","565","550","1,19K","-0,90%"
"04/11/2025","555","551","555","551","0,10K","-0,89%"
"03/11/2025","560","560","560","560","0,15K","1,82%"
"31/10/2025","550","552","564","550","1,97K","0,00%"
"30/10/2025","550","560","560","550","6,06K","-3,34%"
"29/10/2025","569","552","570","552","0,55K","1,79%"
"28/10/2025","559","577","577","552","23,59K","1,64%"
"27/10/2025","550","555","578","550","5,68K","-3,51%"
"24/10/2025","570","565","570","565","5,31K","5,54%"
"23/10/2025","540","574","574","540","1,03K","-3,54%"
"22/10/2025","560","560","560","560","1,26K","0,00%"
"21/10/2025","560","560","574","560","1,22K","-0,71%"
"20/10/2025","564","550","570","550","0,52K","0,71%"
"17/10/2025","560","555","560","555","2,09K","1,82%"
"16/10/2025","550","534","560","534","0,66K","3,19%"
"15/10/2025","533","564","564","533","8,02K","-7,27%"
"14/10/2025","575","531","575","531","0,01K","4,89%"
"13/10/2025","548","588","588","548","1,60K","-0,36%"
"10/10/2025","550","550","550","550","4,29K","-6,78%"
"09/10/2025","590","590","590","590","0,50K","1,90%"
"08/10/2025","579","572","579","572","0,04K","-1,36%"
"07/10/2025","587","583","588","582","0,14K","0,34%"
"06/10/2025","585","585","585","585","0,01K","6,36%"
"03/10/2025","550","566","580","550","6,16K","-1,79%"
"02/10/2025","560","511","568","510","0,72K","1,82%"
"01/10/2025","550","563","563","550","1,05K","-6,94%"
"30/09/2025","591","561","591","561","0,07K","-1,15%"
"29/09/2025","598","574","598","574","0,01K","4,89%"
"26/09/2025","570","580","580","570","3,51K","-3,39%"
"25/09/2025","590","579","590","579","1,56K","0,17%"
"24/09/2025","589","582","589","579","2,10K","0,00%"
"23/09/2025","589","589","589","589","0,00K","-1,82%"
"19/09/2025","600","597","600","583","0,21K","0,65%"
"18/09/2025","596","585","596","578","0,30K","-0,65%"
"17/09/2025","600","586","600","582","0,62K","0,00%"
"16/09/2025","600","600","600","600","0,01K","0,00%"
"15/09/2025","600","612","612","600","0,80K","0,00%"
"12/09/2025","600","600","600","595","0,19K","0,00%"
"11/09/2025","600","600","600","600","0,06K","0,84%"
"10/09/2025","595","614","614","595","0,04K","0,00%"
"09/09/2025","595","596","614","595","2,99K","-0,83%"
"08/09/2025","600","600","600","600","0,50K","0,00%"
"04/09/2025","600","619","619","600","1,78K","-3,23%"
"03/09/2025","620","615","620","615","0,51K","3,33%"
"02/09/2025","600","600","600","600","2,03K","0,00%"
"01/09/2025","600","600","600","600","0,69K","-1,78%"
"29/08/2025","611","620","620","600","0,24K","-1,47%"
"28/08/2025","620","620","620","620","0,01K","0,00%"
"27/08/2025","620","620","620","620","0,00K","-1,59%"
"26/08/2025","630","600","630","596","5,15K","6,06%"
"25/08/2025","594","601","601","590","0,55K","-1,00%"
"22/08/2025","600","601","610","596","1,09K","0,00%"
"19/08/2025","600","600","600","600","0,50K","-3,23%"
"18/08/2025","620","628","628","610","0,01K","-1,43%"
"15/08/2025","629","629","629","629","0,00K","2,28%"
"13/08/2025","615","606","615","606","0,05K","-1,60%"
"12/08/2025","625","619","625","619","2,00K","2,46%"
"11/08/2025","610","610","610","606","0,23K","-0,81%"
"08/08/2025","615","615","615","611","0,15K","-0,65%"
"07/08/2025","619","608","619","608","0,50K","-0,13%"
"06/08/2025","620","611","620","611","4,80K","0,96%"
"05/08/2025","614","614","614","614","0,03K","-0,79%"
"04/08/2025","619","619","619","608","0,27K","0,21%"
"01/08/2025","618","614","618","612","3,00K","0,42%"
"31/07/2025","615","606","616","605","5,33K","0,00%"
"29/07/2025","615","611","618","605","1,37K","0,46%"
"28/07/2025","612","619","619","610","1,18K","-0,68%"
"25/07/2025","616","614","616","610","13,09K","1,02%"
"24/07/2025","610","608","615","606","14,92K","0,33%"
"23/07/2025","608","615","620","608","1,06K","-1,14%"
"22/07/2025","615","603","615","603","3,73K","2,16%"
"21/07/2025","602","579","610","578","39,62K","3,97%"
"18/07/2025","579","556","579","556","100,96K","1,76%"
"17/07/2025","569","570","570","554","21,19K","0,00%"
"16/07/2025","569","560","569","550","16,12K","1,61%"
"15/07/2025","560","564","564","560","0,79K","-0,57%"
"14/07/2025","563","568","570","563","2,21K","-1,19%"
"11/07/2025","570","579","579","570","7,77K","-0,87%"
"10/07/2025","575","593","593","575","2,82K","-3,85%"
"08/07/2025","598","592","598","592","0,00K","-0,33%"
"07/07/2025","600","604","604","591","0,11K","-0,66%"
"04/07/2025","604","604","604","604","0,50K","-0,90%"
"01/07/2025","610","600","610","600","0,21K","-0,89%"
"30/06/2025","615","615","615","590","13,74K","-0,81%"
"26/06/2025","620","568","620","566","12,00K","6,00%"
"25/06/2025","585","580","585","580","5,00K","0,00%"
"24/06/2025","585","585","585","585","0,03K","0,00%"
"20/06/2025","585","565","585","565","2,02K","0,00%"
"19/06/2025","585","585","585","585","3,90K","0,00%"
"18/06/2025","585","585","585","585","0,02K","0,00%"
"17/06/2025","585","585","585","585","3,00K","-0,85%"
"16/06/2025","590","585","590","585","1,52K","-2,48%"
"13/06/2025","605","590","605","580","9,39K","0,83%"
"12/06/2025","600","593","600","580","2,42K","1,01%"
"11/06/2025","594","595","595","594","3,04K","-2,46%"
"10/06/2025","609","613","613","580","5,08K","-1,46%"
"06/06/2025","618","590","618","563","5,05K","8,42%"
"05/06/2025","570","560","604","560","10,91K","3,64%"
"04/06/2025","550","549","564","549","15,20K","0,00%"
"03/06/2025","550","549","560","549","33,33K","0,15%"
"02/06/2025","549","549","549","549","1,54K","-1,93%"
"30/05/2025","560","551","562","550","2,89K","0,00%"
"29/05/2025","560","549","560","549","1,21K","-0,39%"
"28/05/2025","562","563","563","562","0,01K","0,00%"
"27/05/2025","563","563","563","563","0,00K","2,68%"
"26/05/2025","548","555","564","548","6,15K","-2,84%"
"23/05/2025","564","560","564","556","2,62K","0,71%"
"22/05/2025","560","560","560","560","0,05K","0,00%"
"21/05/2025","560","550","565","547","1,87K","1,82%"
"20/05/2025","550","560","560","550","2,21K","-1,79%"
"19/05/2025","560","565","568","560","2,32K","-0,88%"
"16/05/2025","565","569","569","553","16,55K","0,89%"
"15/05/2025","560","569","569","560","2,01K","0,90%"
"14/05/2025","555","555","555","555","0,38K","-2,46%"
"13/05/2025","569","569","569","560","7,03K","0,35%"
"12/05/2025","567","556","567","555","5,59K","0,53%"
"09/05/2025","564","553","564","550","0,16K","1,62%"
"08/05/2025","555","563","563","555","0,47K","-1,60%"
"06/05/2025","564","561","566","560","0,34K","0,53%"
"05/05/2025","561","565","565","561","0,20K","-0,88%"
"02/05/2025","566","566","566","562","0,32K","0,00%"
"30/04/2025","566","568","570","566","24,86K","-0,33%"
"29/04/2025","568","570","577","568","3,14K","-1,71%"
"28/04/2025","578","573","578","570","13,33K","0,86%"
