"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","254,95","251,05","259,90","251,05","124,44K","1,74%"
"16/04/2026","250,60","253,00","255,90","250,50","12,99K","-0,24%"
"15/04/2026","251,20","246,50","253,00","245,70","62,62K","2,95%"
"14/04/2026","244,00","247,40","247,40","244,00","19,32K","0,00%"
"13/04/2026","244,00","246,00","247,75","243,00","3,69K","0,00%"
"10/04/2026","244,00","248,95","250,00","244,00","68,31K","-1,13%"
"09/04/2026","246,80","247,90","247,90","244,00","31,76K","-0,12%"
"08/04/2026","247,10","248,95","248,95","243,50","118,73K","2,96%"
"07/04/2026","240,00","242,40","242,40","240,00","30,49K","0,00%"
"06/04/2026","240,00","243,85","244,00","240,00","76,15K","0,00%"
"03/04/2026","240,00","249,90","249,90","240,00","180,17K","-3,30%"
"02/04/2026","248,20","246,90","248,60","243,00","49,58K","2,14%"
"01/04/2026","243,00","249,00","249,00","243,00","77,49K","0,00%"
"31/03/2026","243,00","243,00","245,00","242,50","54,92K","0,19%"
"30/03/2026","242,55","247,80","247,80","242,05","3,00K","1,06%"
"27/03/2026","240,00","252,95","252,95","240,00","91,98K","-2,04%"
"26/03/2026","245,00","249,00","252,90","245,00","56,39K","-1,61%"
"25/03/2026","249,00","249,00","254,90","249,00","34,60K","0,40%"
"24/03/2026","248,00","255,00","255,00","248,00","13,22K","-1,98%"
"19/03/2026","253,00","252,00","253,00","252,00","10,21K","0,40%"
"18/03/2026","252,00","250,90","253,00","250,90","21,07K","2,02%"
"17/03/2026","247,00","250,90","253,00","247,00","26,82K","0,00%"
"16/03/2026","247,00","250,00","252,00","245,00","15,71K","0,82%"
"13/03/2026","245,00","254,40","254,40","245,00","62,12K","-0,45%"
"12/03/2026","246,10","254,00","254,00","246,10","18,58K","-1,60%"
"11/03/2026","250,10","255,00","255,00","250,10","16,45K","1,67%"
"10/03/2026","246,00","260,00","260,00","246,00","96,79K","0,41%"
"09/03/2026","245,00","250,00","254,00","245,00","29,28K","-3,92%"
"06/03/2026","255,00","261,00","261,80","254,55","77,18K","-0,78%"
"05/03/2026","257,00","255,00","257,00","250,00","16,77K","2,80%"
"04/03/2026","250,00","255,85","259,00","245,00","173,93K","2,04%"
"03/03/2026","245,00","255,00","255,00","245,00","101,15K","-3,31%"
"02/03/2026","253,40","259,00","259,00","250,10","33,46K","-4,38%"
"27/02/2026","265,00","269,50","270,00","262,00","105,79K","-1,83%"
"26/02/2026","269,95","273,00","274,75","268,00","8,81K","-0,02%"
"25/02/2026","270,00","275,00","275,20","270,00","109,45K","-0,37%"
"24/02/2026","271,00","275,90","275,95","271,00","44,73K","-1,81%"
"23/02/2026","276,00","277,00","277,00","271,00","36,10K","0,73%"
