"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","213,90","205,95","213,90","204,10","106,27K","4,80%"
"16/04/2026","204,10","206,00","206,00","204,00","2,82K","0,05%"
"15/04/2026","204,00","203,10","206,85","203,10","202,70K","0,49%"
"14/04/2026","203,00","207,00","207,00","203,00","148,41K","-0,49%"
"13/04/2026","204,00","205,50","205,50","202,00","63,01K","-1,45%"
"10/04/2026","207,00","208,00","208,00","205,50","91,90K","0,00%"
"09/04/2026","207,00","205,45","207,00","203,00","119,46K","1,69%"
"08/04/2026","203,55","207,00","208,80","203,55","19,78K","1,78%"
"07/04/2026","200,00","203,00","203,00","200,00","16,83K","-1,48%"
"06/04/2026","203,00","207,20","207,20","203,00","1,91K","0,00%"
"03/04/2026","203,00","204,50","204,50","203,00","144,49K","0,00%"
"02/04/2026","203,00","202,90","204,00","201,00","23,14K","1,50%"
"01/04/2026","200,00","209,00","209,00","200,00","61,49K","0,00%"
"31/03/2026","200,00","208,00","210,00","200,00","14,13K","-2,44%"
"30/03/2026","205,00","214,00","214,00","205,00","1,85K","0,00%"
"27/03/2026","205,00","210,00","213,90","205,00","78,21K","-1,44%"
"26/03/2026","208,00","217,00","217,00","208,00","23,30K","-4,54%"
"25/03/2026","217,90","218,00","218,00","211,50","6,40K","-0,05%"
"24/03/2026","218,00","221,90","221,90","215,00","241,38K","-0,68%"
"19/03/2026","219,50","211,00","219,50","206,00","220,93K","0,23%"
"18/03/2026","219,00","213,00","219,00","206,70","122,39K","3,30%"
"17/03/2026","212,00","206,00","212,00","206,00","144,49K","0,95%"
"16/03/2026","210,00","209,00","210,00","204,00","72,95K","2,94%"
"13/03/2026","204,00","200,10","204,00","200,10","125,13K","-0,20%"
"12/03/2026","204,40","201,90","204,45","200,00","35,32K","1,19%"
"11/03/2026","202,00","203,00","203,00","200,50","39,82K","2,54%"
"10/03/2026","197,00","204,50","204,50","197,00","65,78K","1,03%"
"09/03/2026","195,00","192,00","198,00","192,00","58,05K","-2,50%"
"06/03/2026","200,00","215,00","215,00","200,00","188,63K","-4,72%"
"05/03/2026","209,90","207,30","209,90","198,00","111,15K","6,01%"
"04/03/2026","198,00","200,00","206,00","194,00","108,15K","3,13%"
"03/03/2026","192,00","205,00","205,00","190,00","131,30K","-5,88%"
"02/03/2026","204,00","205,00","210,00","204,00","81,79K","-7,27%"
"27/02/2026","220,00","212,50","220,00","210,00","148,85K","1,38%"
"26/02/2026","217,00","218,00","218,00","212,00","11,50K","0,00%"
"25/02/2026","217,00","218,90","218,90","217,00","8,94K","-0,48%"
"24/02/2026","218,05","217,80","218,05","214,00","4,19K","2,37%"
"23/02/2026","213,00","219,00","219,00","213,00","0,46K","-2,74%"
"20/02/2026","219,00","219,00","219,00","213,00","124,99K","0,48%"
"19/02/2026","217,95","212,00","217,95","212,00","12,36K","0,93%"
"18/02/2026","215,95","212,00","216,00","212,00","1,37K","0,58%"
"17/02/2026","214,70","216,00","216,00","210,05","30,94K","-0,60%"
"16/02/2026","216,00","214,00","216,00","207,00","17,27K","1,89%"
"13/02/2026","212,00","213,00","213,00","209,00","37,58K","0,00%"
"12/02/2026","212,00","214,00","214,00","206,00","16,55K","1,92%"
"11/02/2026","208,00","209,00","209,00","205,00","0,76K","-0,48%"
"10/02/2026","209,00","209,80","209,80","207,00","16,01K","-0,43%"
"09/02/2026","209,90","210,00","211,00","203,75","3,14K","0,43%"
"06/02/2026","209,00","200,00","209,00","200,00","54,30K","4,50%"
"05/02/2026","200,00","209,00","209,00","200,00","13,31K","-1,96%"
"04/02/2026","204,00","205,00","205,00","203,50","10,64K","-0,39%"
"03/02/2026","204,80","203,05","209,95","202,00","15,02K","-2,01%"
"02/02/2026","209,00","213,90","213,90","202,00","29,89K","1,95%"
"30/01/2026","205,00","215,00","217,00","205,00","245,00K","-4,21%"
"29/01/2026","214,00","212,00","214,00","210,00","8,97K","0,09%"
"28/01/2026","213,80","208,00","215,00","207,00","3,63K","3,29%"
"27/01/2026","207,00","200,00","207,00","200,00","33,25K","3,50%"
"26/01/2026","200,00","206,90","206,90","200,00","21,84K","0,00%"
"23/01/2026","200,00","212,00","215,90","200,00","66,21K","-4,76%"
"22/01/2026","210,00","212,90","212,90","206,00","52,78K","2,99%"
"21/01/2026","203,90","214,00","217,00","203,90","63,52K","-4,72%"
"20/01/2026","214,00","217,00","222,85","214,00","8,14K","-1,38%"
"19/01/2026","217,00","219,50","223,00","217,00","2,80K","-0,89%"
"16/01/2026","218,95","223,20","223,20","218,95","16,67K","-0,48%"
"15/01/2026","220,00","221,00","225,00","219,00","8,38K","-0,45%"
"13/01/2026","221,00","224,10","226,90","221,00","12,51K","-2,21%"
"12/01/2026","226,00","227,50","227,50","223,00","9,94K","1,35%"
"09/01/2026","223,00","230,00","230,00","223,00","29,84K","-1,98%"
"08/01/2026","227,50","229,90","229,90","223,00","14,66K","3,41%"
"07/01/2026","220,00","233,80","233,80","220,00","104,58K","-4,95%"
"06/01/2026","231,45","231,90","231,90","230,25","17,30K","0,63%"
"05/01/2026","230,00","231,00","233,00","230,00","53,09K","0,00%"
"02/01/2026","230,00","228,70","230,00","225,00","168,66K","2,22%"
"31/12/2025","225,00","219,00","225,00","219,00","170,79K","3,21%"
