"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","1.046,00","1.031,00","1.046,00","1.022,00","13,38K","2,35%"
"16/04/2026","1.022,00","1.034,00","1.034,00","1.022,00","1,13K","-0,78%"
"15/04/2026","1.030,00","1.026,00","1.039,00","1.026,00","13,78K","0,78%"
"14/04/2026","1.022,00","1.030,00","1.035,00","1.020,00","10,50K","-0,10%"
"13/04/2026","1.023,00","1.029,00","1.030,00","1.012,00","1,92K","-0,78%"
"10/04/2026","1.031,00","1.040,00","1.040,00","1.030,00","3,30K","0,10%"
"09/04/2026","1.030,00","1.040,00","1.044,00","1.030,00","22,85K","0,00%"
"08/04/2026","1.030,00","1.030,00","1.043,00","1.030,00","5,81K","1,78%"
"07/04/2026","1.012,00","1.010,00","1.015,00","1.010,00","0,40K","-1,27%"
"06/04/2026","1.025,00","1.025,00","1.027,00","1.005,00","0,23K","0,00%"
"03/04/2026","1.025,00","1.025,00","1.025,00","1.010,00","36,78K","1,99%"
"02/04/2026","1.005,00","1.002,00","1.028,00","1.002,00","3,29K","-2,24%"
"01/04/2026","1.028,00","1.005,00","1.028,00","981,00","2,09K","2,19%"
"31/03/2026","1.006,00","1.006,00","1.028,00","1.005,00","4,07K","0,10%"
"30/03/2026","1.005,00","1.030,00","1.030,00","1.000,00","1,10K","2,45%"
"27/03/2026","981,00","1.000,00","1.020,00","981,00","4,78K","-3,82%"
"26/03/2026","1.020,00","1.035,00","1.035,00","1.020,00","3,14K","-1,45%"
"25/03/2026","1.035,00","1.011,00","1.035,00","1.010,00","7,88K","0,49%"
"24/03/2026","1.030,00","1.021,00","1.034,00","1.010,00","1,51K","-0,58%"
"19/03/2026","1.036,00","1.037,00","1.037,00","1.020,00","2,10K","-0,29%"
"18/03/2026","1.039,00","1.030,00","1.040,00","1.030,00","0,37K","0,87%"
"17/03/2026","1.030,00","1.010,00","1.030,00","1.010,00","0,58K","1,98%"
"16/03/2026","1.010,00","1.010,00","1.020,00","1.010,00","0,10K","0,00%"
"13/03/2026","1.010,00","1.011,00","1.014,00","1.005,00","8,13K","-2,88%"
"12/03/2026","1.040,00","1.040,00","1.049,00","1.040,00","0,86K","-0,86%"
"11/03/2026","1.049,00","1.045,00","1.049,00","1.040,00","0,33K","0,87%"
"10/03/2026","1.040,00","1.030,00","1.047,00","1.030,00","2,71K","4,52%"
"09/03/2026","995,00","1.020,00","1.030,00","995,00","1,11K","-2,45%"
"06/03/2026","1.020,00","1.052,00","1.096,00","1.020,00","5,25K","-7,10%"
"05/03/2026","1.098,00","1.040,00","1.099,00","1.040,00","2,15K","5,07%"
"04/03/2026","1.045,00","1.005,00","1.050,00","1.005,00","2,53K","3,36%"
"03/03/2026","1.011,00","1.050,00","1.050,00","1.011,00","0,89K","-3,71%"
"02/03/2026","1.050,00","1.025,00","1.050,00","1.000,00","1,86K","-4,55%"
"27/02/2026","1.100,00","1.118,00","1.119,00","1.087,00","12,36K","0,09%"
"26/02/2026","1.099,00","1.100,00","1.100,00","1.095,00","6,47K","-0,18%"
"25/02/2026","1.101,00","1.087,00","1.119,00","1.087,00","0,08K","-1,08%"
"24/02/2026","1.113,00","1.122,00","1.122,00","1.101,00","0,31K","1,46%"
"23/02/2026","1.097,00","1.120,00","1.120,00","1.090,00","1,33K","-2,05%"
"20/02/2026","1.120,00","1.130,00","1.130,00","1.120,00","3,55K","-0,18%"
"19/02/2026","1.122,00","1.076,00","1.130,00","1.076,00","0,14K","1,08%"
"18/02/2026","1.110,00","1.090,00","1.120,00","1.090,00","17,38K","-0,45%"
"17/02/2026","1.115,00","1.140,00","1.140,00","1.115,00","3,08K","-2,62%"
"16/02/2026","1.145,00","1.060,00","1.145,00","1.060,00","46,30K","3,15%"
"13/02/2026","1.110,00","1.140,00","1.140,00","1.108,00","9,89K","-3,39%"
"12/02/2026","1.149,00","1.100,00","1.200,00","1.100,00","6,52K","4,55%"
"11/02/2026","1.099,00","1.060,00","1.099,00","1.030,00","7,79K","2,71%"
"10/02/2026","1.070,00","1.050,00","1.070,00","1.040,00","0,31K","1,04%"
"09/02/2026","1.059,00","1.040,00","1.060,00","1.040,00","0,03K","1,83%"
"06/02/2026","1.040,00","1.007,00","1.040,00","1.007,00","2,01K","2,67%"
"05/02/2026","1.013,00","1.030,00","1.030,00","1.013,00","0,73K","-1,65%"
"04/02/2026","1.030,00","1.064,00","1.064,00","1.021,00","0,04K","0,98%"
"03/02/2026","1.020,00","1.017,00","1.024,00","1.017,00","1,26K","-2,86%"
"02/02/2026","1.050,00","1.012,00","1.050,00","1.012,00","0,04K","0,96%"
"30/01/2026","1.040,00","1.040,00","1.050,00","1.040,00","3,52K","-2,80%"
"29/01/2026","1.070,00","1.068,00","1.070,00","1.041,00","0,18K","0,94%"
"28/01/2026","1.060,00","1.063,00","1.063,00","1.037,00","5,38K","2,81%"
"27/01/2026","1.031,00","1.078,00","1.078,00","1.011,00","0,14K","-4,45%"
"26/01/2026","1.079,00","1.049,00","1.079,00","986,00","7,65K","1,79%"
"23/01/2026","1.060,00","1.044,00","1.060,00","1.044,00","2,33K","1,05%"
"22/01/2026","1.049,00","1.062,00","1.098,00","1.049,00","0,33K","0,00%"
"21/01/2026","1.049,00","1.070,00","1.071,00","1.049,00","2,25K","-2,87%"
"20/01/2026","1.080,00","1.095,00","1.096,00","1.080,00","1,83K","-1,28%"
"19/01/2026","1.094,00","1.130,00","1.130,00","1.094,00","0,36K","-3,61%"
"16/01/2026","1.135,00","1.110,00","1.135,00","1.091,00","9,44K","2,25%"
"15/01/2026","1.110,00","1.100,00","1.120,00","1.091,00","0,91K","-0,89%"
"13/01/2026","1.120,00","1.139,00","1.139,00","1.100,00","0,59K","-1,67%"
"12/01/2026","1.139,00","1.101,00","1.139,00","1.101,00","1,94K","0,35%"
"09/01/2026","1.135,00","1.086,00","1.135,00","1.086,00","7,38K","0,00%"
"08/01/2026","1.135,00","1.128,00","1.139,00","1.072,00","7,87K","0,53%"
"07/01/2026","1.129,00","1.139,00","1.139,00","1.120,00","7,01K","0,80%"
"06/01/2026","1.120,00","1.060,00","1.151,00","1.054,00","35,14K","2,75%"
"05/01/2026","1.090,00","1.070,00","1.100,00","1.041,00","8,52K","-0,91%"
"02/01/2026","1.100,00","1.040,00","1.100,00","1.002,00","10,18K","5,87%"
"31/12/2025","1.039,00","1.020,00","1.039,00","986,60","2,06K","2,87%"
"30/12/2025","1.010,00","986,50","1.010,00","980,00","10,21K","1,00%"
"29/12/2025","1.000,00","983,00","1.000,00","983,00","202,34K","2,04%"
"26/12/2025","980,00","1.001,00","1.004,00","980,00","6,28K","-2,78%"
"25/12/2025","1.008,00","1.030,00","1.037,00","1.008,00","10,58K","0,80%"
"24/12/2025","1.000,00","1.089,00","1.090,00","1.000,00","8,08K","-7,41%"
"23/12/2025","1.080,00","1.077,00","1.100,00","1.077,00","2,60K","-1,64%"
"22/12/2025","1.098,00","1.100,00","1.100,00","1.075,00","3,42K","-0,18%"
"19/12/2025","1.100,00","1.100,00","1.117,00","1.071,00","16,68K","-1,35%"
"18/12/2025","1.115,00","1.094,00","1.115,00","1.060,00","32,49K","2,29%"
"17/12/2025","1.090,00","1.070,00","1.090,00","1.070,00","3,09K","1,77%"
"16/12/2025","1.071,00","1.060,00","1.088,00","1.060,00","1,47K","-1,74%"
"15/12/2025","1.090,00","1.056,00","1.090,00","1.041,00","3,14K","3,81%"
"12/12/2025","1.050,00","1.010,00","1.070,00","1.010,00","7,77K","4,90%"
"11/12/2025","1.001,00","966,00","1.020,00","966,00","5,89K","4,27%"
"10/12/2025","960,00","961,00","979,90","952,00","5,19K","-0,11%"
"09/12/2025","961,10","980,00","980,00","954,00","0,10K","-1,93%"
"08/12/2025","980,00","955,00","980,00","954,00","0,23K","3,05%"
"05/12/2025","951,00","958,00","979,90","951,00","2,09K","-2,96%"
"04/12/2025","980,00","980,00","980,00","955,00","2,98K","0,00%"
"03/12/2025","980,00","950,00","980,00","950,00","0,26K","1,03%"
"02/12/2025","970,00","967,00","970,00","940,00","0,85K","0,15%"
"01/12/2025","968,50","998,00","998,00","968,00","0,12K","0,16%"
"28/11/2025","967,00","996,00","996,00","966,20","1,41K","-3,11%"
"27/11/2025","998,00","998,00","998,00","942,00","0,29K","0,40%"
"26/11/2025","994,00","944,00","1.000,00","932,10","8,25K","5,74%"
"25/11/2025","940,00","969,00","969,00","940,00","1,16K","-1,05%"
"24/11/2025","950,00","960,10","970,00","942,00","2,09K","-1,04%"
"21/11/2025","960,00","962,00","967,00","960,00","2,54K","-1,03%"
"20/11/2025","970,00","975,00","975,00","970,00","1,88K","-0,31%"
"19/11/2025","973,00","983,00","999,00","973,00","0,37K","-0,93%"
"17/11/2025","982,10","1.024,00","1.024,00","980,00","0,33K","0,21%"
"14/11/2025","980,00","1.000,00","1.017,00","980,00","7,33K","-2,00%"
"13/11/2025","1.000,00","995,00","1.021,00","990,00","7,97K","0,60%"
"12/11/2025","994,00","994,00","994,00","994,00","0,50K","-2,26%"
"11/11/2025","1.017,00","1.016,00","1.022,00","992,00","0,17K","-0,10%"
"10/11/2025","1.018,00","1.013,00","1.025,00","1.010,00","0,35K","-0,68%"
"05/11/2025","1.025,00","1.047,00","1.047,00","1.012,00","0,20K","0,00%"
"04/11/2025","1.025,00","1.035,00","1.035,00","1.021,00","1,51K","-1,44%"
"03/11/2025","1.040,00","1.030,00","1.041,00","1.030,00","5,24K","-0,95%"
"31/10/2025","1.050,00","1.030,00","1.050,00","1.021,00","4,60K","0,96%"
"30/10/2025","1.040,00","1.030,00","1.040,00","1.026,00","3,09K","0,97%"
"29/10/2025","1.030,00","1.025,00","1.037,00","1.017,00","19,30K","-0,87%"
"28/10/2025","1.039,00","1.026,00","1.044,00","1.025,00","0,21K","-0,86%"
"27/10/2025","1.048,00","1.030,00","1.048,00","1.026,00","7,05K","1,75%"
"24/10/2025","1.030,00","1.045,00","1.045,00","1.030,00","2,04K","0,49%"
"23/10/2025","1.025,00","1.049,00","1.050,00","1.025,00","2,31K","0,00%"
"22/10/2025","1.025,00","1.011,00","1.040,00","1.001,00","9,88K","1,49%"
"21/10/2025","1.010,00","1.009,00","1.040,00","1.009,00","6,33K","0,10%"
"20/10/2025","1.009,00","1.000,00","1.009,00","1.000,00","0,19K","1,92%"
"17/10/2025","990,00","1.000,00","1.000,00","990,00","1,01K","0,00%"
"16/10/2025","990,00","988,00","990,00","988,00","0,02K","0,00%"
"15/10/2025","990,00","987,00","1.000,00","986,00","3,16K","-1,00%"
"14/10/2025","1.000,00","1.000,00","1.000,00","1.000,00","5,09K","-0,40%"
"13/10/2025","1.004,00","1.004,00","1.004,00","1.004,00","0,03K","1,31%"
"10/10/2025","991,00","1.000,00","1.000,00","991,00","2,40K","-0,40%"
"09/10/2025","995,00","1.003,00","1.027,00","995,00","3,45K","-0,90%"
"08/10/2025","1.004,00","1.020,00","1.020,00","1.004,00","0,51K","0,60%"
"07/10/2025","998,00","1.028,00","1.028,00","998,00","0,15K","-2,82%"
"06/10/2025","1.027,00","1.027,00","1.028,00","1.000,00","4,18K","2,70%"
"03/10/2025","1.000,00","975,00","1.000,00","975,00","6,33K","2,56%"
"02/10/2025","975,00","950,00","997,00","930,00","7,13K","-0,31%"
"01/10/2025","978,00","981,00","985,00","978,00","1,07K","-3,07%"
"30/09/2025","1.009,00","981,00","1.009,00","980,00","0,45K","-0,49%"
"29/09/2025","1.014,00","1.000,00","1.014,00","1.000,00","0,19K","-0,59%"
"26/09/2025","1.020,00","1.005,00","1.020,00","1.002,00","8,13K","2,00%"
"25/09/2025","1.000,00","1.015,00","1.027,00","1.000,00","4,21K","-1,96%"
"24/09/2025","1.020,00","1.025,00","1.025,00","1.020,00","0,50K","-0,78%"
"23/09/2025","1.028,00","1.028,00","1.030,00","1.028,00","0,23K","-0,19%"
"22/09/2025","1.030,00","1.027,00","1.038,00","1.027,00","7,82K","0,00%"
"19/09/2025","1.030,00","1.032,00","1.040,00","1.030,00","8,09K","-0,77%"
"18/09/2025","1.038,00","1.025,00","1.038,00","1.025,00","9,18K","-0,10%"
"17/09/2025","1.039,00","1.040,00","1.040,00","1.039,00","0,53K","-0,10%"
"16/09/2025","1.040,00","1.021,00","1.049,00","1.021,00","0,22K","1,76%"
"15/09/2025","1.022,00","1.035,00","1.035,00","1.020,00","1,44K","-1,26%"
"12/09/2025","1.035,00","1.037,00","1.049,00","1.035,00","3,55K","-1,43%"
"11/09/2025","1.050,00","1.060,00","1.060,00","1.036,00","0,03K","0,96%"
"10/09/2025","1.040,00","1.042,00","1.059,00","1.040,00","0,12K","-0,10%"
"09/09/2025","1.041,00","1.046,00","1.046,00","1.040,00","1,31K","-0,86%"
"08/09/2025","1.050,00","1.045,00","1.065,00","1.040,00","0,20K","0,67%"
"04/09/2025","1.043,00","1.051,00","1.060,00","1.043,00","0,62K","-0,76%"
"03/09/2025","1.051,00","1.066,00","1.070,00","1.038,00","4,23K","-1,78%"
"02/09/2025","1.070,00","1.070,00","1.070,00","1.067,00","2,38K","0,28%"
"01/09/2025","1.067,00","1.066,00","1.075,00","1.066,00","1,14K","-0,74%"
"29/08/2025","1.075,00","1.068,00","1.075,00","1.068,00","2,06K","0,56%"
"28/08/2025","1.069,00","1.080,00","1.090,00","1.066,00","0,52K","-1,02%"
"27/08/2025","1.080,00","1.088,00","1.088,00","1.066,00","0,30K","-0,83%"
"26/08/2025","1.089,00","1.070,00","1.089,00","1.065,00","13,76K","2,25%"
"25/08/2025","1.065,00","1.071,00","1.090,00","1.063,00","10,59K","-2,11%"
"22/08/2025","1.088,00","1.061,00","1.088,00","1.061,00","4,61K","0,37%"
"19/08/2025","1.084,00","1.085,00","1.085,00","1.053,00","0,12K","-0,55%"
"18/08/2025","1.090,00","1.032,00","1.100,00","1.032,00","7,31K","0,18%"
"15/08/2025","1.088,00","1.081,00","1.090,00","1.080,00","0,97K","0,28%"
"13/08/2025","1.085,00","1.092,00","1.092,00","1.080,00","1,61K","-0,91%"
"12/08/2025","1.095,00","1.099,00","1.099,00","1.075,00","2,18K","0,27%"
"11/08/2025","1.092,00","1.090,00","1.100,00","1.090,00","0,65K","-1,18%"
"08/08/2025","1.105,00","1.100,00","1.107,00","1.090,00","7,07K","0,45%"
"07/08/2025","1.100,00","1.070,00","1.100,00","1.052,00","33,35K","3,77%"
"06/08/2025","1.060,00","1.053,00","1.060,00","1.031,00","13,11K","0,95%"
"05/08/2025","1.050,00","1.050,00","1.050,00","1.045,00","1,50K","0,96%"
"04/08/2025","1.040,00","1.040,00","1.055,00","1.040,00","0,61K","1,96%"
"01/08/2025","1.020,00","1.042,00","1.043,00","1.020,00","6,61K","-1,92%"
"31/07/2025","1.040,00","1.059,00","1.059,00","1.040,00","4,54K","-0,95%"
"29/07/2025","1.050,00","1.055,00","1.070,00","1.050,00","0,98K","0,00%"
"28/07/2025","1.050,00","1.046,00","1.055,00","1.045,00","4,54K","0,00%"
"25/07/2025","1.050,00","1.039,00","1.050,00","1.031,00","10,65K","1,94%"
"24/07/2025","1.030,00","1.030,00","1.039,00","1.024,00","0,77K","0,00%"
"23/07/2025","1.030,00","1.025,00","1.050,00","1.021,00","3,75K","0,00%"
"22/07/2025","1.030,00","1.028,00","1.050,00","1.025,00","0,41K","0,00%"
"21/07/2025","1.030,00","1.030,00","1.034,00","1.030,00","0,62K","0,00%"
"18/07/2025","1.030,00","1.032,00","1.032,00","1.025,00","1,33K","0,00%"
"17/07/2025","1.030,00","1.040,00","1.040,00","1.029,00","24,48K","-0,96%"
"16/07/2025","1.040,00","1.046,00","1.068,00","1.040,00","1,97K","-0,95%"
"15/07/2025","1.050,00","1.055,00","1.065,00","1.050,00","0,76K","-0,94%"
"14/07/2025","1.060,00","1.062,00","1.063,00","1.050,00","0,79K","-1,40%"
