"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","219,00","214,90","222,00","212,00","51,51K","3,06%"
"16/04/2026","212,50","215,90","217,00","212,50","41,63K","0,24%"
"15/04/2026","212,00","212,40","217,00","210,50","23,19K","0,00%"
"14/04/2026","212,00","211,95","212,40","208,00","4,59K","1,92%"
"13/04/2026","208,00","208,00","208,00","205,00","2,21K","0,00%"
"10/04/2026","208,00","211,95","211,95","207,00","77,39K","0,00%"
"09/04/2026","208,00","210,00","211,95","208,00","21,62K","-0,95%"
"08/04/2026","210,00","211,00","212,00","206,00","16,89K","4,48%"
"07/04/2026","201,00","204,10","210,00","201,00","52,98K","-2,19%"
"06/04/2026","205,50","209,00","209,00","205,50","400,47K","-1,67%"
"03/04/2026","209,00","203,00","209,00","202,60","78,39K","2,45%"
"02/04/2026","204,00","202,90","207,00","202,80","22,43K","0,00%"
"01/04/2026","204,00","207,95","211,00","204,00","260,34K","2,00%"
"31/03/2026","200,00","208,00","208,00","200,00","29,18K","0,00%"
"30/03/2026","200,00","203,40","209,40","200,00","19,39K","-1,48%"
"27/03/2026","203,00","209,90","209,90","203,00","41,05K","-0,98%"
"26/03/2026","205,00","210,00","213,00","205,00","10,64K","-2,38%"
"25/03/2026","210,00","207,05","214,00","207,05","5,83K","0,00%"
"24/03/2026","210,00","212,00","214,00","207,00","18,55K","0,96%"
"19/03/2026","208,00","212,00","212,00","208,00","29,02K","-3,21%"
"18/03/2026","214,90","207,00","214,90","204,50","18,80K","3,57%"
"17/03/2026","207,50","202,50","208,40","202,50","8,94K","2,72%"
"16/03/2026","202,00","204,00","210,00","202,00","3,97K","-1,46%"
"13/03/2026","205,00","212,00","213,00","202,50","90,64K","-3,39%"
"12/03/2026","212,20","205,50","212,20","204,60","469,15K","3,51%"
"11/03/2026","205,00","207,90","209,80","200,60","34,88K","2,19%"
"10/03/2026","200,60","210,00","214,30","200,60","73,90K","-0,69%"
"09/03/2026","202,00","200,50","211,00","195,95","53,14K","-2,88%"
"06/03/2026","208,00","217,90","217,90","208,00","52,85K","-0,95%"
"05/03/2026","210,00","210,50","218,90","208,00","92,88K","0,00%"
"04/03/2026","210,00","210,00","216,00","205,10","41,96K","0,00%"
"03/03/2026","210,00","210,10","214,00","203,00","35,16K","-0,94%"
"02/03/2026","212,00","208,00","222,00","208,00","11,19K","-4,93%"
"27/02/2026","223,00","230,00","233,00","223,00","5,38K","-3,04%"
"26/02/2026","230,00","231,25","236,80","230,00","6,29K","-2,54%"
"25/02/2026","236,00","235,00","238,00","233,00","0,31K","0,43%"
"24/02/2026","235,00","236,00","237,90","233,50","15,95K","-0,42%"
"23/02/2026","236,00","240,00","240,00","236,00","30,28K","-0,42%"
"20/02/2026","237,00","243,50","243,50","237,00","8,41K","-0,75%"
"19/02/2026","238,80","239,95","242,00","238,00","18,41K","1,60%"
"18/02/2026","235,05","235,00","237,00","235,00","7,42K","-0,76%"
"17/02/2026","236,85","237,90","238,00","234,50","18,61K","-0,44%"
"16/02/2026","237,90","233,00","237,90","230,00","2,39K","2,10%"
"13/02/2026","233,00","230,10","235,00","230,00","69,89K","0,87%"
"12/02/2026","231,00","231,50","231,50","227,10","8,02K","-0,22%"
"11/02/2026","231,50","230,00","231,50","229,00","25,67K","0,65%"
"10/02/2026","230,00","234,45","234,45","230,00","17,99K","-2,02%"
"09/02/2026","234,75","233,00","235,50","230,00","0,71K","2,07%"
"06/02/2026","230,00","228,00","232,90","227,10","35,91K","0,92%"
"05/02/2026","227,90","231,00","234,00","227,90","4,21K","-2,77%"
"04/02/2026","234,40","230,50","234,40","230,50","0,49K","1,47%"
"03/02/2026","231,00","230,00","233,00","230,00","33,52K","0,43%"
"02/02/2026","230,00","230,50","234,95","230,00","44,98K","-0,04%"
"30/01/2026","230,10","231,50","237,00","230,10","10,61K","-0,39%"
"29/01/2026","231,00","235,00","239,00","231,00","20,60K","-1,70%"
"28/01/2026","235,00","232,05","236,00","231,05","48,75K","1,29%"
"27/01/2026","232,00","231,10","234,90","231,00","6,83K","0,00%"
"26/01/2026","232,00","237,00","237,00","231,00","12,13K","-1,28%"
"23/01/2026","235,00","240,00","240,00","234,60","49,18K","-2,08%"
"22/01/2026","240,00","234,60","244,00","234,20","1,26K","2,13%"
"21/01/2026","235,00","239,00","240,00","235,00","4,59K","-0,84%"
"20/01/2026","237,00","238,75","241,90","237,00","4,28K","-0,84%"
"19/01/2026","239,00","240,05","245,00","238,70","7,37K","-1,24%"
"16/01/2026","242,00","245,00","245,00","240,10","12,51K","0,00%"
"15/01/2026","242,00","243,10","245,00","242,00","2,79K","-0,82%"
"13/01/2026","244,00","245,15","249,95","244,00","33,32K","-1,61%"
