"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","1.685,00","1.700,00","1.700,00","1.685,00","0,16K","-0,30%"
"12/05/2026","1.690,00","1.720,00","1.720,00","1.690,00","0,34K","-0,59%"
"11/05/2026","1.700,00","1.700,00","1.720,00","1.700,00","0,57K","0,00%"
"08/05/2026","1.700,00","1.700,00","1.700,00","1.695,00","0,15K","0,29%"
"07/05/2026","1.695,00","1.700,00","1.702,00","1.695,00","2,73K","-0,18%"
"06/05/2026","1.698,00","1.710,00","1.725,00","1.698,00","1,83K","-0,12%"
"05/05/2026","1.700,00","1.690,00","1.700,00","1.666,00","1,24K","1,19%"
"04/05/2026","1.680,00","1.730,00","1.730,00","1.680,00","1,59K","0,48%"
"30/04/2026","1.672,00","1.680,00","1.700,00","1.670,00","0,28K","-1,65%"
"29/04/2026","1.700,00","1.697,00","1.700,00","1.676,00","0,85K","0,24%"
"28/04/2026","1.696,00","1.723,00","1.723,00","1.696,00","0,11K","-0,24%"
"27/04/2026","1.700,00","1.705,00","1.710,00","1.700,00","1,55K","-0,58%"
"24/04/2026","1.710,00","1.725,00","1.730,00","1.710,00","3,45K","-0,70%"
"23/04/2026","1.722,00","1.717,00","1.740,00","1.717,00","3,07K","-1,03%"
"22/04/2026","1.740,00","1.712,00","1.740,00","1.707,00","1,97K","1,64%"
"21/04/2026","1.712,00","1.743,00","1.743,00","1.710,00","1,06K","-0,17%"
"20/04/2026","1.715,00","1.740,00","1.745,00","1.707,00","1,61K","-1,94%"
"17/04/2026","1.749,00","1.739,00","1.750,00","1.705,00","40,02K","2,28%"
"16/04/2026","1.710,00","1.740,00","1.740,00","1.710,00","0,61K","-0,41%"
"15/04/2026","1.717,00","1.735,00","1.744,00","1.717,00","1,44K","0,41%"
"14/04/2026","1.710,00","1.750,00","1.750,00","1.710,00","8,00K","-0,58%"
"13/04/2026","1.720,00","1.747,00","1.758,00","1.715,00","1,00K","-2,77%"
"10/04/2026","1.769,00","1.770,00","1.770,00","1.765,00","3,24K","0,23%"
"09/04/2026","1.765,00","1.746,00","1.783,00","1.746,00","0,38K","-0,28%"
"08/04/2026","1.770,00","1.750,00","1.780,00","1.740,00","12,71K","4,12%"
"07/04/2026","1.700,00","1.743,00","1.743,00","1.681,00","3,08K","-0,58%"
"06/04/2026","1.710,00","1.748,00","1.748,00","1.705,00","0,12K","-2,01%"
"03/04/2026","1.745,00","1.706,00","1.745,00","1.705,00","4,91K","2,35%"
"02/04/2026","1.705,00","1.740,00","1.740,00","1.705,00","1,95K","-0,87%"
"01/04/2026","1.720,00","1.735,00","1.759,00","1.720,00","4,26K","0,29%"
"31/03/2026","1.715,00","1.738,00","1.739,00","1.715,00","0,12K","0,00%"
"30/03/2026","1.715,00","1.739,00","1.739,00","1.715,00","0,08K","0,23%"
"27/03/2026","1.711,00","1.760,00","1.760,00","1.711,00","4,60K","-2,23%"
"26/03/2026","1.750,00","1.760,00","1.770,00","1.750,00","6,46K","-0,23%"
"25/03/2026","1.754,00","1.720,00","1.754,00","1.720,00","3,11K","3,18%"
"24/03/2026","1.700,00","1.749,00","1.749,00","1.700,00","2,73K","-1,73%"
"19/03/2026","1.730,00","1.715,00","1.730,00","1.705,00","6,84K","-3,35%"
"18/03/2026","1.790,00","1.739,00","1.800,00","1.739,00","1,18K","5,60%"
"17/03/2026","1.695,00","1.690,00","1.705,00","1.690,00","10,29K","0,30%"
"16/03/2026","1.690,00","1.662,00","1.710,00","1.662,00","1,53K","-0,41%"
"13/03/2026","1.697,00","1.730,00","1.730,00","1.697,00","6,78K","-1,45%"
"12/03/2026","1.722,00","1.760,00","1.760,00","1.707,00","8,71K","0,94%"
"11/03/2026","1.706,00","1.604,00","1.750,00","1.604,00","9,45K","6,63%"
"10/03/2026","1.600,00","1.694,00","1.694,00","1.600,00","4,86K","0,00%"
"09/03/2026","1.600,00","1.649,00","1.649,00","1.600,00","0,80K","-4,36%"
"06/03/2026","1.673,00","1.697,00","1.700,00","1.673,00","8,19K","-0,36%"
"05/03/2026","1.679,00","1.716,00","1.716,00","1.661,00","8,76K","1,76%"
"04/03/2026","1.650,00","1.694,00","1.700,00","1.650,00","0,54K","2,04%"
"03/03/2026","1.617,00","1.789,00","1.789,00","1.600,00","10,48K","-2,24%"
"02/03/2026","1.654,00","1.675,00","1.706,00","1.650,00","6,55K","-3,05%"
"27/02/2026","1.706,00","1.730,00","1.740,00","1.706,00","15,52K","-2,51%"
"26/02/2026","1.750,00","1.786,00","1.786,00","1.750,00","5,43K","-0,85%"
"25/02/2026","1.765,00","1.770,00","1.770,00","1.765,00","1,01K","-0,23%"
"24/02/2026","1.769,00","1.794,00","1.794,00","1.769,00","5,70K","-1,56%"
"23/02/2026","1.797,00","1.763,00","1.799,00","1.763,00","0,03K","0,73%"
"20/02/2026","1.784,00","1.794,00","1.794,00","1.762,00","8,39K","-0,34%"
"19/02/2026","1.790,00","1.795,00","1.795,00","1.790,00","2,03K","-0,39%"
"18/02/2026","1.797,00","1.798,00","1.798,00","1.765,00","4,03K","-0,17%"
"17/02/2026","1.800,00","1.799,00","1.800,00","1.761,00","0,06K","0,11%"
"16/02/2026","1.798,00","1.758,00","1.798,00","1.754,00","11,81K","2,28%"
"13/02/2026","1.758,00","1.760,00","1.786,00","1.750,00","10,47K","-1,68%"
"12/02/2026","1.788,00","1.752,00","1.788,00","1.730,00","6,42K","2,17%"
"11/02/2026","1.750,00","1.753,00","1.753,00","1.749,00","8,53K","-0,23%"
"10/02/2026","1.754,00","1.764,00","1.765,00","1.750,00","0,34K","0,06%"
"09/02/2026","1.753,00","1.764,00","1.764,00","1.720,00","2,16K","0,92%"
"06/02/2026","1.737,00","1.716,00","1.737,00","1.686,00","6,85K","1,22%"
"05/02/2026","1.716,00","1.740,00","1.740,00","1.716,00","7,18K","-0,23%"
"04/02/2026","1.720,00","1.775,00","1.775,00","1.720,00","2,72K","0,00%"
"03/02/2026","1.720,00","1.739,00","1.743,00","1.720,00","2,87K","-1,09%"
"02/02/2026","1.739,00","1.721,00","1.740,00","1.720,00","3,08K","0,69%"
"30/01/2026","1.727,00","1.779,00","1.779,00","1.727,00","3,48K","-0,75%"
"29/01/2026","1.740,00","1.777,00","1.777,00","1.740,00","2,65K","-0,29%"
"28/01/2026","1.745,00","1.749,00","1.780,00","1.730,00","5,42K","0,00%"
"27/01/2026","1.745,00","1.740,00","1.750,00","1.740,00","9,14K","1,34%"
"26/01/2026","1.722,00","1.795,00","1.795,00","1.702,00","1,01K","-1,60%"
"23/01/2026","1.750,00","1.798,00","1.799,00","1.750,00","25,70K","0,00%"
"22/01/2026","1.750,00","1.824,00","1.824,00","1.750,00","3,96K","-1,13%"
"21/01/2026","1.770,00","1.825,00","1.825,00","1.770,00","0,53K","-1,12%"
"20/01/2026","1.790,00","1.832,00","1.832,00","1.790,00","0,85K","-0,56%"
"19/01/2026","1.800,00","1.839,00","1.839,00","1.780,00","3,53K","0,00%"
"16/01/2026","1.800,00","1.869,00","1.869,00","1.800,00","5,28K","-2,70%"
"15/01/2026","1.850,00","1.848,00","1.850,00","1.821,00","0,37K","1,48%"
"13/01/2026","1.823,00","1.894,00","1.894,00","1.823,00","2,18K","-1,41%"
"12/01/2026","1.849,00","1.845,00","1.850,00","1.840,00","3,88K","0,05%"
"09/01/2026","1.848,00","1.879,00","1.879,00","1.810,00","11,16K","-0,11%"
"08/01/2026","1.850,00","1.892,00","1.894,00","1.850,00","0,22K","-2,06%"
"07/01/2026","1.889,00","1.917,00","1.917,00","1.845,00","4,83K","0,48%"
"06/01/2026","1.880,00","1.890,00","1.899,00","1.870,00","2,00K","0,00%"
"05/01/2026","1.880,00","1.927,00","1.927,00","1.870,00","6,48K","0,64%"
"02/01/2026","1.868,00","1.935,00","1.935,00","1.850,00","8,46K","0,97%"
"31/12/2025","1.850,00","1.840,00","1.850,00","1.801,00","10,26K","1,65%"
"30/12/2025","1.820,00","1.781,00","1.820,00","1.781,00","4,48K","0,55%"
"29/12/2025","1.810,00","1.845,00","1.845,00","1.760,00","1,47K","0,00%"
"26/12/2025","1.810,00","1.847,00","1.847,00","1.810,00","13,07K","-0,06%"
"25/12/2025","1.811,00","1.800,00","1.849,00","1.800,00","2,08K","0,61%"
"24/12/2025","1.800,00","1.860,00","1.866,00","1.800,00","4,05K","-2,81%"
"23/12/2025","1.852,00","1.860,00","1.900,00","1.850,00","0,18K","-0,43%"
"22/12/2025","1.860,00","1.870,00","1.870,00","1.860,00","0,68K","-0,53%"
"19/12/2025","1.870,00","1.866,00","1.880,00","1.866,00","7,99K","0,27%"
"18/12/2025","1.865,00","1.929,00","1.929,00","1.865,00","0,53K","-0,80%"
