"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","5.449,00","5.100,00","5.480,00","5.085,00","11,53K","9,22%"
"12/05/2026","4.989,00","5.124,00","5.150,00","4.950,00","3,18K","-1,62%"
"11/05/2026","5.071,00","4.900,00","5.150,00","4.850,00","4,42K","3,74%"
"08/05/2026","4.888,00","4.871,00","4.970,00","4.870,00","0,50K","-0,20%"
"07/05/2026","4.898,00","4.995,00","4.999,00","4.865,00","0,83K","-0,04%"
"06/05/2026","4.900,00","4.900,00","5.049,00","4.900,00","0,84K","0,20%"
"05/05/2026","4.890,00","4.902,00","4.998,00","4.890,00","0,19K","-0,18%"
"04/05/2026","4.899,00","4.855,00","4.965,00","4.855,00","0,13K","0,00%"
"30/04/2026","4.899,00","4.900,00","4.950,00","4.815,00","0,27K","0,49%"
"29/04/2026","4.875,00","4.900,00","4.968,00","4.801,00","0,20K","1,56%"
"28/04/2026","4.800,00","4.900,00","4.978,00","4.800,00","0,82K","-3,81%"
"27/04/2026","4.990,00","5.000,00","5.000,00","4.903,00","0,26K","1,84%"
"24/04/2026","4.900,00","4.990,00","5.280,00","4.900,00","11,91K","2,06%"
"23/04/2026","4.801,00","4.849,00","4.851,00","4.750,00","1,17K","0,84%"
"22/04/2026","4.761,00","4.810,00","4.860,00","4.761,00","1,10K","-2,42%"
"21/04/2026","4.879,00","4.820,00","4.895,00","4.763,00","0,47K","-0,22%"
"20/04/2026","4.890,00","4.899,00","4.899,00","4.760,00","1,12K","-0,20%"
"17/04/2026","4.900,00","4.770,00","4.989,00","4.680,00","6,83K","2,10%"
"16/04/2026","4.799,00","4.994,00","4.994,00","4.799,00","1,58K","-4,02%"
"15/04/2026","5.000,00","5.229,00","5.280,00","4.702,00","3,05K","-3,49%"
"14/04/2026","5.181,00","5.250,00","5.345,00","5.052,00","5,76K","5,84%"
"13/04/2026","4.895,00","4.799,00","5.300,00","4.599,00","13,69K","0,20%"
