"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","80,00","80,14","81,90","80,00","1,79K","-1,84%"
"12/05/2026","81,50","81,00","81,90","81,00","0,34K","0,62%"
"11/05/2026","81,00","80,60","82,00","80,13","0,48K","-1,22%"
"08/05/2026","82,00","82,20","82,20","80,60","0,04K","0,00%"
"07/05/2026","82,00","80,50","82,00","80,50","1,33K","0,12%"
"06/05/2026","81,90","80,99","81,99","80,00","0,84K","1,11%"
"05/05/2026","81,00","80,02","81,00","80,02","0,31K","0,00%"
"04/05/2026","81,00","82,40","82,40","80,01","0,42K","0,12%"
"30/04/2026","80,90","80,02","80,90","80,00","0,91K","0,87%"
"29/04/2026","80,20","81,65","81,65","80,20","1,69K","-0,99%"
"28/04/2026","81,00","81,69","81,69","80,65","0,29K","-1,21%"
"27/04/2026","81,99","81,99","81,99","80,50","0,34K","0,37%"
"24/04/2026","81,69","82,00","82,00","81,10","0,35K","-0,96%"
"23/04/2026","82,48","82,00","82,75","81,00","1,83K","0,89%"
"22/04/2026","81,75","80,00","81,75","80,00","2,27K","2,19%"
"21/04/2026","80,00","81,45","81,45","80,00","0,61K","0,00%"
"20/04/2026","80,00","81,20","81,20","79,50","14,00K","-1,82%"
"17/04/2026","81,48","79,55","81,99","78,51","23,86K","1,85%"
"16/04/2026","80,00","81,99","81,99","79,03","17,04K","-1,22%"
"15/04/2026","80,99","83,49","83,49","80,99","10,69K","-2,41%"
"14/04/2026","82,99","83,54","83,54","81,21","1,54K","2,46%"
"13/04/2026","81,00","80,99","81,45","80,02","1,16K","0,00%"
"10/04/2026","81,00","81,49","82,00","81,00","8,26K","0,60%"
"09/04/2026","80,52","82,95","82,95","80,10","1,46K","-0,59%"
"08/04/2026","81,00","80,00","84,46","80,00","21,77K","-0,56%"
"07/04/2026","81,46","80,50","81,48","80,00","1,90K","-0,37%"
"06/04/2026","81,76","81,00","81,97","79,60","3,84K","0,95%"
"03/04/2026","80,99","80,50","81,99","80,50","4,30K","0,48%"
"02/04/2026","80,60","80,90","81,99","80,20","1,57K","-0,37%"
"01/04/2026","80,90","81,00","82,00","80,90","85,94K","-0,12%"
"31/03/2026","81,00","81,50","82,90","80,75","2,52K","-1,15%"
