"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","886,00","886,00","900,00","886,00","0,05K","-2,10%"
"11/05/2026","905,00","887,10","907,00","887,10","0,01K","0,00%"
"08/05/2026","905,00","886,50","905,00","886,50","0,00K","-0,11%"
"07/05/2026","906,00","907,00","907,00","886,00","0,04K","-0,11%"
"06/05/2026","907,00","908,00","908,00","882,00","0,07K","-0,22%"
"05/05/2026","909,00","880,10","909,00","880,10","0,01K","0,00%"
"04/05/2026","909,00","900,00","910,00","900,00","0,02K","-0,32%"
"28/04/2026","911,90","912,00","912,00","911,90","0,01K","-0,34%"
"27/04/2026","915,00","910,00","915,00","910,00","0,01K","0,66%"
"24/04/2026","909,00","913,00","915,00","885,70","0,08K","-0,66%"
"23/04/2026","915,00","917,90","917,90","915,00","0,00K","-0,21%"
"22/04/2026","916,90","900,00","918,00","880,00","0,08K","-0,23%"
"20/04/2026","919,00","893,50","919,00","892,00","0,04K","0,00%"
"17/04/2026","919,00","922,00","924,00","912,00","0,08K","2,00%"
"16/04/2026","901,00","900,00","930,00","900,00","0,23K","-2,54%"
"15/04/2026","924,50","910,00","929,00","900,00","0,10K","1,71%"
"14/04/2026","909,00","889,00","919,90","889,00","0,16K","-0,33%"
"13/04/2026","912,00","900,00","915,00","852,00","0,23K","1,33%"
"10/04/2026","900,00","852,00","935,00","852,00","1,07K","5,26%"
"09/04/2026","855,00","855,00","855,00","820,00","0,04K","0,00%"
"08/04/2026","855,00","839,00","869,00","839,00","0,30K","2,03%"
"07/04/2026","838,00","810,00","839,00","810,00","0,03K","-0,12%"
"06/04/2026","839,00","839,00","839,00","815,00","0,02K","-0,12%"
"03/04/2026","840,00","845,00","845,00","811,00","0,12K","2,41%"
"02/04/2026","820,20","830,50","848,90","820,20","0,07K","-1,65%"
"01/04/2026","834,00","815,00","870,00","815,00","0,26K","4,77%"
"31/03/2026","796,00","814,50","814,50","796,00","0,04K","-0,50%"
"30/03/2026","800,00","814,90","814,90","800,00","0,02K","-1,82%"
"27/03/2026","814,80","788,00","814,90","788,00","0,04K","0,34%"
"25/03/2026","812,00","812,50","813,00","812,00","0,07K","-0,18%"
"24/03/2026","813,50","779,00","813,50","779,00","0,01K","-0,12%"
"19/03/2026","814,50","815,00","815,00","814,50","0,01K","0,06%"
"18/03/2026","814,00","810,00","816,00","810,00","0,01K","0,49%"
"17/03/2026","810,00","808,00","810,00","806,00","0,08K","4,92%"
