"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","61,00","61,80","61,80","60,22","3,85K","-1,29%"
"12/05/2026","61,80","61,12","62,00","60,85","2,39K","0,98%"
"11/05/2026","61,20","61,90","62,00","61,20","5,32K","-1,29%"
"08/05/2026","62,00","62,75","62,75","61,62","1,30K","0,00%"
"07/05/2026","62,00","63,00","63,00","62,00","25,55K","-1,59%"
"06/05/2026","63,00","60,47","63,00","60,47","21,11K","4,18%"
"05/05/2026","60,47","61,80","61,80","59,60","19,94K","1,12%"
"04/05/2026","59,80","62,16","62,16","59,80","9,12K","-0,33%"
"30/04/2026","60,00","61,01","61,95","60,00","10,60K","-2,12%"
"29/04/2026","61,30","61,99","62,00","61,30","5,25K","-0,33%"
"28/04/2026","61,50","62,79","62,79","61,00","16,50K","-0,81%"
"27/04/2026","62,00","62,00","63,20","62,00","3,71K","1,64%"
"24/04/2026","61,00","63,50","63,57","61,00","68,75K","-4,67%"
"23/04/2026","63,99","63,99","64,00","63,00","3,05K","0,77%"
"22/04/2026","63,50","63,50","64,80","63,00","3,85K","0,38%"
"21/04/2026","63,26","64,00","64,90","62,00","27,51K","0,49%"
"20/04/2026","62,95","62,55","63,80","61,50","24,51K","-3,15%"
"17/04/2026","65,00","63,50","66,00","61,50","45,05K","6,19%"
"16/04/2026","61,21","63,99","63,99","61,21","11,38K","-2,89%"
"15/04/2026","63,03","63,00","64,98","63,00","159,18K","0,37%"
"14/04/2026","62,80","62,00","63,94","61,20","52,99K","1,62%"
"13/04/2026","61,80","61,00","62,00","58,60","25,00K","-3,44%"
"10/04/2026","64,00","60,00","64,70","60,00","75,77K","3,23%"
"09/04/2026","62,00","60,00","62,00","58,00","31,81K","4,20%"
"08/04/2026","59,50","58,00","59,80","57,00","83,07K","6,27%"
"07/04/2026","55,99","53,50","55,99","53,00","320,70K","4,65%"
"06/04/2026","53,50","55,99","56,00","53,50","49,65K","-2,73%"
"03/04/2026","55,00","55,47","55,89","54,75","23,40K","0,20%"
"02/04/2026","54,89","55,50","55,99","54,89","52,45K","-1,61%"
"01/04/2026","55,79","56,00","56,40","55,65","56,52K","-0,02%"
"31/03/2026","55,80","55,80","56,15","55,56","37,93K","-0,36%"
"30/03/2026","56,00","56,39","56,39","55,30","4,29K","0,90%"
"27/03/2026","55,50","56,89","56,89","55,50","91,99K","-0,89%"
"26/03/2026","56,00","56,79","56,79","56,00","64,59K","-1,39%"
"25/03/2026","56,79","56,80","56,80","56,03","93,96K","1,43%"
"24/03/2026","55,99","57,00","57,00","55,72","38,12K","1,62%"
"19/03/2026","55,10","59,50","59,50","55,10","63,49K","-5,81%"
"18/03/2026","58,50","56,89","59,00","55,99","43,91K","6,36%"
"17/03/2026","55,00","57,40","57,40","55,00","13,88K","-1,70%"
"16/03/2026","55,95","56,00","56,70","55,20","16,21K","-1,50%"
"13/03/2026","56,80","56,20","56,80","55,20","32,79K","1,07%"
"12/03/2026","56,20","56,40","56,96","56,00","18,47K","1,81%"
"11/03/2026","55,20","57,00","57,00","55,20","24,63K","0,36%"
"10/03/2026","55,00","58,00","60,97","55,00","122,74K","-2,65%"
"09/03/2026","56,50","57,40","57,40","54,85","21,07K","-0,88%"
"06/03/2026","57,00","63,00","65,00","57,00","80,20K","-8,05%"
"05/03/2026","61,99","63,00","63,00","61,00","4,85K","4,18%"
"04/03/2026","59,50","55,00","59,95","55,00","25,48K","8,68%"
"03/03/2026","54,75","56,00","57,70","54,70","201,38K","-9,74%"
"02/03/2026","60,66","59,00","61,90","59,00","23,29K","-6,68%"
"27/02/2026","65,00","66,22","67,98","65,00","45,48K","-2,68%"
"26/02/2026","66,79","66,06","67,00","66,01","3,04K","1,20%"
"25/02/2026","66,00","67,20","68,20","66,00","24,70K","-1,49%"
"24/02/2026","67,00","68,00","69,00","67,00","81,01K","-1,47%"
"23/02/2026","68,00","68,57","70,47","68,00","67,41K","-0,82%"
"20/02/2026","68,56","69,70","69,98","68,56","2,03K","-1,35%"
"19/02/2026","69,50","68,61","69,98","68,56","2,48K","0,00%"
"18/02/2026","69,50","69,00","70,00","69,00","0,57K","-0,70%"
"17/02/2026","69,99","70,00","70,00","68,41","2,84K","-0,01%"
"16/02/2026","70,00","70,00","70,68","68,70","99,75K","1,51%"
"13/02/2026","68,96","70,50","70,72","68,96","45,30K","-1,49%"
"12/02/2026","70,00","69,50","70,00","69,00","202,28K","0,72%"
"11/02/2026","69,50","70,65","70,65","69,00","2,36K","0,72%"
"10/02/2026","69,00","70,30","70,30","69,00","100,88K","0,00%"
"09/02/2026","69,00","68,50","70,90","68,50","5,37K","1,47%"
"06/02/2026","68,00","70,00","70,00","67,80","26,43K","-1,31%"
"05/02/2026","68,90","70,00","70,00","68,01","24,59K","-2,27%"
"04/02/2026","70,50","71,00","71,00","70,00","684,95K","0,71%"
"03/02/2026","70,00","71,00","71,00","70,00","3,02K","0,00%"
"02/02/2026","70,00","72,00","72,00","70,00","25,23K","-1,38%"
"30/01/2026","70,98","71,55","72,50","70,98","150,66K","-1,55%"
"29/01/2026","72,10","73,00","73,00","71,00","372,24K","-0,55%"
"28/01/2026","72,50","70,80","73,75","70,00","309,80K","3,20%"
"27/01/2026","70,25","70,50","70,90","70,00","12,63K","-0,14%"
"26/01/2026","70,35","70,70","71,50","69,50","19,08K","-0,50%"
"23/01/2026","70,70","72,55","72,55","70,70","25,89K","-2,46%"
"22/01/2026","72,48","72,87","72,87","71,01","1,49K","2,66%"
"21/01/2026","70,60","73,00","73,01","70,10","21,25K","-2,49%"
"20/01/2026","72,40","73,00","73,15","72,11","4,02K","-0,82%"
"19/01/2026","73,00","74,00","74,00","73,00","3,44K","-1,35%"
"16/01/2026","74,00","74,30","74,50","74,00","7,11K","-0,42%"
"15/01/2026","74,31","74,50","75,97","74,31","65,47K","-0,92%"
"13/01/2026","75,00","76,00","76,00","74,50","6,66K","-1,30%"
"12/01/2026","75,99","76,00","76,01","75,00","4,39K","-0,01%"
"09/01/2026","76,00","77,19","77,19","75,65","42,91K","0,00%"
"08/01/2026","76,00","77,31","78,14","76,00","8,72K","-2,93%"
"07/01/2026","78,29","77,00","79,00","77,00","3,86K","3,01%"
"06/01/2026","76,00","79,95","79,95","76,00","78,39K","-1,94%"
"05/01/2026","77,50","79,00","80,00","77,00","7,36K","-3,13%"
"02/01/2026","80,00","78,45","80,00","76,10","12,30K","3,90%"
"31/12/2025","77,00","75,00","77,00","75,00","46,49K","2,67%"
"30/12/2025","75,00","75,38","76,00","73,50","191,34K","-1,30%"
"29/12/2025","75,99","77,47","77,47","74,00","32,47K","1,32%"
"26/12/2025","75,00","82,96","82,96","75,00","121,92K","-9,64%"
"25/12/2025","83,00","75,90","83,00","74,00","380,52K","7,79%"
"24/12/2025","77,00","72,99","77,00","72,00","174,20K","5,93%"
"23/12/2025","72,69","71,02","73,40","71,00","183,83K","0,96%"
"22/12/2025","72,00","73,98","73,98","71,00","18,55K","1,41%"
"19/12/2025","71,00","73,99","73,99","71,00","7,28K","-2,74%"
"18/12/2025","73,00","73,99","73,99","73,00","28,06K","-1,32%"
"17/12/2025","73,98","72,75","74,00","71,08","40,26K","2,18%"
"16/12/2025","72,40","70,60","72,40","70,60","3,35K","0,56%"
"15/12/2025","72,00","71,21","72,45","70,02","8,39K","1,27%"
"12/12/2025","71,10","72,00","72,45","71,00","36,40K","0,00%"
"11/12/2025","71,10","72,45","72,45","71,00","1,55K","-1,86%"
"10/12/2025","72,45","71,00","72,75","71,00","1,31K","0,91%"
"09/12/2025","71,80","73,00","73,00","71,10","2,45K","-1,64%"
"08/12/2025","73,00","73,00","73,00","70,50","4,17K","0,00%"
"05/12/2025","73,00","70,52","73,00","70,52","6,86K","1,83%"
"04/12/2025","71,69","71,80","72,00","70,01","13,80K","-0,15%"
"03/12/2025","71,80","70,20","72,00","70,20","9,30K","-0,26%"
"02/12/2025","71,99","72,00","72,00","70,10","6,28K","-0,01%"
"01/12/2025","72,00","72,50","72,50","70,31","8,94K","0,70%"
