"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"09/01/2023","40,00","40,00","40,00","40,00","0,05K","0,00%"
"05/01/2023","40,00","40,00","40,00","38,60","0,13K","-0,82%"
"04/01/2023","40,33","40,33","40,33","40,33","0,01K","-5,99%"
"30/12/2022","42,90","42,90","42,90","42,90","0,01K","-0,23%"
"29/12/2022","43,00","43,00","43,00","43,00","0,03K","0,00%"
"28/12/2022","43,00","43,00","43,00","43,00","0,03K","0,00%"
"27/12/2022","43,00","40,00","43,00","40,00","0,21K","1,18%"
"26/12/2022","42,50","42,50","42,50","41,00","0,05K","0,71%"
"23/12/2022","42,20","42,20","42,20","42,20","0,01K","0,96%"
"22/12/2022","41,80","41,80","41,80","41,80","0,02K","5,66%"
"21/12/2022","39,56","43,15","43,90","39,56","0,24K","-5,67%"
"20/12/2022","41,94","40,10","42,00","39,05","0,67K","4,59%"
"19/12/2022","40,10","43,90","43,95","40,10","0,40K","-5,98%"
"16/12/2022","42,65","40,00","42,65","40,00","1,53K","5,99%"
"15/12/2022","40,24","40,23","40,24","40,00","0,61K","5,98%"
"13/12/2022","37,97","38,95","38,95","37,97","0,04K","-2,64%"
"12/12/2022","39,00","38,00","39,00","38,00","0,04K","0,00%"
"09/12/2022","39,00","39,00","39,00","39,00","0,05K","-0,64%"
"08/12/2022","39,25","39,20","39,25","39,20","0,15K","0,67%"
"07/12/2022","38,99","38,00","38,99","38,00","0,02K","-0,79%"
"05/12/2022","39,30","39,30","39,30","38,64","0,14K","0,00%"
"02/12/2022","39,30","39,01","39,30","39,01","0,94K","-5,28%"
"01/12/2022","41,49","39,25","41,49","37,01","0,63K","5,57%"
"30/11/2022","39,30","39,50","39,50","36,00","1,16K","2,91%"
"29/11/2022","38,19","38,18","38,19","38,00","2,88K","6,00%"
"28/11/2022","36,03","34,00","36,03","34,00","1,79K","5,97%"
"25/11/2022","34,00","32,94","34,00","32,94","4,71K","-2,97%"
"24/11/2022","35,04","35,04","35,04","35,04","0,25K","-5,98%"
"23/11/2022","37,27","37,27","37,27","37,27","0,39K","-5,98%"
