"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"08/05/2026","4.190,0","4.190,0","4.190,0","4.190,0","0,02K","2,20%"
"06/05/2026","4.100,0","4.100,0","4.100,0","4.100,0","0,00K","-2,15%"
"04/05/2026","4.190,0","4.190,0","4.190,0","4.190,0","0,01K","2,20%"
"24/04/2026","4.100,0","4.100,0","4.100,0","4.100,0","0,00K","0,00%"
"22/04/2026","4.100,0","4.100,0","4.100,0","4.100,0","0,00K","0,00%"
"21/04/2026","4.100,0","4.100,0","4.100,0","4.100,0","0,00K","-2,36%"
"14/04/2026","4.199,0","4.199,0","4.199,0","4.199,0","0,00K","-1,89%"
"25/03/2026","4.280,0","4.280,0","4.280,0","4.280,0","0,00K","0,00%"
"16/03/2026","4.280,0","4.280,0","4.280,0","4.280,0","0,09K","-0,47%"
"20/02/2026","4.300,0","4.300,0","4.300,0","4.300,0","0,00K","0,00%"
"19/02/2026","4.300,0","4.300,0","4.300,0","4.300,0","0,02K","0,00%"
"16/02/2026","4.300,0","4.300,0","4.300,0","4.300,0","0,01K","0,00%"
"12/02/2026","4.300,0","4.300,0","4.300,0","4.300,0","0,23K","0,00%"
"05/01/2026","4.300,0","4.300,0","4.300,0","4.300,0","0,01K","2,38%"
"17/12/2025","4.200,0","4.200,0","4.200,0","4.200,0","","0,00%"
"16/12/2025","4.200,0","4.200,0","4.200,0","4.200,0","","0,00%"
"04/12/2025","4.200,0","4.200,0","4.200,0","4.200,0","0,01K","0,00%"
"28/11/2025","4.200,0","4.200,0","4.200,0","4.200,0","0,00K","5,00%"
"25/11/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,01K","0,00%"
"24/11/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,00K","-5,64%"
"17/11/2025","4.239,0","4.239,0","4.239,0","4.239,0","0,00K","5,98%"
"06/10/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,01K","0,00%"
"25/09/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,01K","-2,44%"
"22/09/2025","4.100,0","4.100,0","4.100,0","4.100,0","0,00K","2,50%"
"16/09/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,14K","0,00%"
"09/09/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,01K","0,00%"
"08/09/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,01K","0,00%"
"29/08/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,05K","2,56%"
"27/08/2025","3.900,0","3.900,0","3.900,0","3.900,0","0,00K","3,70%"
"26/08/2025","3.761,0","3.761,0","3.761,0","3.761,0","0,02K","-5,98%"
"07/08/2025","4.000,0","4.000,0","4.000,0","4.000,0","0,13K","2,56%"
"05/08/2025","3.900,0","3.900,0","3.900,0","3.900,0","0,01K","0,00%"
"04/08/2025","3.900,0","3.900,0","3.900,0","3.900,0","0,00K","0,00%"
"01/08/2025","3.900,0","3.900,0","3.900,0","3.900,0","0,05K","5,41%"
"29/07/2025","3.700,0","3.700,0","3.700,0","3.700,0","0,00K","-3,90%"
"24/07/2025","3.850,0","3.850,0","3.850,0","3.850,0","0,01K","-3,48%"
"16/07/2025","3.989,0","3.989,0","3.989,0","3.989,0","0,00K","0,99%"
"11/07/2025","3.950,0","3.950,0","3.950,0","3.950,0","0,05K","2,60%"
"09/07/2025","3.850,0","3.850,0","3.850,0","3.850,0","0,00K","4,05%"
"30/06/2025","3.700,0","3.700,0","3.700,0","3.700,0","0,02K","0,27%"
"03/06/2025","3.690,0","3.690,0","3.690,0","3.690,0","0,01K","5,43%"
"28/05/2025","3.500,0","3.500,0","3.500,0","3.500,0","0,06K","0,00%"
"23/05/2025","3.500,0","3.500,0","3.500,0","3.500,0","0,14K","0,00%"
"22/05/2025","3.500,0","3.500,0","3.500,0","3.500,0","0,01K","4,48%"
"16/05/2025","3.350,0","3.350,0","3.350,0","3.350,0","0,22K","0,36%"
"05/05/2025","3.338,0","3.338,0","3.338,0","3.338,0","0,00K","-5,97%"
