"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","809,90","809,90","810,00","780,00","0,23K","0,26%"
"12/05/2026","807,80","813,50","813,50","790,00","0,01K","0,72%"
"11/05/2026","802,00","800,00","804,00","785,00","0,07K","-0,25%"
"08/05/2026","804,00","804,90","804,90","800,00","0,04K","-0,12%"
"07/05/2026","805,00","790,00","811,90","784,00","0,14K","2,55%"
"06/05/2026","785,00","777,50","799,00","770,00","4,04K","0,00%"
"05/05/2026","785,00","800,00","800,00","775,10","0,17K","-1,88%"
"04/05/2026","800,00","813,70","813,70","800,00","0,08K","-0,36%"
"30/04/2026","802,90","793,90","839,00","774,00","0,55K","3,73%"
"29/04/2026","774,00","800,00","800,00","770,00","0,10K","-0,64%"
"28/04/2026","779,00","805,90","805,90","779,00","0,29K","1,30%"
"27/04/2026","769,00","773,00","810,00","769,00","0,59K","0,00%"
"24/04/2026","769,00","778,70","780,00","769,00","0,47K","-1,25%"
"23/04/2026","778,70","787,80","787,80","768,10","0,25K","-1,31%"
"22/04/2026","789,00","771,00","789,00","765,00","0,14K","2,33%"
"21/04/2026","771,00","769,00","775,00","767,10","0,14K","0,14%"
"20/04/2026","769,90","784,00","784,00","760,00","0,33K","-1,80%"
"17/04/2026","784,00","790,00","790,00","760,00","0,81K","4,53%"
"16/04/2026","750,00","759,00","794,90","750,00","2,55K","-1,06%"
"15/04/2026","758,00","789,00","795,00","758,00","2,12K","-2,70%"
"14/04/2026","779,00","789,00","790,00","779,00","0,09K","0,26%"
"13/04/2026","777,00","778,00","778,00","770,00","0,06K","-0,26%"
"10/04/2026","779,00","819,00","819,00","778,00","1,49K","4,56%"
"09/04/2026","745,00","769,90","769,90","745,00","0,27K","-2,86%"
"08/04/2026","766,90","762,00","775,00","745,10","0,85K","2,12%"
"07/04/2026","751,00","756,00","759,80","750,10","0,09K","-0,49%"
"06/04/2026","754,70","761,60","761,60","747,10","0,08K","1,29%"
"03/04/2026","745,10","745,20","760,00","745,10","0,14K","-0,39%"
"02/04/2026","748,00","758,00","759,00","745,10","2,82K","-0,90%"
"01/04/2026","754,80","756,90","756,90","741,00","0,04K","1,86%"
"31/03/2026","741,00","751,00","751,00","740,00","0,27K","-1,33%"
"30/03/2026","751,00","779,00","779,00","740,00","0,07K","3,59%"
"27/03/2026","725,00","760,00","760,00","725,00","3,16K","-4,61%"
"26/03/2026","760,00","788,00","788,00","760,00","0,30K","-2,44%"
"25/03/2026","779,00","767,00","797,00","755,00","0,25K","1,83%"
"24/03/2026","765,00","776,90","776,90","760,00","0,23K","0,00%"
"19/03/2026","765,00","776,00","776,00","751,00","0,23K","-1,42%"
"18/03/2026","776,00","755,00","778,00","755,00","0,22K","2,80%"
"17/03/2026","754,90","752,00","754,90","752,00","0,06K","0,27%"
"16/03/2026","752,90","762,00","762,30","744,00","0,37K","1,20%"
"13/03/2026","744,00","800,00","820,00","744,00","5,58K","-9,82%"
"12/03/2026","825,00","800,00","830,00","800,00","0,32K","1,73%"
"11/03/2026","811,00","814,00","814,00","809,00","0,07K","6,63%"
"10/03/2026","760,60","822,00","868,90","760,60","0,70K","-9,99%"
"09/03/2026","845,00","820,00","845,00","815,00","0,10K","0,12%"
"06/03/2026","844,00","845,00","845,00","825,00","0,13K","-0,12%"
"05/03/2026","845,00","840,00","845,00","830,00","0,10K","0,12%"
"04/03/2026","844,00","790,00","849,00","790,00","0,30K","-2,98%"
"03/03/2026","869,90","877,00","877,00","836,00","0,22K","-1,15%"
"02/03/2026","880,00","837,10","880,00","830,00","0,10K","0,00%"
"27/02/2026","880,00","878,00","880,00","878,00","0,03K","0,11%"
"26/02/2026","879,00","842,00","879,00","842,00","0,11K","4,02%"
"25/02/2026","845,00","862,00","862,00","845,00","0,30K","-4,30%"
"23/02/2026","883,00","860,20","883,00","860,20","0,02K","2,66%"
"20/02/2026","860,10","880,00","880,00","860,10","0,28K","-2,26%"
"19/02/2026","880,00","858,20","880,00","858,20","0,07K","0,00%"
"18/02/2026","880,00","887,00","887,00","865,00","0,04K","-0,56%"
"17/02/2026","885,00","885,00","885,00","885,00","0,01K","0,57%"
"16/02/2026","880,00","887,00","887,00","880,00","0,02K","-0,56%"
"13/02/2026","885,00","885,00","887,00","885,00","0,09K","0,11%"
"12/02/2026","884,00","885,00","885,00","866,00","0,07K","0,45%"
"11/02/2026","880,00","881,90","885,00","880,00","0,11K","5,26%"
"10/02/2026","836,00","840,00","883,90","836,00","0,14K","-5,43%"
"09/02/2026","884,00","884,00","884,00","880,00","0,83K","0,45%"
"06/02/2026","880,00","880,00","880,00","878,00","0,04K","-0,56%"
"05/02/2026","885,00","879,00","885,00","879,00","0,13K","0,68%"
"04/02/2026","879,00","879,00","879,00","879,00","0,00K","-0,11%"
"30/01/2026","880,00","888,00","888,00","880,00","0,01K","-1,01%"
"28/01/2026","889,00","889,00","889,00","889,00","0,00K","0,34%"
"27/01/2026","886,00","833,00","888,00","833,00","0,27K","-0,21%"
"26/01/2026","887,90","829,20","888,00","829,20","0,02K","0,10%"
"23/01/2026","887,00","826,30","887,00","826,30","0,04K","-0,22%"
"22/01/2026","889,00","852,00","889,00","852,00","0,01K","-0,34%"
"21/01/2026","892,00","892,00","892,00","892,00","0,01K","0,22%"
"20/01/2026","890,00","888,00","895,00","820,00","0,55K","2,18%"
"19/01/2026","871,00","897,00","897,00","852,00","0,02K","-3,22%"
"13/01/2026","900,00","880,00","900,00","820,00","0,13K","0,56%"
"12/01/2026","895,00","895,00","895,00","895,00","0,32K","0,00%"
"09/01/2026","895,00","894,00","895,00","890,00","0,90K","0,22%"
"08/01/2026","893,00","880,70","895,00","880,00","0,10K","-0,66%"
"07/01/2026","898,90","880,00","900,00","880,00","0,06K","-0,12%"
"06/01/2026","900,00","902,80","902,80","900,00","0,16K","-0,44%"
"05/01/2026","904,00","885,00","904,00","880,00","0,10K","2,73%"
"02/01/2026","880,00","891,00","891,00","880,00","0,05K","0,00%"
"31/12/2025","880,00","866,10","880,00","866,10","0,81K","-1,23%"
"30/12/2025","891,00","872,50","891,00","864,00","0,10K","-0,02%"
"29/12/2025","891,20","870,20","896,00","865,00","0,02K","0,70%"
"26/12/2025","885,00","870,00","896,90","870,00","0,03K","2,08%"
"25/12/2025","867,00","890,00","890,00","864,00","0,19K","-2,58%"
"24/12/2025","890,00","861,00","890,00","861,00","0,05K","1,14%"
"23/12/2025","880,00","861,60","899,90","861,60","0,56K","-2,65%"
"22/12/2025","904,00","907,00","907,00","900,00","0,09K","0,44%"
"19/12/2025","900,00","903,90","907,00","900,00","0,46K","-0,33%"
"18/12/2025","903,00","900,00","903,00","876,00","0,38K","2,61%"
"17/12/2025","880,00","880,00","880,00","880,00","0,11K","-2,22%"
"16/12/2025","900,00","871,00","900,00","871,00","0,05K","0,00%"
"15/12/2025","900,00","905,00","905,00","900,00","0,17K","-0,55%"
"12/12/2025","905,00","880,00","905,00","880,00","1,13K","0,67%"
"09/12/2025","899,00","910,00","910,00","855,00","0,01K","1,23%"
"04/12/2025","888,10","888,10","888,10","888,10","0,07K","0,00%"
"03/12/2025","888,10","886,80","888,10","886,80","0,19K","-0,08%"
"02/12/2025","888,80","853,00","888,80","853,00","0,09K","-0,80%"
"01/12/2025","896,00","896,00","896,00","896,00","0,01K","-0,67%"
"27/11/2025","902,00","902,00","902,00","902,00","0,00K","4,87%"
"26/11/2025","860,10","856,00","860,10","856,00","0,03K","0,94%"
"25/11/2025","852,10","820,00","905,00","820,00","0,11K","-5,74%"
"24/11/2025","904,00","880,00","904,00","880,00","0,01K","0,34%"
"21/11/2025","900,90","880,00","900,90","880,00","0,01K","-0,23%"
"20/11/2025","903,00","885,00","903,00","885,00","0,07K","0,00%"
"19/11/2025","903,00","910,00","910,00","885,00","0,02K","0,22%"
"17/11/2025","901,00","912,00","912,00","901,00","0,02K","-1,30%"
"14/11/2025","912,90","919,00","919,00","912,90","0,14K","1,43%"
"13/11/2025","900,00","880,00","900,00","880,00","0,13K","0,00%"
"12/11/2025","900,00","900,00","900,00","883,00","0,03K","1,93%"
"11/11/2025","883,00","883,00","910,00","882,00","0,26K","-5,05%"
"10/11/2025","930,00","880,00","930,00","876,00","0,37K","1,64%"
"07/11/2025","915,00","880,00","917,90","880,00","0,11K","-0,44%"
"05/11/2025","919,00","919,90","919,90","890,00","0,10K","3,26%"
"04/11/2025","890,00","890,00","890,00","890,00","0,21K","-4,09%"
"03/11/2025","928,00","925,00","930,00","860,00","0,49K","0,65%"
"31/10/2025","922,00","901,00","923,00","891,00","0,13K","1,88%"
