"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","360,10","368,50","368,50","360,00","0,92K","-1,88%"
"12/05/2026","367,00","371,80","371,80","365,00","0,23K","-0,03%"
"11/05/2026","367,10","369,00","372,90","365,00","0,50K","-0,78%"
"08/05/2026","370,00","370,00","370,00","367,00","0,93K","0,00%"
"07/05/2026","370,00","369,10","370,00","366,00","1,72K","0,41%"
"06/05/2026","368,50","366,00","369,95","362,50","0,99K","0,96%"
"05/05/2026","365,00","366,00","366,00","361,00","2,02K","1,39%"
"04/05/2026","360,00","362,90","370,00","360,00","2,28K","2,56%"
"30/04/2026","351,00","357,00","359,00","351,00","0,47K","-1,40%"
"29/04/2026","356,00","360,00","360,00","355,00","0,26K","-1,11%"
"28/04/2026","360,00","360,00","360,00","350,00","0,35K","0,00%"
"27/04/2026","360,00","364,00","364,00","355,50","0,20K","0,00%"
"24/04/2026","360,00","364,00","365,00","360,00","8,54K","-1,09%"
"23/04/2026","363,95","365,00","365,90","356,00","0,25K","-0,29%"
"22/04/2026","365,00","363,75","365,00","359,10","1,39K","1,39%"
"21/04/2026","360,00","370,00","370,00","348,00","3,34K","-2,44%"
"20/04/2026","369,00","365,20","375,00","361,00","0,44K","-1,86%"
"17/04/2026","376,00","347,00","381,00","347,00","10,53K","8,36%"
"16/04/2026","347,00","348,00","349,00","343,20","1,88K","1,17%"
"15/04/2026","343,00","338,00","349,00","338,00","4,65K","2,42%"
"14/04/2026","334,90","335,00","335,00","331,00","0,42K","-0,03%"
"13/04/2026","335,00","334,00","337,90","327,00","1,24K","0,00%"
"10/04/2026","335,00","338,00","338,00","332,00","0,24K","0,00%"
"09/04/2026","335,00","331,05","338,00","330,00","0,49K","-1,18%"
"08/04/2026","339,00","338,00","340,00","335,00","4,11K","3,51%"
"07/04/2026","327,50","330,00","337,90","327,50","0,60K","-3,11%"
"06/04/2026","338,00","335,00","338,00","334,50","0,13K","1,50%"
"03/04/2026","333,00","327,50","339,00","327,50","0,12K","-1,77%"
"02/04/2026","339,00","344,00","344,00","327,05","0,93K","-1,17%"
"01/04/2026","343,00","341,00","343,00","334,00","1,41K","0,88%"
"31/03/2026","340,00","325,00","342,50","325,00","8,46K","9,15%"
"30/03/2026","311,50","320,00","320,00","311,50","0,02K","-2,66%"
"27/03/2026","320,00","315,00","322,00","315,00","0,91K","0,03%"
"26/03/2026","319,90","311,00","319,90","311,00","0,17K","2,80%"
"25/03/2026","311,20","315,30","320,00","311,10","0,07K","-1,21%"
"24/03/2026","315,00","320,00","320,00","315,00","0,05K","0,00%"
"19/03/2026","315,00","317,00","317,00","307,00","0,20K","-1,56%"
"18/03/2026","320,00","317,70","320,00","317,65","0,10K","0,72%"
"17/03/2026","317,70","316,90","317,70","315,00","0,32K","3,82%"
"16/03/2026","306,00","308,00","315,00","306,00","0,31K","-0,65%"
"13/03/2026","308,00","316,50","316,50","308,00","4,00K","0,33%"
"12/03/2026","307,00","309,00","309,00","302,00","0,06K","1,66%"
"11/03/2026","302,00","323,00","323,00","302,00","0,36K","0,00%"
"10/03/2026","302,00","319,85","319,85","302,00","0,68K","-0,02%"
"09/03/2026","302,05","305,05","310,00","302,00","0,11K","0,02%"
"06/03/2026","302,00","315,10","324,55","302,00","0,71K","-5,12%"
"05/03/2026","318,30","318,30","318,30","318,00","0,06K","-0,06%"
"04/03/2026","318,50","300,00","318,50","300,00","0,23K","6,17%"
"03/03/2026","300,00","314,00","314,00","285,00","0,57K","-0,66%"
"02/03/2026","302,00","301,20","318,80","301,00","0,81K","-6,79%"
"27/02/2026","324,00","325,00","325,00","324,00","0,02K","-0,92%"
"26/02/2026","327,00","326,00","327,00","325,95","0,07K","1,55%"
"25/02/2026","322,00","322,00","322,00","322,00","0,02K","0,63%"
"24/02/2026","320,00","322,00","322,10","320,00","0,36K","0,00%"
"23/02/2026","320,00","323,00","323,00","320,00","0,33K","-0,62%"
"20/02/2026","322,00","325,00","327,00","320,00","0,64K","-0,92%"
"19/02/2026","325,00","325,00","325,00","325,00","0,01K","0,00%"
"18/02/2026","325,00","324,00","326,00","321,40","0,12K","0,31%"
"17/02/2026","324,00","326,95","327,00","324,00","0,21K","-0,90%"
"16/02/2026","326,95","316,00","327,95","316,00","0,27K","-0,32%"
"13/02/2026","328,00","330,00","330,00","318,30","0,62K","-0,27%"
"12/02/2026","328,90","330,00","333,80","320,00","0,21K","1,20%"
"11/02/2026","325,00","330,00","330,00","320,00","0,62K","-1,52%"
"10/02/2026","330,00","334,00","334,00","325,00","0,17K","0,00%"
"09/02/2026","330,00","324,00","330,00","324,00","0,83K","1,85%"
"06/02/2026","324,00","322,00","326,95","318,00","0,66K","0,61%"
"05/02/2026","322,05","322,60","330,00","322,00","2,65K","-2,26%"
"04/02/2026","329,50","326,50","330,00","326,50","0,20K","-0,74%"
"03/02/2026","331,95","333,00","333,00","323,00","0,10K","1,51%"
"02/02/2026","327,00","334,00","334,00","327,00","0,08K","-0,30%"
"30/01/2026","328,00","334,00","334,00","326,00","0,08K","-0,61%"
"29/01/2026","330,00","328,00","330,00","327,00","0,25K","-1,79%"
"28/01/2026","336,00","328,00","336,00","326,00","0,46K","2,44%"
"27/01/2026","328,00","328,00","328,00","325,00","0,27K","0,00%"
"26/01/2026","328,00","330,00","330,00","326,00","0,52K","0,15%"
"23/01/2026","327,50","337,90","337,90","326,90","0,10K","-0,76%"
"22/01/2026","330,00","339,60","339,60","330,00","1,03K","-0,30%"
"21/01/2026","331,00","331,10","331,10","331,00","0,07K","-2,22%"
"20/01/2026","338,50","339,90","339,90","333,00","0,88K","0,45%"
"19/01/2026","337,00","338,00","339,00","335,00","0,18K","0,00%"
"16/01/2026","337,00","344,00","344,00","335,00","0,97K","-0,88%"
"15/01/2026","340,00","345,00","345,00","338,00","0,08K","0,29%"
"13/01/2026","339,00","346,00","346,00","339,00","0,10K","-2,02%"
"12/01/2026","346,00","339,00","347,00","339,00","0,20K","0,29%"
"09/01/2026","345,00","345,00","347,95","342,00","0,09K","-0,85%"
"08/01/2026","347,95","342,00","350,00","342,00","0,05K","1,41%"
"07/01/2026","343,10","345,00","349,00","343,10","0,83K","-0,41%"
"06/01/2026","344,50","344,00","344,50","340,00","0,27K","0,15%"
"05/01/2026","344,00","346,00","346,00","339,60","0,70K","-0,58%"
"02/01/2026","346,00","340,00","355,00","340,00","0,10K","-1,14%"
"31/12/2025","350,00","340,00","350,00","340,00","1,07K","0,00%"
"30/12/2025","350,00","344,00","350,00","334,00","0,39K","0,00%"
"29/12/2025","350,00","331,00","350,00","330,00","2,01K","4,79%"
"26/12/2025","334,00","330,00","335,00","330,00","1,47K","0,69%"
"25/12/2025","331,70","344,00","344,00","331,70","0,97K","-2,44%"
"24/12/2025","340,00","343,00","345,00","336,30","1,27K","-1,43%"
"23/12/2025","344,95","345,75","345,75","343,00","3,41K","-0,04%"
"22/12/2025","345,10","349,95","350,00","345,10","0,54K","-1,40%"
"19/12/2025","350,00","358,85","358,85","350,00","0,35K","0,00%"
"18/12/2025","350,00","346,00","350,00","346,00","0,32K","0,37%"
"17/12/2025","348,70","350,20","355,00","348,70","0,97K","-0,41%"
"16/12/2025","350,15","355,00","355,00","350,15","0,14K","-1,37%"
"15/12/2025","355,00","360,00","360,00","355,00","0,33K","-1,39%"
"12/12/2025","360,00","352,00","360,00","352,00","0,28K","1,98%"
"11/12/2025","353,00","358,95","359,00","351,10","0,18K","-1,67%"
"10/12/2025","359,00","358,00","359,00","358,00","0,10K","1,70%"
"09/12/2025","353,00","358,00","358,00","351,10","0,04K","0,83%"
