"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","310,00","315,00","315,00","307,00","0,57K","-1,59%"
"12/05/2026","315,00","307,00","315,00","307,00","0,22K","2,61%"
"11/05/2026","307,00","311,10","322,00","307,00","0,58K","-2,54%"
"08/05/2026","315,00","316,00","322,00","311,10","0,60K","-3,05%"
"07/05/2026","324,90","320,00","329,95","319,00","0,78K","1,85%"
"06/05/2026","319,00","314,00","319,90","314,00","0,63K","4,27%"
"05/05/2026","305,95","305,00","315,00","305,00","0,83K","-4,36%"
"04/05/2026","319,90","326,00","326,00","319,90","0,15K","2,20%"
"30/04/2026","313,00","310,00","313,00","310,00","0,44K","0,94%"
"29/04/2026","310,10","322,00","322,00","306,10","1,73K","-4,29%"
"28/04/2026","324,00","328,90","328,95","322,00","0,58K","-1,49%"
"27/04/2026","328,90","320,00","329,00","320,00","0,20K","0,00%"
"24/04/2026","328,90","329,00","329,00","320,10","0,93K","-0,03%"
"23/04/2026","329,00","320,00","329,00","320,00","2,04K","0,92%"
"22/04/2026","326,00","332,90","332,90","321,00","0,80K","-0,31%"
"21/04/2026","327,00","325,00","333,00","320,00","1,84K","0,93%"
"20/04/2026","324,00","315,10","328,50","315,00","2,65K","-2,99%"
"17/04/2026","334,00","325,00","335,00","314,00","2,13K","4,38%"
"16/04/2026","320,00","317,80","330,00","315,30","3,67K","2,56%"
"15/04/2026","312,00","301,00","325,00","301,00","7,18K","4,35%"
"14/04/2026","299,00","287,00","299,00","287,00","1,92K","4,55%"
"13/04/2026","286,00","296,00","296,00","284,00","1,67K","-3,99%"
"10/04/2026","297,90","299,90","299,90","290,00","1,81K","1,67%"
"09/04/2026","293,00","296,20","305,00","293,00","0,59K","-3,90%"
"08/04/2026","304,90","280,00","304,90","280,00","4,63K","6,24%"
"07/04/2026","287,00","294,75","294,75","285,00","0,79K","-1,03%"
"06/04/2026","290,00","294,85","294,85","286,10","0,24K","-1,68%"
"03/04/2026","294,95","289,05","296,70","289,00","0,10K","-0,69%"
"02/04/2026","297,00","297,30","297,30","288,00","0,74K","0,41%"
"01/04/2026","295,80","294,00","297,00","289,00","0,72K","3,03%"
"31/03/2026","287,10","293,60","293,70","287,10","0,55K","-2,05%"
"30/03/2026","293,10","294,00","294,00","293,10","0,52K","0,03%"
"27/03/2026","293,00","299,80","299,80","292,80","2,58K","-2,30%"
"26/03/2026","299,90","303,10","311,00","290,10","5,41K","-4,19%"
"25/03/2026","313,00","302,00","313,75","298,10","0,82K","4,33%"
"24/03/2026","300,00","302,00","303,00","290,00","2,28K","0,00%"
"19/03/2026","300,00","302,00","302,00","298,10","0,29K","-2,52%"
"18/03/2026","307,75","298,00","307,80","298,00","0,90K","0,10%"
"17/03/2026","307,45","295,20","310,00","295,20","0,16K","-0,50%"
