"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","625,5","642,7","642,7","625,5","5,46K","-2,08%"
"12/05/2026","638,8","635,0","643,0","631,0","1,01K","0,60%"
"11/05/2026","635,0","640,0","648,0","631,0","2,07K","-0,78%"
"08/05/2026","640,0","640,0","650,0","640,0","1,48K","-0,16%"
"07/05/2026","641,0","650,0","655,0","641,0","22,13K","-2,14%"
"06/05/2026","655,0","634,0","655,0","634,0","34,85K","5,65%"
"05/05/2026","620,0","617,0","621,0","612,0","3,77K","0,98%"
"04/05/2026","614,0","611,0","645,0","610,0","3,25K","-0,15%"
"30/04/2026","614,9","613,0","624,7","600,0","12,49K","0,15%"
"29/04/2026","614,0","634,4","634,4","610,0","14,36K","-0,65%"
"28/04/2026","618,0","640,0","648,0","618,0","12,31K","-4,78%"
"27/04/2026","649,0","650,0","660,0","637,0","0,97K","1,72%"
"24/04/2026","638,0","636,0","648,6","636,0","28,70K","-1,85%"
"23/04/2026","650,0","650,0","655,0","646,0","36,92K","-0,76%"
"22/04/2026","655,0","653,0","668,0","653,0","23,31K","0,74%"
"21/04/2026","650,2","638,0","650,2","635,1","45,84K","1,91%"
"20/04/2026","638,0","622,0","643,9","617,0","43,43K","-1,85%"
"17/04/2026","650,0","600,0","652,2","600,0","139,19K","9,61%"
"16/04/2026","593,0","575,0","593,0","574,0","17,29K","3,13%"
"15/04/2026","575,0","559,5","581,0","556,0","48,23K","3,60%"
"14/04/2026","555,0","543,0","555,0","530,0","9,15K","6,49%"
"13/04/2026","521,2","520,5","534,9","520,0","0,51K","-4,37%"
"10/04/2026","545,0","534,9","545,0","534,9","5,03K","2,25%"
"09/04/2026","533,0","535,0","535,0","528,3","0,55K","0,38%"
"08/04/2026","531,0","535,0","539,9","530,0","20,88K","4,12%"
"07/04/2026","510,0","525,0","539,9","510,0","2,62K","-2,86%"
"06/04/2026","525,0","539,9","539,9","521,0","10,12K","-0,94%"
"03/04/2026","530,0","539,9","539,9","530,0","0,67K","-1,12%"
"02/04/2026","536,0","544,9","544,9","536,0","2,48K","0,19%"
"01/04/2026","535,0","535,0","544,9","535,0","15,43K","0,75%"
"31/03/2026","531,0","539,3","539,3","526,2","1,44K","-1,67%"
"30/03/2026","540,0","536,3","544,8","530,0","0,23K","-0,09%"
"27/03/2026","540,5","545,0","552,0","534,0","0,33K","-0,83%"
"26/03/2026","545,0","530,0","556,0","520,1","74,57K","6,86%"
"25/03/2026","510,0","528,0","528,0","506,1","24,54K","0,79%"
"24/03/2026","506,0","519,0","519,0","506,0","1,57K","-0,78%"
"19/03/2026","510,0","519,0","519,0","510,0","3,67K","-1,45%"
"18/03/2026","517,5","509,0","517,5","509,0","22,11K","1,57%"
"17/03/2026","509,5","509,9","509,9","500,0","1,79K","1,90%"
"16/03/2026","500,0","519,0","519,0","500,0","10,11K","0,00%"
"13/03/2026","500,0","516,0","520,0","500,0","2,41K","-2,91%"
"12/03/2026","515,0","518,0","519,0","515,0","0,31K","-0,58%"
"11/03/2026","518,0","518,0","518,0","516,0","0,17K","0,02%"
"10/03/2026","517,9","520,0","520,0","511,0","3,78K","3,58%"
"09/03/2026","500,0","496,0","510,0","496,0","16,27K","-3,85%"
"06/03/2026","520,0","525,0","525,0","510,0","12,05K","0,00%"
"05/03/2026","520,0","510,0","529,9","509,0","44,63K","2,16%"
"04/03/2026","509,0","481,0","510,0","481,0","1,26K","4,95%"
"03/03/2026","485,0","491,0","505,0","485,0","2,06K","-4,90%"
"02/03/2026","510,0","500,0","511,0","500,0","6,49K","-2,86%"
"27/02/2026","525,0","524,9","534,0","524,8","19,16K","0,96%"
"26/02/2026","520,0","520,0","523,0","520,0","6,86K","0,58%"
"25/02/2026","517,0","530,0","530,0","517,0","50,30K","-1,51%"
"24/02/2026","524,9","535,0","535,0","522,0","30,74K","-0,02%"
"23/02/2026","525,0","525,0","533,0","525,0","0,57K","-2,05%"
"20/02/2026","536,0","525,0","537,0","525,0","0,40K","1,90%"
"19/02/2026","526,0","528,0","537,9","526,0","0,23K","-0,75%"
"18/02/2026","530,0","540,0","540,0","530,0","0,16K","-0,93%"
"17/02/2026","535,0","537,0","538,0","534,0","0,40K","0,94%"
"16/02/2026","530,0","535,0","535,0","525,0","20,20K","0,76%"
"13/02/2026","526,0","525,0","530,0","525,0","2,58K","1,15%"
"12/02/2026","520,0","517,0","520,0","510,0","2,15K","-1,70%"
"11/02/2026","529,0","530,0","530,0","529,0","0,05K","1,73%"
"10/02/2026","520,0","513,0","529,9","513,0","0,63K","-0,02%"
"09/02/2026","520,1","520,0","530,0","520,0","0,31K","0,02%"
"06/02/2026","520,0","515,0","520,0","500,0","20,00K","-0,95%"
"05/02/2026","525,0","525,0","534,0","514,0","1,53K","0,77%"
"04/02/2026","521,0","526,0","526,0","521,0","0,14K","-0,95%"
"03/02/2026","526,0","526,0","535,0","526,0","1,69K","-0,57%"
"02/02/2026","529,0","526,1","529,0","515,1","1,66K","0,57%"
"30/01/2026","526,0","540,0","540,1","526,0","1,37K","-2,59%"
"29/01/2026","540,0","545,0","548,0","531,0","0,47K","0,00%"
"28/01/2026","540,0","534,1","541,0","534,0","0,34K","1,89%"
"27/01/2026","530,0","524,0","533,0","524,0","18,29K","1,92%"
"26/01/2026","520,0","533,0","535,0","520,0","12,54K","-3,17%"
"23/01/2026","537,0","538,0","554,0","530,2","5,13K","-2,33%"
"22/01/2026","549,8","534,0","549,8","534,0","0,29K","3,74%"
"21/01/2026","530,0","549,9","550,0","530,0","1,83K","-1,83%"
"20/01/2026","539,9","551,0","558,0","539,9","4,60K","-3,59%"
"19/01/2026","560,0","573,0","573,0","560,0","1,41K","-1,06%"
"16/01/2026","566,0","582,0","582,0","566,0","0,54K","-2,41%"
"15/01/2026","580,0","573,0","585,0","561,0","1,71K","-0,85%"
"13/01/2026","585,0","578,0","585,0","575,0","0,99K","0,86%"
"12/01/2026","580,0","588,0","588,0","580,0","3,13K","-0,17%"
"09/01/2026","581,0","579,0","585,0","575,0","22,68K","0,35%"
"08/01/2026","579,0","584,8","585,0","575,1","3,15K","-0,67%"
"07/01/2026","582,9","575,0","586,9","575,0","33,31K","0,50%"
"06/01/2026","580,0","584,0","586,0","580,0","1,42K","0,00%"
