"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","99,00","96,80","101,00","96,25","235,97K","2,38%"
"16/04/2026","96,70","96,18","97,00","96,18","57,25K","-0,15%"
"15/04/2026","96,85","95,99","97,29","95,99","253,85K","1,52%"
"14/04/2026","95,40","96,00","96,00","95,10","125,36K","-0,62%"
"13/04/2026","96,00","95,99","96,00","94,51","95,32K","0,00%"
"10/04/2026","96,00","96,00","96,00","95,30","188,59K","0,63%"
"09/04/2026","95,40","96,99","96,99","95,03","62,17K","-1,64%"
"08/04/2026","96,99","94,25","97,00","94,25","361,10K","4,85%"
"07/04/2026","92,50","93,00","93,40","92,50","16,75K","-0,54%"
"06/04/2026","93,00","93,00","93,85","92,90","13,80K","0,98%"
"03/04/2026","92,10","95,40","95,40","92,10","233,06K","-3,05%"
"02/04/2026","95,00","95,02","95,50","92,10","158,70K","-0,52%"
"01/04/2026","95,50","95,50","95,80","95,00","178,35K","1,73%"
"31/03/2026","93,88","95,00","95,49","93,88","73,01K","-1,39%"
"30/03/2026","95,20","95,85","95,85","94,50","28,57K","0,21%"
"27/03/2026","95,00","96,00","96,40","95,00","216,45K","0,43%"
"26/03/2026","94,59","95,60","96,20","94,59","184,75K","-0,42%"
"25/03/2026","94,99","93,99","95,00","93,85","1,87M","1,27%"
"24/03/2026","93,80","95,00","95,00","92,85","200,79K","-0,53%"
"19/03/2026","94,30","95,00","95,00","94,00","62,31K","-1,67%"
"18/03/2026","95,90","93,10","95,99","93,10","161,41K","3,13%"
"17/03/2026","92,99","92,68","93,00","92,50","109,67K","0,96%"
