"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","90,00","90,10","90,70","90,00","4,17K","0,00%"
"12/05/2026","90,00","90,00","90,17","89,96","12,35K","0,00%"
"11/05/2026","90,00","90,50","90,50","90,00","15,59K","-0,44%"
"08/05/2026","90,40","91,18","91,18","90,32","0,98K","-0,66%"
"07/05/2026","91,00","91,18","91,18","90,30","10,85K","0,00%"
"06/05/2026","91,00","90,98","91,18","90,41","4,19K","0,76%"
"05/05/2026","90,31","90,52","90,98","90,31","1,48K","-0,73%"
"04/05/2026","90,97","90,90","90,97","90,85","0,78K","0,13%"
"30/04/2026","90,85","90,87","90,88","90,10","2,05K","-0,02%"
"29/04/2026","90,87","90,30","90,88","90,30","0,72K","0,41%"
"28/04/2026","90,50","90,88","90,88","90,00","4,61K","-0,33%"
"27/04/2026","90,80","90,98","90,98","90,00","1,79K","0,92%"
"24/04/2026","89,97","90,88","90,88","89,95","64,81K","-1,13%"
"23/04/2026","91,00","90,50","91,48","90,00","9,37K","0,00%"
"22/04/2026","91,00","91,00","91,40","90,20","0,70K","0,55%"
"21/04/2026","90,50","90,80","91,00","90,50","6,47K","-0,13%"
"20/04/2026","90,62","90,65","90,65","90,00","14,65K","-0,42%"
"17/04/2026","91,00","91,00","91,00","90,00","27,11K","0,11%"
"16/04/2026","90,90","90,81","91,50","90,81","7,15K","0,11%"
"15/04/2026","90,80","91,50","91,50","90,00","23,91K","-0,77%"
"14/04/2026","91,50","90,60","91,80","90,60","1,32K","1,09%"
"13/04/2026","90,51","91,00","91,50","90,51","1,33K","-0,54%"
"10/04/2026","91,00","91,00","91,93","91,00","2,46K","0,00%"
"09/04/2026","91,00","91,50","92,00","91,00","2,97K","0,00%"
"08/04/2026","91,00","91,50","91,89","91,00","8,11K","-0,54%"
"07/04/2026","91,49","91,25","91,49","91,22","0,82K","0,21%"
"06/04/2026","91,30","91,49","91,49","91,20","0,34K","0,22%"
"03/04/2026","91,10","91,50","91,80","91,10","0,80K","0,00%"
"02/04/2026","91,10","91,49","91,49","91,00","0,87K","-0,44%"
"01/04/2026","91,50","91,30","91,50","91,00","0,59K","0,37%"
"31/03/2026","91,16","91,25","91,90","91,16","1,12K","-0,58%"
"30/03/2026","91,69","91,17","91,70","91,17","0,38K","0,26%"
"27/03/2026","91,45","91,49","91,49","91,13","0,79K","-0,04%"
"26/03/2026","91,49","91,49","91,49","91,01","0,40K","-0,01%"
"25/03/2026","91,50","91,01","91,50","91,01","6,00K","0,55%"
"24/03/2026","91,00","90,97","91,00","90,40","2,75K","0,50%"
"19/03/2026","90,55","90,50","90,99","90,20","0,95K","0,06%"
"18/03/2026","90,50","90,97","91,00","90,00","7,75K","-0,33%"
"17/03/2026","90,80","90,97","90,97","90,80","0,21K","0,00%"
"16/03/2026","90,80","90,10","90,80","89,82","8,23K","0,78%"
"13/03/2026","90,10","90,60","90,98","90,10","4,29K","-0,44%"
"12/03/2026","90,50","90,20","90,50","90,20","0,49K","0,33%"
"11/03/2026","90,20","90,50","91,00","90,20","0,80K","0,22%"
"10/03/2026","90,00","89,92","90,50","89,92","12,07K","-0,11%"
"09/03/2026","90,10","90,88","90,90","89,52","3,52K","-0,44%"
"06/03/2026","90,50","90,88","91,00","90,00","8,02K","-0,42%"
"05/03/2026","90,88","90,80","90,95","90,00","3,91K","0,36%"
"04/03/2026","90,55","90,30","91,90","90,30","3,38K","0,28%"
"03/03/2026","90,30","90,51","90,52","89,01","18,13K","-0,23%"
