"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","146,75","146,60","147,00","146,00","0,47K","0,31%"
"12/05/2026","146,30","158,00","158,00","145,35","0,81K","-2,47%"
"11/05/2026","150,00","155,20","155,20","148,10","0,32K","-3,23%"
"08/05/2026","155,00","155,75","156,00","155,00","0,21K","1,31%"
"07/05/2026","153,00","147,00","157,50","147,00","0,68K","5,52%"
"06/05/2026","145,00","146,00","146,05","145,00","0,22K","2,11%"
"05/05/2026","142,00","148,00","148,00","142,00","0,08K","-2,07%"
"04/05/2026","145,00","145,50","145,50","145,00","0,19K","0,00%"
"30/04/2026","145,00","153,00","153,00","141,00","0,54K","-4,61%"
"29/04/2026","152,00","152,10","154,00","152,00","0,30K","-0,65%"
"28/04/2026","153,00","153,30","153,30","153,00","0,18K","0,66%"
"27/04/2026","152,00","152,10","153,00","152,00","0,17K","-0,65%"
"24/04/2026","153,00","157,90","157,90","153,00","0,28K","-0,33%"
"23/04/2026","153,50","153,00","157,00","153,00","0,12K","0,00%"
"22/04/2026","153,50","153,00","157,50","153,00","0,08K","0,33%"
"21/04/2026","153,00","158,70","158,70","153,00","0,71K","0,00%"
"20/04/2026","153,00","158,70","158,70","153,00","0,92K","-4,02%"
"17/04/2026","159,40","160,00","160,00","152,50","1,44K","7,34%"
"16/04/2026","148,50","148,00","148,50","147,00","0,43K","0,34%"
"15/04/2026","148,00","143,00","156,80","140,00","3,73K","3,61%"
"14/04/2026","142,85","136,00","142,85","136,00","0,68K","4,27%"
"13/04/2026","137,00","143,90","143,90","136,00","0,35K","-3,49%"
"10/04/2026","141,95","142,10","143,00","141,95","0,29K","-0,04%"
"09/04/2026","142,00","143,00","144,65","140,00","1,18K","-0,63%"
"08/04/2026","142,90","144,70","144,70","141,50","0,55K","5,85%"
"07/04/2026","135,00","135,05","135,20","134,00","0,49K","0,75%"
"06/04/2026","134,00","131,60","134,00","131,60","0,28K","-2,12%"
"03/04/2026","136,90","136,90","137,00","134,00","0,55K","2,16%"
"02/04/2026","134,00","134,10","138,00","133,50","0,46K","-0,07%"
"01/04/2026","134,10","138,00","139,00","133,80","0,35K","0,45%"
"31/03/2026","133,50","138,00","138,90","133,00","1,37K","-3,61%"
"30/03/2026","138,50","140,00","140,00","137,50","0,68K","-1,07%"
"27/03/2026","140,00","136,20","145,00","136,20","4,88K","-0,96%"
"26/03/2026","141,35","141,35","141,35","141,35","5,38K","-9,97%"
"25/03/2026","157,00","158,00","159,70","157,00","0,35K","-1,81%"
"24/03/2026","159,90","160,00","160,00","159,90","0,18K","-0,06%"
"19/03/2026","160,00","160,00","160,00","156,00","0,72K","0,00%"
"18/03/2026","160,00","155,00","160,00","155,00","0,23K","0,00%"
"17/03/2026","160,00","160,00","160,00","160,00","0,03K","0,06%"
"16/03/2026","159,90","158,00","160,00","158,00","0,55K","-3,67%"
"13/03/2026","166,00","167,90","167,90","166,00","0,20K","-1,48%"
"12/03/2026","168,50","169,85","169,85","154,00","1,08K","-0,30%"
"11/03/2026","169,00","169,95","169,95","169,00","0,01K","-0,50%"
"10/03/2026","169,85","160,05","170,00","160,00","1,17K","7,81%"
"09/03/2026","157,55","157,55","157,55","157,55","0,47K","-9,97%"
"06/03/2026","175,00","175,00","177,80","170,00","0,28K","5,77%"
"05/03/2026","165,45","154,00","165,65","154,00","0,55K","7,44%"
"04/03/2026","154,00","138,00","155,00","138,00","1,08K","9,22%"
"03/03/2026","141,00","152,00","152,00","141,00","0,71K","-7,24%"
"02/03/2026","152,00","152,00","167,80","152,00","0,67K","-9,52%"
"27/02/2026","168,00","175,70","175,70","168,00","0,23K","-4,46%"
"26/02/2026","175,85","170,10","175,85","170,10","0,02K","3,41%"
"25/02/2026","170,05","172,00","178,90","170,00","0,39K","-0,56%"
"24/02/2026","171,00","170,00","172,00","170,00","1,04K","0,47%"
"23/02/2026","170,20","179,00","179,00","170,20","0,56K","0,12%"
"20/02/2026","170,00","175,15","175,20","170,00","1,38K","-3,46%"
"19/02/2026","176,10","174,00","176,10","173,00","0,32K","-1,10%"
"18/02/2026","178,05","182,00","182,00","178,05","0,13K","-2,22%"
"17/02/2026","182,10","182,00","184,00","180,00","1,17K","1,17%"
"16/02/2026","180,00","172,05","180,50","172,05","0,45K","0,56%"
"13/02/2026","179,00","171,50","179,40","171,50","0,16K","-0,56%"
"12/02/2026","180,00","175,00","181,75","175,00","0,42K","5,20%"
"11/02/2026","171,10","172,00","172,00","167,10","0,47K","-4,94%"
"10/02/2026","180,00","175,00","180,00","175,00","0,21K","1,98%"
"09/02/2026","176,50","174,00","176,50","170,00","0,43K","0,00%"
"06/02/2026","176,50","175,00","180,00","170,00","0,99K","1,03%"
"05/02/2026","174,70","187,90","187,90","174,00","1,54K","-5,05%"
"04/02/2026","184,00","179,00","184,00","174,00","0,33K","-2,13%"
"03/02/2026","188,00","177,50","188,90","177,50","0,15K","2,26%"
"02/02/2026","183,85","177,00","183,85","177,00","0,12K","-0,03%"
"30/01/2026","183,90","183,00","187,45","179,00","0,77K","1,13%"
"29/01/2026","181,85","189,00","189,00","181,10","0,98K","-4,29%"
"28/01/2026","190,00","187,65","195,00","180,00","2,15K","3,32%"
"27/01/2026","183,90","193,30","193,30","177,00","0,55K","-0,05%"
"26/01/2026","184,00","184,00","189,90","182,00","0,79K","-2,13%"
"23/01/2026","188,00","194,50","194,50","188,00","0,11K","-1,08%"
"22/01/2026","190,05","192,90","193,00","189,00","0,59K","3,85%"
"21/01/2026","183,00","189,00","192,50","183,00","0,55K","-3,17%"
"20/01/2026","189,00","195,00","195,00","182,00","0,71K","-3,08%"
"19/01/2026","195,00","195,00","195,00","190,00","0,18K","0,00%"
"16/01/2026","195,00","195,00","195,50","190,00","0,32K","-1,02%"
"15/01/2026","197,00","201,00","201,00","195,00","0,50K","-2,69%"
"13/01/2026","202,45","196,00","202,45","196,00","0,08K","2,98%"
"12/01/2026","196,60","197,50","199,50","196,60","0,69K","-1,70%"
"09/01/2026","200,00","203,30","203,30","194,60","0,80K","-0,99%"
"08/01/2026","202,00","205,00","207,70","198,50","1,02K","-1,46%"
"07/01/2026","205,00","207,95","212,50","198,50","2,41K","0,59%"
"06/01/2026","203,80","199,40","204,80","194,50","1,70K","3,14%"
"05/01/2026","197,60","195,95","198,00","191,00","1,64K","7,63%"
"02/01/2026","183,60","193,90","197,00","183,60","3,59K","0,88%"
"31/12/2025","182,00","205,00","205,00","182,00","1,96K","-8,31%"
"30/12/2025","198,50","198,95","200,00","193,10","0,65K","-0,73%"
"29/12/2025","199,95","202,15","209,55","190,00","4,07K","-4,79%"
"26/12/2025","210,00","208,00","210,00","202,00","1,19K","-0,31%"
"25/12/2025","210,65","210,00","218,85","198,00","7,91K","-3,31%"
"24/12/2025","217,85","210,00","219,85","210,00","0,63K","3,74%"
"23/12/2025","210,00","223,00","223,00","209,00","2,17K","-5,83%"
"22/12/2025","223,00","224,00","230,00","220,00","2,04K","1,48%"
"19/12/2025","219,75","218,50","227,00","204,30","2,09K","-3,15%"
"18/12/2025","226,90","225,00","226,90","218,00","0,62K","-0,48%"
"17/12/2025","228,00","210,60","230,00","201,00","1,85K","6,49%"
"16/12/2025","214,10","210,10","223,50","210,10","0,66K","-4,33%"
"15/12/2025","223,80","223,00","223,80","223,00","0,02K","-0,04%"
"12/12/2025","223,90","223,85","223,90","218,00","0,37K","2,71%"
"11/12/2025","218,00","218,00","220,00","215,00","0,33K","1,37%"
