"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","3.950,0","4.000,0","4.000,0","3.950,0","6,40K","0,00%"
"12/05/2026","3.950,0","4.050,0","4.050,0","3.950,0","6,04K","-1,25%"
"11/05/2026","4.000,0","4.048,0","4.050,0","3.950,0","0,67K","0,00%"
"08/05/2026","4.000,0","4.179,0","4.179,0","4.000,0","0,42K","-1,23%"
"07/05/2026","4.050,0","4.100,0","4.100,0","4.050,0","1,18K","0,00%"
"06/05/2026","4.050,0","4.160,0","4.161,0","4.050,0","6,89K","-2,41%"
"05/05/2026","4.150,0","4.290,0","4.300,0","4.150,0","4,63K","-1,17%"
"04/05/2026","4.199,0","4.148,0","4.199,0","4.148,0","0,98K","1,18%"
"30/04/2026","4.150,0","4.188,0","4.195,0","4.102,0","0,16K","-0,93%"
"29/04/2026","4.189,0","4.200,0","4.200,0","4.110,0","0,07K","-0,24%"
"28/04/2026","4.199,0","4.122,0","4.199,0","4.122,0","0,13K","2,14%"
"27/04/2026","4.111,0","4.269,0","4.269,0","4.111,0","0,01K","-0,94%"
"24/04/2026","4.150,0","4.300,0","4.300,0","4.150,0","0,36K","0,00%"
"23/04/2026","4.150,0","4.300,0","4.300,0","4.150,0","0,12K","-1,19%"
"22/04/2026","4.200,0","4.300,0","4.300,0","4.172,0","0,51K","-2,33%"
"21/04/2026","4.300,0","4.330,0","4.330,0","4.300,0","0,03K","-1,83%"
"20/04/2026","4.380,0","4.370,0","4.380,0","4.250,0","0,31K","-0,43%"
"17/04/2026","4.399,0","4.113,0","4.444,0","4.113,0","2,41K","2,59%"
"16/04/2026","4.288,0","4.107,0","4.290,0","4.107,0","0,24K","-0,28%"
"15/04/2026","4.300,0","4.340,0","4.340,0","4.300,0","1,07K","-0,81%"
"14/04/2026","4.335,0","4.200,0","4.350,0","4.200,0","0,65K","3,21%"
"13/04/2026","4.200,0","4.169,0","4.200,0","4.101,0","0,03K","0,00%"
"10/04/2026","4.200,0","4.200,0","4.200,0","4.193,0","2,19K","-0,45%"
"09/04/2026","4.219,0","4.200,0","4.250,0","4.150,0","0,80K","0,93%"
"08/04/2026","4.180,0","4.100,0","4.200,0","4.100,0","2,38K","5,88%"
"07/04/2026","3.948,0","3.949,0","3.980,0","3.901,0","0,20K","-0,03%"
"06/04/2026","3.949,0","4.097,0","4.140,0","3.949,0","0,93K","-5,53%"
"03/04/2026","4.180,0","3.850,0","4.180,0","3.850,0","9,57K","8,57%"
"02/04/2026","3.850,0","3.920,0","3.980,0","3.850,0","4,05K","0,03%"
"01/04/2026","3.849,0","3.861,0","3.900,0","3.849,0","1,63K","-1,31%"
"31/03/2026","3.900,0","3.900,0","3.900,0","3.852,0","4,04K","0,00%"
"30/03/2026","3.900,0","3.911,0","3.950,0","3.900,0","0,69K","-1,27%"
"27/03/2026","3.950,0","4.099,0","4.099,0","3.950,0","1,94K","-3,66%"
"26/03/2026","4.100,0","4.086,0","4.100,0","4.000,0","1,50K","0,32%"
"25/03/2026","4.087,0","3.999,0","4.100,0","3.999,0","0,33K","3,47%"
"24/03/2026","3.950,0","4.089,0","4.089,0","3.900,0","1,61K","-3,66%"
"19/03/2026","4.100,0","3.799,0","4.100,0","3.785,0","3,15K","8,32%"
"18/03/2026","3.785,0","3.799,0","3.800,0","3.780,0","3,42K","-0,32%"
"17/03/2026","3.797,0","3.748,0","3.900,0","3.748,0","0,51K","2,62%"
"16/03/2026","3.700,0","3.710,0","3.755,0","3.650,0","0,34K","2,78%"
"13/03/2026","3.600,0","3.800,0","3.800,0","3.600,0","2,02K","-4,76%"
"12/03/2026","3.780,0","3.800,0","3.800,0","3.780,0","0,79K","-0,53%"
"11/03/2026","3.800,0","3.860,0","3.860,0","3.750,0","0,34K","1,33%"
