"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","373,00","374,00","375,00","372,00","0,06K","0,00%"
"12/05/2026","373,00","373,00","373,00","373,00","0,03K","0,12%"
"11/05/2026","372,55","372,55","372,55","372,55","0,00K","-0,65%"
"08/05/2026","375,00","400,00","400,00","375,00","0,09K","0,27%"
"07/05/2026","374,00","399,50","399,50","374,00","0,08K","-5,32%"
"06/05/2026","395,00","386,00","395,00","386,00","0,24K","2,60%"
"05/05/2026","385,00","390,00","390,00","385,00","0,90K","-1,28%"
"04/05/2026","390,00","392,00","392,00","390,00","0,01K","2,63%"
"30/04/2026","380,00","380,00","380,00","375,00","0,03K","1,88%"
"29/04/2026","373,00","380,00","380,00","373,00","0,27K","-1,84%"
"28/04/2026","380,00","393,00","393,00","377,00","0,06K","-0,26%"
"27/04/2026","381,00","378,50","397,90","375,00","0,45K","1,06%"
"24/04/2026","377,00","392,00","401,95","372,00","0,67K","-3,08%"
"23/04/2026","389,00","392,10","393,05","370,00","0,34K","-2,26%"
"21/04/2026","398,00","398,00","398,00","398,00","0,01K","-4,50%"
"20/04/2026","416,75","416,95","416,95","405,00","0,44K","6,31%"
"17/04/2026","392,00","392,00","392,00","392,00","0,11K","-6,00%"
"16/04/2026","417,00","417,00","417,00","417,00","0,01K","0,00%"
"15/04/2026","417,00","405,00","417,00","390,00","0,69K","3,47%"
"14/04/2026","403,00","400,00","404,00","400,00","0,01K","2,81%"
"13/04/2026","392,00","400,00","400,00","392,00","0,07K","-0,13%"
"10/04/2026","392,50","400,00","401,20","392,50","0,43K","0,31%"
"09/04/2026","391,30","417,00","418,00","391,30","0,39K","-6,39%"
"08/04/2026","418,00","418,00","418,00","418,00","0,03K","0,72%"
"07/04/2026","415,00","415,00","415,00","391,00","0,10K","0,00%"
"06/04/2026","415,00","418,95","418,95","415,00","0,06K","6,41%"
"03/04/2026","390,00","418,00","418,00","390,00","0,10K","-6,91%"
"02/04/2026","418,95","418,95","418,95","418,90","0,12K","-0,01%"
"01/04/2026","419,00","407,00","419,00","407,00","0,06K","-0,24%"
"31/03/2026","420,00","405,20","420,00","405,20","0,47K","-1,16%"
"30/03/2026","424,95","401,00","424,95","401,00","0,47K","-0,01%"
"27/03/2026","425,00","415,00","425,00","407,00","82,31K","0,00%"
"26/03/2026","425,00","410,00","425,00","384,00","2,74K","1,19%"
"25/03/2026","420,00","363,00","420,00","363,00","2,04K","8,81%"
"24/03/2026","386,00","345,00","386,00","345,00","3,46K","8,73%"
"19/03/2026","355,00","366,00","366,00","355,00","0,36K","-2,74%"
"18/03/2026","365,00","350,00","365,00","350,00","0,10K","4,29%"
"17/03/2026","350,00","350,50","350,50","350,00","0,02K","2,04%"
"16/03/2026","343,00","369,90","369,90","343,00","0,06K","-7,05%"
"13/03/2026","369,00","340,50","369,00","340,50","2,51K","5,43%"
"12/03/2026","350,00","350,00","350,00","350,00","0,04K","-5,14%"
"11/03/2026","368,95","368,95","368,95","368,95","0,22K","1,36%"
"10/03/2026","364,00","360,00","364,00","347,00","0,51K","4,30%"
"09/03/2026","349,00","352,90","352,90","343,00","0,08K","5,76%"
"06/03/2026","330,00","353,00","353,00","330,00","1,05K","2,82%"
"05/03/2026","320,95","315,00","320,95","315,00","0,04K","9,99%"
"04/03/2026","291,80","291,80","291,80","291,80","0,70K","-9,99%"
"03/03/2026","324,20","333,05","333,20","324,20","0,16K","-9,94%"
"02/03/2026","360,00","350,00","364,00","350,00","0,17K","-1,37%"
"27/02/2026","365,00","365,00","365,00","365,00","0,69K","1,39%"
"26/02/2026","360,00","362,00","362,00","336,00","0,02K","-0,79%"
"25/02/2026","362,85","363,00","363,00","362,85","0,31K","0,79%"
"24/02/2026","360,00","334,00","360,00","334,00","0,07K","2,86%"
