"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","429,90","422,00","429,90","420,50","0,02K","-0,83%"
"12/05/2026","433,50","434,90","434,90","433,50","0,01K","2,73%"
"11/05/2026","422,00","436,00","436,00","422,00","0,07K","0,00%"
"08/05/2026","422,00","418,10","438,85","416,00","0,35K","-4,09%"
"07/05/2026","440,00","441,90","441,90","440,00","0,01K","-0,43%"
"06/05/2026","441,90","442,90","442,90","441,90","0,03K","7,26%"
"05/05/2026","412,00","421,00","421,00","412,00","0,26K","-3,74%"
"04/05/2026","428,00","428,00","428,00","428,00","0,00K","-2,95%"
"30/04/2026","441,00","441,80","441,80","441,00","0,00K","4,99%"
"29/04/2026","420,05","420,05","420,05","420,05","0,00K","-5,17%"
"28/04/2026","442,95","442,95","442,95","442,95","0,01K","0,21%"
"27/04/2026","442,00","442,00","442,00","442,00","0,00K","-0,45%"
"24/04/2026","444,00","444,00","444,00","444,00","0,02K","-0,86%"
"22/04/2026","447,85","447,85","447,85","447,85","0,03K","0,02%"
"20/04/2026","447,75","421,10","447,75","421,10","0,18K","-0,26%"
"17/04/2026","448,90","439,00","448,90","439,00","0,05K","2,03%"
"16/04/2026","439,95","439,95","439,95","439,95","0,00K","-0,01%"
"15/04/2026","440,00","418,10","444,00","418,10","0,10K","1,38%"
"13/04/2026","434,00","420,00","434,00","420,00","0,01K","3,83%"
"10/04/2026","418,00","418,00","418,00","418,00","0,02K","0,00%"
"08/04/2026","418,00","420,10","421,00","418,00","0,09K","-0,48%"
"07/04/2026","420,00","421,30","421,30","420,00","0,05K","-0,24%"
"06/04/2026","421,00","421,00","421,00","421,00","0,01K","-0,40%"
"03/04/2026","422,70","442,00","442,00","422,70","0,03K","-1,01%"
"02/04/2026","427,00","443,00","443,00","426,00","16,20K","2,64%"
"01/04/2026","416,00","416,00","416,00","416,00","0,05K","0,43%"
"31/03/2026","414,20","414,20","414,20","414,20","0,01K","-6,50%"
"30/03/2026","443,00","413,00","443,00","413,00","0,03K","-2,40%"
"24/03/2026","453,90","453,90","453,90","453,90","0,00K","0,88%"
"18/03/2026","449,95","449,95","449,95","449,95","0,00K","6,83%"
"11/03/2026","421,20","459,00","459,00","420,10","0,20K","-2,73%"
"10/03/2026","433,00","433,95","433,95","433,00","0,13K","9,05%"
"09/03/2026","397,05","401,05","435,00","394,25","0,08K","-9,35%"
"06/03/2026","438,00","439,90","439,90","438,00","0,05K","9,50%"
"04/03/2026","400,00","400,00","400,00","400,00","0,15K","0,00%"
"03/03/2026","400,00","401,50","430,00","400,00","0,20K","-4,76%"
"02/03/2026","420,00","442,15","442,15","420,00","0,19K","-5,83%"
"27/02/2026","446,00","442,15","446,50","442,15","0,15K","-3,83%"
"25/02/2026","463,75","445,15","463,75","445,15","0,03K","-0,70%"
"24/02/2026","467,00","467,00","467,00","467,00","0,01K","-1,06%"
"23/02/2026","472,00","471,95","472,00","471,95","0,10K","0,65%"
"20/02/2026","468,95","468,95","468,95","468,95","0,01K","9,82%"
"19/02/2026","427,00","427,00","427,00","427,00","0,04K","-5,32%"
