"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/05/2026","895,00","895,00","895,00","895,00","0,01K","0,56%"
"08/05/2026","890,00","890,00","890,00","890,00","0,01K","-3,68%"
"06/05/2026","924,00","924,00","924,00","924,00","0,25K","5,96%"
"05/05/2026","872,00","872,00","872,00","872,00","0,02K","-3,11%"
"04/05/2026","900,00","900,00","900,00","900,00","0,02K","-1,08%"
"30/04/2026","909,80","909,80","909,80","909,80","0,00K","2,70%"
"29/04/2026","885,90","885,90","885,90","885,90","0,01K","1,25%"
"27/04/2026","875,00","875,00","875,00","875,00","0,00K","-0,11%"
"24/04/2026","876,00","876,00","876,00","876,00","0,01K","0,46%"
"23/04/2026","872,00","872,00","872,00","872,00","0,00K","0,23%"
"20/04/2026","870,00","870,00","870,00","870,00","0,23K","0,00%"
"17/04/2026","870,00","870,00","870,00","870,00","0,71K","-0,23%"
"16/04/2026","872,00","872,00","872,00","872,00","0,01K","-2,02%"
"15/04/2026","890,00","890,00","890,00","890,00","0,20K","-0,07%"
"14/04/2026","890,60","890,60","890,60","890,60","0,00K","0,07%"
"13/04/2026","890,00","890,00","890,00","890,00","0,02K","0,00%"
"10/04/2026","890,00","890,00","890,00","890,00","0,07K","0,11%"
"09/04/2026","889,00","889,00","889,00","889,00","0,02K","-0,11%"
"08/04/2026","890,00","890,00","890,00","890,00","0,11K","0,00%"
"07/04/2026","890,00","890,00","890,00","890,00","0,05K","0,00%"
"06/04/2026","890,00","890,00","890,00","890,00","0,01K","0,91%"
"03/04/2026","882,00","882,00","882,00","882,00","0,02K","0,23%"
"02/04/2026","880,00","880,00","880,00","880,00","0,00K","-1,66%"
"01/04/2026","894,90","894,90","894,90","894,90","0,00K","5,91%"
"31/03/2026","845,00","845,00","845,00","845,00","0,67K","-0,01%"
"30/03/2026","845,10","845,10","845,10","845,10","0,20K","-6,00%"
"27/03/2026","899,00","899,00","899,00","899,00","0,01K","3,33%"
