"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","25,85","26,09","26,09","25,10","1,27K","-0,19%"
"12/05/2026","25,90","25,90","25,90","25,01","0,94K","3,19%"
"11/05/2026","25,10","25,50","26,10","25,10","0,98K","-1,57%"
"08/05/2026","25,50","26,00","26,00","25,50","1,74K","-2,30%"
"07/05/2026","26,10","26,47","26,47","25,25","1,09K","-0,38%"
"06/05/2026","26,20","25,80","26,44","25,20","1,85K","4,26%"
"05/05/2026","25,13","25,85","25,85","25,03","0,37K","-2,97%"
"04/05/2026","25,90","25,90","25,90","25,16","0,70K","0,00%"
"30/04/2026","25,90","25,26","26,00","25,20","0,98K","2,57%"
"29/04/2026","25,25","25,00","26,00","25,00","2,14K","-2,51%"
"28/04/2026","25,90","25,60","25,90","25,05","0,84K","0,00%"
"27/04/2026","25,90","25,70","26,00","25,70","1,05K","0,47%"
"24/04/2026","25,78","26,70","26,70","25,78","0,76K","-3,45%"
"23/04/2026","26,70","25,80","26,76","25,80","0,43K","1,33%"
"22/04/2026","26,35","27,00","27,00","26,10","0,79K","-2,41%"
"21/04/2026","27,00","27,10","27,10","26,01","2,56K","1,89%"
"20/04/2026","26,50","28,00","28,00","25,10","10,05K","3,31%"
"17/04/2026","25,65","25,90","26,30","25,20","2,85K","0,59%"
"16/04/2026","25,50","26,29","26,29","25,05","3,36K","-1,12%"
"15/04/2026","25,79","24,31","26,70","24,31","17,10K","3,87%"
"14/04/2026","24,83","24,10","24,85","24,10","1,35K","2,39%"
"13/04/2026","24,25","25,00","25,00","24,05","3,36K","-3,42%"
"10/04/2026","25,11","25,25","25,25","24,54","1,71K","0,28%"
"09/04/2026","25,04","25,30","25,30","24,50","2,34K","-0,83%"
"08/04/2026","25,25","24,70","25,48","24,17","6,80K","2,23%"
"07/04/2026","24,70","24,99","24,99","23,90","3,12K","3,65%"
"06/04/2026","23,83","24,80","24,99","23,62","3,12K","-3,91%"
"03/04/2026","24,80","24,50","24,99","24,05","1,89K","3,12%"
"02/04/2026","24,05","24,79","24,79","24,00","1,94K","-1,84%"
"01/04/2026","24,50","24,40","24,70","24,00","1,32K","-0,81%"
"31/03/2026","24,70","24,75","24,75","24,18","0,15K","-0,40%"
"30/03/2026","24,80","24,80","24,80","24,50","0,21K","1,27%"
"27/03/2026","24,49","24,90","24,90","24,17","0,56K","1,20%"
"26/03/2026","24,20","24,10","24,42","24,06","1,34K","0,12%"
"25/03/2026","24,17","24,12","24,89","24,12","2,28K","-3,32%"
"24/03/2026","25,00","25,00","25,00","24,00","0,38K","0,20%"
"19/03/2026","24,95","24,90","24,95","24,00","2,59K","0,60%"
"18/03/2026","24,80","24,90","24,90","24,50","0,87K","3,33%"
"17/03/2026","24,00","24,90","24,90","23,95","0,22K","-0,41%"
"16/03/2026","24,10","24,99","25,00","24,10","1,49K","-4,37%"
"13/03/2026","25,20","24,50","25,20","24,50","0,17K","2,86%"
"12/03/2026","24,50","25,90","25,90","24,50","3,58K","0,00%"
"11/03/2026","24,50","24,95","25,00","24,50","3,93K","1,91%"
"10/03/2026","24,04","24,00","24,89","24,00","3,30K","-3,06%"
"09/03/2026","24,80","24,50","24,80","23,80","1,00K","1,22%"
"06/03/2026","24,50","25,00","25,10","24,40","1,91K","-1,80%"
"05/03/2026","24,95","23,64","24,95","23,64","2,92K","5,54%"
"04/03/2026","23,64","22,00","23,64","22,00","4,40K","9,95%"
"03/03/2026","21,50","22,00","22,40","21,07","7,68K","-8,12%"
"02/03/2026","23,40","24,80","24,80","23,40","10,48K","-9,97%"
"27/02/2026","25,99","25,81","25,99","25,00","0,97K","-0,04%"
"26/02/2026","26,00","25,81","26,00","25,81","0,27K","0,00%"
"25/02/2026","26,00","26,50","26,50","26,00","0,65K","0,70%"
"24/02/2026","25,82","25,82","25,82","25,82","0,31K","-0,08%"
"23/02/2026","25,84","25,84","25,84","25,84","0,05K","-0,62%"
"20/02/2026","26,00","26,70","26,70","25,87","1,75K","0,00%"
"19/02/2026","26,00","26,00","26,00","26,00","0,00K","-1,89%"
"18/02/2026","26,50","25,80","26,50","25,80","1,15K","-0,19%"
"17/02/2026","26,55","26,55","26,85","26,00","0,61K","0,19%"
"16/02/2026","26,50","26,70","26,70","26,50","1,44K","0,00%"
"13/02/2026","26,50","26,75","26,75","25,72","1,23K","0,00%"
"12/02/2026","26,50","26,84","26,84","26,00","0,77K","1,92%"
"11/02/2026","26,00","26,00","26,85","25,15","4,07K","0,00%"
"10/02/2026","26,00","25,25","26,19","25,25","0,68K","0,00%"
"09/02/2026","26,00","25,00","26,20","25,00","0,94K","0,78%"
"06/02/2026","25,80","25,60","25,99","25,00","1,69K","2,18%"
"05/02/2026","25,25","26,00","26,85","25,22","7,16K","0,00%"
"04/02/2026","25,25","26,00","26,00","25,10","1,23K","-2,88%"
"03/02/2026","26,00","26,00","26,00","25,00","4,22K","1,17%"
"02/02/2026","25,70","26,00","26,00","25,03","3,60K","-1,15%"
"30/01/2026","26,00","26,44","26,44","25,30","4,39K","0,93%"
"29/01/2026","25,76","26,50","26,70","25,71","0,68K","-2,24%"
"28/01/2026","26,35","25,52","26,39","25,52","1,53K","4,23%"
"27/01/2026","25,28","25,29","26,68","25,24","7,05K","-1,98%"
"26/01/2026","25,79","26,13","26,13","25,00","4,02K","-1,30%"
"23/01/2026","26,13","26,55","27,18","26,10","2,23K","-3,22%"
"22/01/2026","27,00","26,41","27,10","26,41","1,80K","-0,37%"
"21/01/2026","27,10","27,20","27,20","26,65","1,93K","0,74%"
"20/01/2026","26,90","27,00","27,00","26,51","0,92K","1,47%"
"19/01/2026","26,51","26,60","27,40","26,51","1,57K","-0,71%"
"16/01/2026","26,70","27,60","27,60","26,56","0,67K","-1,11%"
"15/01/2026","27,00","27,50","27,50","26,99","0,68K","-2,49%"
"13/01/2026","27,69","27,60","27,69","26,80","3,68K","0,33%"
"12/01/2026","27,60","28,00","28,00","26,96","4,11K","2,22%"
"09/01/2026","27,00","27,00","27,01","26,91","1,44K","-0,92%"
