"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/05/2026","370,00","370,00","370,00","370,00","0,00K","2,21%"
"05/05/2026","362,00","362,00","362,00","362,00","0,01K","-5,21%"
"28/04/2026","381,90","381,90","381,90","381,90","0,00K","5,50%"
"27/04/2026","362,00","362,00","362,00","362,00","0,00K","-5,70%"
"24/04/2026","383,90","383,90","383,90","383,90","0,00K","4,39%"
"14/04/2026","367,75","367,75","367,75","367,75","0,01K","5,96%"
"13/04/2026","347,05","347,05","347,05","347,05","0,06K","-5,94%"
"09/04/2026","368,95","368,95","368,95","368,95","0,00K","5,99%"
"06/04/2026","348,10","348,10","348,10","348,10","0,01K","0,03%"
"03/04/2026","348,00","348,00","348,00","348,00","0,03K","-0,57%"
"25/03/2026","350,00","350,00","350,00","350,00","0,04K","0,00%"
"24/03/2026","350,00","350,00","350,00","350,00","0,01K","1,45%"
"12/03/2026","345,00","345,00","345,00","345,00","0,03K","-4,17%"
"11/03/2026","360,00","360,00","360,00","360,00","0,01K","0,84%"
"10/03/2026","357,00","357,00","357,00","357,00","0,00K","0,00%"
"09/03/2026","357,00","357,00","357,00","357,00","0,03K","0,00%"
"06/03/2026","357,00","357,00","357,00","357,00","0,10K","5,93%"
"02/03/2026","337,00","337,00","337,00","337,00","0,11K","-5,07%"
"27/02/2026","355,00","355,00","355,00","355,00","0,00K","0,55%"
"19/02/2026","353,05","353,05","353,05","353,05","0,02K","-5,77%"
"13/02/2026","374,65","374,65","374,65","374,65","0,00K","0,98%"
"11/02/2026","371,00","371,00","371,00","371,00","0,01K","0,00%"
"09/02/2026","371,00","371,00","371,00","371,00","0,02K","0,01%"
"06/02/2026","370,95","370,95","370,95","370,95","0,05K","5,99%"
"05/02/2026","350,00","350,00","350,00","350,00","0,01K","-2,51%"
"04/02/2026","359,00","359,00","359,00","359,00","0,00K","0,00%"
"03/02/2026","359,00","359,00","359,00","359,00","0,00K","-4,75%"
"30/01/2026","376,90","376,90","376,90","376,90","0,01K","-0,26%"
"29/01/2026","377,90","377,90","377,90","377,90","0,01K","-0,03%"
"27/01/2026","378,00","378,00","378,00","378,00","0,01K","-0,40%"
"23/01/2026","379,50","379,50","379,50","379,50","0,00K","0,00%"
"22/01/2026","379,50","379,50","379,50","379,50","0,00K","1,23%"
"20/01/2026","374,90","374,90","374,90","374,90","0,00K","-1,21%"
"19/01/2026","379,50","379,50","379,50","379,50","0,00K","0,40%"
"16/01/2026","378,00","378,00","378,00","378,00","0,00K","4,71%"
"08/01/2026","361,00","361,00","361,00","361,00","0,01K","-5,12%"
"06/01/2026","380,50","380,50","380,50","380,50","0,10K","0,13%"
"05/01/2026","380,00","380,00","380,00","380,00","0,07K","-0,24%"
"02/01/2026","380,90","380,90","380,90","380,90","0,01K","5,81%"
"31/12/2025","360,00","360,00","360,00","360,00","2,20K","0,00%"
"25/12/2025","360,00","360,00","360,00","360,00","0,01K","0,78%"
"24/12/2025","357,20","357,20","357,20","357,20","0,01K","-5,99%"
"23/12/2025","379,95","379,95","379,95","379,95","0,01K","-0,94%"
"22/12/2025","383,55","383,55","383,55","383,55","0,01K","-0,32%"
"19/12/2025","384,80","384,80","384,80","384,80","0,00K","2,27%"
"18/12/2025","376,25","376,25","376,25","376,25","0,02K","5,99%"
"15/12/2025","355,00","355,00","355,00","355,00","0,01K","0,54%"
"12/12/2025","353,10","353,10","353,10","353,10","0,01K","0,17%"
"11/12/2025","352,50","352,50","352,50","352,50","0,00K","0,14%"
"10/12/2025","352,00","352,00","352,00","352,00","0,01K","0,00%"
"05/12/2025","352,00","352,00","352,00","352,00","0,01K","0,00%"
"04/12/2025","352,00","352,00","352,00","352,00","0,02K","-0,16%"
"01/12/2025","352,55","352,55","352,55","352,55","0,03K","-3,66%"
"28/11/2025","365,95","365,95","365,95","365,95","0,01K","4,26%"
"27/11/2025","351,00","351,00","351,00","351,00","0,01K","-1,13%"
"26/11/2025","355,00","355,00","355,00","355,00","0,02K","1,14%"
"25/11/2025","351,00","351,00","351,00","351,00","0,00K","-2,88%"
"24/11/2025","361,40","361,40","361,40","361,40","0,01K","5,98%"
"21/11/2025","341,00","341,00","341,00","341,00","0,01K","-5,28%"
"20/11/2025","360,00","360,00","360,00","360,00","0,01K","0,56%"
"19/11/2025","358,00","358,00","358,00","358,00","0,00K","-5,74%"
"10/11/2025","379,80","379,80","379,80","379,80","0,01K","5,46%"
"07/11/2025","360,15","360,15","360,15","360,15","0,01K","-5,72%"
"04/11/2025","382,00","382,00","382,00","382,00","0,00K","1,21%"
"31/10/2025","377,45","377,45","377,45","377,45","0,03K","6,00%"
"30/10/2025","356,10","356,10","356,10","356,10","0,18K","-2,64%"
"29/10/2025","365,75","365,75","365,75","365,75","0,00K","-4,25%"
"28/10/2025","382,00","382,00","382,00","382,00","0,00K","4,64%"
"27/10/2025","365,05","365,05","365,05","365,05","0,01K","-3,68%"
"16/10/2025","379,00","379,00","379,00","379,00","0,00K","0,40%"
"15/10/2025","377,50","377,50","377,50","377,50","0,00K","5,98%"
"14/10/2025","356,20","356,20","356,20","356,20","0,07K","2,62%"
"13/10/2025","347,10","347,10","347,10","347,10","0,00K","-4,38%"
"08/10/2025","363,00","363,00","363,00","363,00","0,02K","0,11%"
"07/10/2025","362,60","362,60","362,60","362,60","0,01K","5,99%"
"03/10/2025","342,10","342,10","342,10","342,10","0,28K","-3,65%"
"02/10/2025","355,05","355,05","355,05","355,05","0,00K","-0,27%"
"01/10/2025","356,00","356,00","356,00","356,00","0,22K","-2,90%"
"30/09/2025","366,65","366,65","366,65","366,65","0,01K","-5,99%"
"26/09/2025","390,00","390,00","390,00","390,00","0,00K","0,52%"
"22/09/2025","388,00","388,00","388,00","388,00","0,00K","1,69%"
"19/09/2025","381,55","381,55","381,55","381,55","0,00K","5,99%"
"18/09/2025","360,00","360,00","360,00","360,00","0,01K","-1,37%"
"17/09/2025","365,00","365,00","365,00","365,00","0,29K","-5,19%"
"16/09/2025","385,00","385,00","385,00","385,00","0,02K","0,01%"
"15/09/2025","384,95","384,95","384,95","384,95","0,03K","-0,01%"
"12/09/2025","385,00","385,00","385,00","385,00","0,06K","0,00%"
"11/09/2025","385,00","385,00","385,00","385,00","0,00K","0,00%"
"10/09/2025","385,00","385,00","385,00","385,00","0,01K","1,29%"
"09/09/2025","380,10","380,10","380,10","380,10","0,08K","-1,27%"
"08/09/2025","385,00","385,00","385,00","385,00","0,11K","-2,64%"
"04/09/2025","395,45","395,45","395,45","395,45","0,01K","5,99%"
"03/09/2025","373,10","373,10","373,10","373,10","0,42K","-0,78%"
"02/09/2025","376,05","376,05","376,05","376,05","0,13K","-5,99%"
"29/08/2025","400,00","400,00","400,00","400,00","0,00K","0,25%"
"28/08/2025","399,00","399,00","399,00","399,00","0,01K","3,23%"
"27/08/2025","386,50","386,50","386,50","386,50","0,04K","0,39%"
"26/08/2025","385,00","385,00","385,00","385,00","0,04K","0,00%"
"25/08/2025","385,00","385,00","385,00","385,00","0,04K","0,26%"
"22/08/2025","384,00","384,00","384,00","384,00","0,02K","-0,72%"
"15/08/2025","386,80","386,80","386,80","386,80","0,02K","-0,05%"
"13/08/2025","387,00","387,00","387,00","387,00","0,03K","-0,26%"
"12/08/2025","388,00","388,00","388,00","388,00","0,00K","0,03%"
"11/08/2025","387,90","387,90","387,90","387,90","0,03K","-0,28%"
"08/08/2025","389,00","389,00","389,00","389,00","0,03K","5,99%"
"05/08/2025","367,00","367,00","367,00","367,00","0,00K","1,63%"
"24/07/2025","361,10","361,10","361,10","361,10","0,02K","0,87%"
"21/07/2025","358,00","358,00","358,00","358,00","0,03K","-1,92%"
"16/07/2025","365,00","365,00","365,00","365,00","0,00K","-3,44%"
"15/07/2025","378,00","378,00","378,00","378,00","0,02K","-4,04%"
"11/07/2025","393,90","393,90","393,90","393,90","0,01K","3,81%"
"10/07/2025","379,45","379,45","379,45","379,45","0,01K","5,99%"
