"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/05/2026","387,80","387,80","387,80","387,80","0,00K","-0,05%"
"11/05/2026","388,00","388,00","388,00","388,00","0,03K","0,26%"
"07/05/2026","387,00","365,10","387,00","365,10","0,01K","-0,26%"
"06/05/2026","388,00","388,00","388,00","388,00","0,00K","0,00%"
"05/05/2026","388,00","382,00","388,00","360,00","0,04K","1,57%"
"04/05/2026","382,00","382,00","382,00","382,00","0,01K","0,00%"
"30/04/2026","382,00","390,00","390,00","382,00","0,01K","-0,52%"
"29/04/2026","384,00","384,00","384,00","384,00","0,00K","0,23%"
"27/04/2026","383,10","383,00","383,10","383,00","0,01K","0,03%"
"24/04/2026","383,00","381,10","383,00","381,10","0,02K","-3,25%"
"23/04/2026","395,85","395,85","395,85","395,85","0,01K","-0,03%"
"22/04/2026","395,95","380,00","395,95","380,00","0,01K","0,24%"
"20/04/2026","395,00","396,95","396,95","395,00","0,02K","1,28%"
"17/04/2026","390,00","383,10","390,00","380,00","0,04K","1,83%"
"15/04/2026","383,00","383,00","383,00","383,00","0,01K","-0,52%"
"14/04/2026","385,00","380,00","385,00","380,00","0,05K","1,32%"
"13/04/2026","380,00","380,00","380,00","380,00","0,01K","-1,81%"
"10/04/2026","387,00","380,00","387,00","380,00","0,01K","0,00%"
"09/04/2026","387,00","380,50","387,00","380,50","0,05K","0,00%"
"08/04/2026","387,00","387,00","387,00","387,00","0,01K","0,23%"
"07/04/2026","386,10","409,00","409,00","386,10","1,01K","0,03%"
"06/04/2026","386,00","386,00","386,00","385,00","0,02K","-2,27%"
"03/04/2026","394,95","385,10","395,00","385,10","0,06K","-0,01%"
"02/04/2026","395,00","385,10","395,00","385,10","0,05K","-0,50%"
"01/04/2026","397,00","397,00","397,00","397,00","0,01K","-0,24%"
"30/03/2026","397,95","390,00","397,95","390,00","0,05K","4,04%"
"27/03/2026","382,50","366,00","394,00","366,00","0,24K","-3,65%"
"26/03/2026","397,00","397,00","397,00","397,00","0,01K","4,20%"
"25/03/2026","381,00","381,00","381,00","381,00","0,01K","-4,50%"
"24/03/2026","398,95","380,55","398,95","380,55","0,02K","-0,98%"
"18/03/2026","402,90","402,90","402,90","402,90","0,09K","1,74%"
"17/03/2026","396,00","380,05","396,90","380,05","0,00K","-0,49%"
"16/03/2026","397,95","397,95","397,95","397,95","0,00K","-0,09%"
"13/03/2026","398,30","398,30","398,30","398,30","0,00K","-0,04%"
"12/03/2026","398,45","399,00","399,00","380,10","0,05K","0,87%"
"11/03/2026","395,00","399,45","399,45","395,00","0,02K","3,95%"
"10/03/2026","380,00","381,00","381,00","380,00","0,05K","-0,14%"
"09/03/2026","380,55","380,55","380,55","380,55","0,00K","-6,01%"
"06/03/2026","404,90","404,90","404,90","404,90","0,09K","1,22%"
"05/03/2026","400,00","391,00","400,00","390,00","0,05K","1,02%"
"04/03/2026","395,95","380,00","395,95","380,00","0,01K","9,99%"
"03/03/2026","360,00","377,00","377,00","360,00","0,11K","-4,51%"
"02/03/2026","377,00","377,00","389,00","360,00","0,21K","-3,33%"
"27/02/2026","390,00","395,00","395,00","390,00","0,01K","-1,27%"
"26/02/2026","395,00","395,00","400,00","395,00","0,02K","-0,97%"
"23/02/2026","398,85","379,00","398,85","379,00","0,01K","-0,04%"
"18/02/2026","399,00","399,00","399,00","399,00","0,00K","-0,25%"
"16/02/2026","400,00","400,00","400,00","400,00","0,00K","0,01%"
"13/02/2026","399,95","399,90","399,95","399,90","0,01K","0,01%"
"12/02/2026","399,90","399,90","399,90","399,90","0,00K","0,00%"
"11/02/2026","399,90","385,00","399,90","381,10","0,02K","2,28%"
"10/02/2026","391,00","399,95","399,95","391,00","0,03K","-2,24%"
"09/02/2026","399,95","399,95","400,00","399,00","0,07K","4,97%"
"06/02/2026","381,00","379,00","382,00","379,00","0,05K","-4,25%"
"05/02/2026","397,90","390,00","397,90","379,00","0,03K","-0,49%"
"03/02/2026","399,85","388,00","399,85","388,00","0,01K","-0,03%"
"02/02/2026","399,95","367,00","399,95","367,00","0,11K","2,55%"
"30/01/2026","390,00","390,00","390,00","390,00","0,02K","-2,50%"
"29/01/2026","400,00","400,00","400,00","400,00","0,01K","-2,18%"
"28/01/2026","408,90","395,00","408,90","390,00","0,03K","3,52%"
"26/01/2026","395,00","395,00","395,00","395,00","0,02K","0,43%"
"23/01/2026","393,30","393,30","393,30","393,30","0,01K","-4,53%"
"21/01/2026","411,95","411,95","411,95","411,95","0,00K","4,26%"
"20/01/2026","395,10","393,35","411,85","393,35","0,01K","0,51%"
"19/01/2026","393,10","393,10","393,10","393,10","0,01K","0,51%"
"16/01/2026","391,10","391,10","391,10","391,10","0,00K","-5,26%"
"15/01/2026","412,80","411,95","412,80","411,95","0,05K","0,21%"
"13/01/2026","411,95","411,95","411,95","402,00","0,02K","0,07%"
"12/01/2026","411,65","412,00","412,00","401,05","0,08K","-0,27%"
"09/01/2026","412,75","412,80","412,80","411,95","0,04K","1,91%"
"08/01/2026","405,00","401,10","405,00","401,00","0,12K","0,00%"
"07/01/2026","405,00","405,00","405,00","405,00","0,07K","-1,94%"
"06/01/2026","413,00","401,00","413,00","401,00","0,05K","0,00%"
"05/01/2026","413,00","401,00","413,00","401,00","0,03K","0,02%"
"02/01/2026","412,90","413,00","413,00","412,90","0,01K","-0,24%"
"31/12/2025","413,90","413,90","413,90","413,90","0,00K","0,22%"
"30/12/2025","413,00","413,00","413,00","413,00","0,01K","-0,24%"
"26/12/2025","414,00","414,00","414,00","414,00","0,05K","0,24%"
"25/12/2025","413,00","413,90","413,90","413,00","0,02K","3,20%"
