"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","895,00","854,00","914,00","845,10","147,64K","5,27%"
"16/04/2026","850,20","849,90","853,00","847,10","13,24K","0,73%"
"15/04/2026","844,00","838,10","855,00","838,10","51,67K","0,72%"
"14/04/2026","838,00","817,00","842,00","816,30","73,39K","2,82%"
"13/04/2026","815,00","800,00","819,00","800,00","21,63K","-2,04%"
"10/04/2026","832,00","815,00","832,00","815,00","34,38K","1,79%"
"09/04/2026","817,40","840,00","840,00","813,00","14,56K","-0,20%"
"08/04/2026","819,00","803,00","819,00","800,00","82,51K","6,36%"
"07/04/2026","770,00","785,00","785,00","770,00","5,22K","0,00%"
"06/04/2026","770,00","780,00","790,00","770,00","65,24K","-0,65%"
"03/04/2026","775,00","787,00","790,00","775,00","51,84K","-0,90%"
"02/04/2026","782,00","785,00","791,00","775,00","21,03K","-0,76%"
"01/04/2026","788,00","780,10","794,10","780,10","15,56K","3,02%"
"31/03/2026","764,90","780,00","780,00","760,00","3,66K","-1,43%"
"30/03/2026","776,00","777,00","788,00","776,00","1,35K","1,84%"
"27/03/2026","762,00","803,00","803,00","762,00","27,11K","-2,33%"
"26/03/2026","780,20","795,00","825,00","780,20","11,88K","-3,08%"
"25/03/2026","805,00","794,00","805,00","790,50","4,35K","3,87%"
"24/03/2026","775,00","783,00","791,00","775,00","17,08K","0,00%"
"19/03/2026","775,00","775,00","779,00","766,00","49,59K","-1,41%"
"18/03/2026","786,10","765,00","796,00","765,00","34,59K","4,12%"
"17/03/2026","755,00","765,00","765,00","755,00","32,58K","0,67%"
