"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","239,00","240,05","240,50","239,00","0,66K","-0,42%"
"12/05/2026","240,00","241,00","243,80","240,00","1,32K","-0,74%"
"11/05/2026","241,80","242,00","243,95","240,50","0,74K","-0,90%"
"08/05/2026","244,00","242,90","244,00","241,00","1,42K","0,64%"
"07/05/2026","242,45","240,00","244,00","240,00","6,41K","0,35%"
"06/05/2026","241,60","241,10","243,00","241,10","0,91K","0,67%"
"05/05/2026","240,00","237,00","240,00","237,00","0,78K","-0,04%"
"04/05/2026","240,10","240,35","243,00","239,00","1,82K","-0,99%"
"30/04/2026","242,50","242,00","242,90","240,35","0,68K","0,21%"
"29/04/2026","242,00","244,30","244,30","242,00","0,57K","-0,74%"
"28/04/2026","243,80","244,15","245,00","243,80","2,44K","-0,20%"
"27/04/2026","244,30","245,00","245,50","244,00","1,23K","-0,29%"
"24/04/2026","245,00","245,00","247,00","242,80","12,72K","0,02%"
"23/04/2026","244,95","245,00","245,90","242,30","0,27K","1,14%"
"22/04/2026","242,20","245,90","245,90","242,00","0,34K","0,08%"
"21/04/2026","242,00","242,20","245,70","242,00","16,44K","-0,41%"
"20/04/2026","243,00","245,00","245,00","240,00","10,29K","-2,76%"
"17/04/2026","249,90","244,00","249,90","242,25","3,28K","2,42%"
"16/04/2026","244,00","246,90","246,90","244,00","0,64K","0,37%"
"15/04/2026","243,10","238,00","245,00","236,00","18,79K","2,36%"
"14/04/2026","237,50","234,60","237,50","234,60","1,01K","0,68%"
"13/04/2026","235,90","235,00","236,00","234,00","1,26K","-0,88%"
"10/04/2026","238,00","234,00","238,00","234,00","4,16K","2,15%"
"09/04/2026","233,00","235,00","237,00","233,00","5,23K","-0,49%"
"08/04/2026","234,15","240,00","240,00","232,50","4,81K","2,50%"
"07/04/2026","228,45","229,50","230,00","228,00","2,98K","-0,50%"
"06/04/2026","229,60","230,90","230,90","229,00","2,54K","0,13%"
"03/04/2026","229,30","233,95","233,95","229,30","4,82K","-0,30%"
"02/04/2026","230,00","236,80","236,85","230,00","7,34K","-1,71%"
