"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/04/2026","4.310,0","4.310,0","4.310,0","4.310,0","0,00K","0,00%"
"13/04/2026","4.310,0","4.310,0","4.310,0","4.310,0","0,00K","-6,00%"
"13/03/2026","4.585,0","4.585,0","4.585,0","4.585,0","0,00K","0,00%"
"25/02/2026","4.585,0","4.585,0","4.585,0","4.585,0","0,00K","5,99%"
"15/01/2026","4.326,0","4.326,0","4.326,0","4.326,0","0,00K","0,00%"
"23/12/2025","4.326,0","4.326,0","4.326,0","4.326,0","0,00K","-5,96%"
"17/12/2025","4.600,0","4.600,0","4.600,0","4.600,0","0,01K","0,00%"
"15/12/2025","4.600,0","4.600,0","4.600,0","4.600,0","0,01K","2,22%"
"10/12/2025","4.500,0","4.500,0","4.500,0","4.500,0","0,00K","0,00%"
"09/12/2025","4.500,0","4.500,0","4.500,0","4.500,0","0,00K","4,65%"
"05/12/2025","4.300,0","4.300,0","4.300,0","4.300,0","0,00K","2,23%"
"04/12/2025","4.206,0","4.206,0","4.206,0","4.206,0","0,00K","-4,41%"
"21/11/2025","4.400,0","4.400,0","4.400,0","4.400,0","0,00K","-0,48%"
"17/11/2025","4.421,0","4.421,0","4.421,0","4.421,0","0,01K","-5,94%"
"13/11/2025","4.700,0","4.700,0","4.700,0","4.700,0","0,00K","0,32%"
"12/11/2025","4.685,0","4.685,0","4.685,0","4.685,0","0,01K","-3,90%"
"07/11/2025","4.875,0","4.875,0","4.875,0","4.875,0","0,00K","5,98%"
"05/11/2025","4.600,0","4.600,0","4.600,0","4.600,0","0,01K","-5,15%"
"31/10/2025","4.850,0","4.850,0","4.850,0","4.850,0","0,00K","-5,83%"
"30/10/2025","5.150,0","5.150,0","5.150,0","5.150,0","0,00K","5,75%"
"29/10/2025","4.870,0","4.870,0","4.870,0","4.870,0","0,00K","5,85%"
"23/10/2025","4.601,0","4.601,0","4.601,0","4.601,0","0,00K","0,02%"
"22/10/2025","4.600,0","4.600,0","4.600,0","4.600,0","0,00K","5,50%"
"21/10/2025","4.360,0","4.360,0","4.360,0","4.360,0","0,00K","5,77%"
"17/10/2025","4.122,0","4.122,0","4.122,0","4.122,0","0,01K","5,96%"
"16/10/2025","3.890,0","3.890,0","3.890,0","3.890,0","0,00K","5,94%"
"15/10/2025","3.672,0","3.672,0","3.672,0","3.672,0","0,00K","-5,85%"
"14/10/2025","3.900,0","3.900,0","3.900,0","3.900,0","0,00K","5,98%"
"10/10/2025","3.680,0","3.680,0","3.680,0","3.680,0","0,00K","5,69%"
"09/10/2025","3.482,0","3.482,0","3.482,0","3.482,0","0,00K","6,00%"
"03/10/2025","3.285,0","3.285,0","3.285,0","3.285,0","0,00K","5,97%"
"02/10/2025","3.100,0","3.100,0","3.100,0","3.100,0","0,00K","5,98%"
"01/10/2025","2.925,0","2.925,0","2.925,0","2.925,0","0,00K","5,98%"
"30/09/2025","2.760,0","2.760,0","2.760,0","2.760,0","0,01K","5,99%"
"29/09/2025","2.604,0","2.604,0","2.604,0","2.604,0","0,00K","5,98%"
"26/09/2025","2.457,0","2.457,0","2.457,0","2.457,0","0,00K","6,00%"
"25/09/2025","2.318,0","2.318,0","2.318,0","2.318,0","0,00K","5,99%"
"23/07/2025","2.187,0","2.187,0","2.187,0","2.187,0","0,00K","5,96%"
"04/06/2025","2.064,0","2.064,0","2.064,0","2.064,0","0,02K","-0,19%"
"24/02/2025","2.068,0","2.068,0","2.068,0","2.068,0","","0,00%"
"10/12/2024","2.068,0","2.068,0","2.068,0","2.068,0","0,04K","0,00%"
"09/07/2024","2.068,0","2.068,0","2.068,0","2.068,0","0,01K","6,00%"
"21/06/2024","1.951,0","1.951,0","1.951,0","1.951,0","0,00K","-4,32%"
"15/04/2024","2.039,0","2.039,0","2.039,0","2.039,0","0,00K","0,00%"
"04/04/2024","2.039,0","2.039,0","2.039,0","2.039,0","0,01K","-5,86%"
"11/03/2024","2.166,0","2.166,0","2.166,0","2.166,0","0,01K","-5,83%"
"18/01/2024","2.300,0","2.300,0","2.300,0","2.300,0","0,00K","-0,86%"
"10/01/2024","2.320,0","2.320,0","2.320,0","2.320,0","0,02K","-0,22%"
"09/01/2024","2.325,0","2.325,0","2.325,0","2.325,0","0,01K","0,09%"
"08/01/2024","2.323,0","2.323,0","2.323,0","2.323,0","0,06K","-5,95%"
"26/12/2023","2.470,0","2.470,0","2.470,0","2.470,0","0,01K","0,00%"
"21/12/2023","2.470,0","2.470,0","2.470,0","2.470,0","0,01K","5,96%"
"20/12/2023","2.331,0","2.331,0","2.331,0","2.331,0","0,00K","5,95%"
"07/12/2023","2.200,0","2.200,0","2.200,0","2.200,0","0,00K","-4,14%"
"06/12/2023","2.295,0","2.295,0","2.295,0","2.295,0","0,00K","4,03%"
"24/11/2023","2.206,0","2.206,0","2.206,0","2.206,0","0,01K","0,00%"
"23/10/2023","2.206,0","2.206,0","2.206,0","2.206,0","0,01K","5,96%"
"19/10/2023","2.082,0","2.082,0","2.082,0","2.082,0","0,00K","5,95%"
"13/10/2023","1.965,0","1.965,0","1.965,0","1.965,0","0,00K","5,99%"
"10/10/2023","1.854,0","1.854,0","1.854,0","1.854,0","0,00K","5,94%"
"15/09/2023","1.750,0","1.750,0","1.750,0","1.750,0","1,87K","-3,69%"
"06/09/2022","1.817,0","1.817,0","1.817,0","1.817,0","0,01K","-8,14%"
"16/05/2022","1.978,0","1.978,0","1.978,0","1.978,0","0,00K","4,00%"
"06/05/2022","1.902,0","1.902,0","1.902,0","1.902,0","0,00K","-0,94%"
"05/05/2022","1.920,0","1.920,0","1.920,0","1.920,0","0,00K","-3,76%"
"28/04/2022","1.995,0","1.995,0","1.995,0","1.995,0","0,00K","-3,86%"
"14/04/2022","2.075,0","2.075,0","2.075,0","2.075,0","0,06K","3,80%"
"31/03/2022","1.999,0","1.999,0","1.999,0","1.999,0","0,30K","3,36%"
"28/03/2022","1.934,0","1.934,0","1.934,0","1.934,0","0,00K","3,98%"
"16/03/2022","1.860,0","1.860,0","1.860,0","1.860,0","0,00K","-0,37%"
"11/03/2022","1.867,0","1.867,0","1.867,0","1.867,0","0,00K","-3,96%"
"09/03/2022","1.944,0","1.944,0","1.944,0","1.944,0","0,01K","3,96%"
"18/01/2022","1.870,0","1.870,0","1.870,0","1.870,0","0,00K","-3,66%"
"17/01/2022","1.941,0","1.941,0","1.941,0","1.941,0","0,43K","1,09%"
"14/01/2022","1.920,0","1.920,0","1.920,0","1.920,0","0,04K","-1,08%"
"07/01/2022","1.941,0","1.941,0","1.941,0","1.941,0","1,30K","0,00%"
"11/10/2021","1.941,0","1.941,0","1.941,0","1.941,0","0,01K","-1,97%"
"24/08/2021","1.980,0","1.980,0","1.980,0","1.980,0","0,01K","-1,10%"
"21/06/2021","2.002,0","2.002,0","2.002,0","2.002,0","0,00K","-1,04%"
"07/06/2021","2.023,0","2.023,0","2.023,0","2.023,0","0,01K","-1,99%"
"16/02/2021","2.064,0","2.064,0","2.064,0","2.064,0","0,00K","1,98%"
"15/02/2021","2.024,0","2.024,0","2.024,0","2.024,0","0,01K","1,96%"
