"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","99,99","99,99","99,99","99,99","0,00K","5,25%"
"12/05/2026","95,00","95,00","95,00","95,00","0,02K","-5,61%"
"11/05/2026","100,65","100,65","100,65","100,65","0,12K","5,95%"
"08/05/2026","95,00","95,00","95,00","95,00","0,02K","-5,00%"
"07/05/2026","100,00","100,00","100,00","100,00","0,02K","1,41%"
"05/05/2026","98,61","98,61","98,61","98,61","0,02K","-6,00%"
"27/04/2026","104,90","104,90","104,90","104,90","0,00K","5,96%"
"24/04/2026","99,00","99,00","99,00","99,00","0,12K","1,02%"
"23/04/2026","98,00","98,00","98,00","98,00","0,02K","-5,72%"
"22/04/2026","103,95","103,95","103,95","103,95","0,04K","5,96%"
"21/04/2026","98,10","98,10","98,10","98,10","0,00K","-1,90%"
"20/04/2026","100,00","100,00","100,00","100,00","0,22K","-0,60%"
"17/04/2026","100,60","100,60","100,60","100,60","0,00K","-5,98%"
"16/04/2026","107,00","107,00","107,00","107,00","0,01K","0,00%"
"15/04/2026","107,00","107,00","107,00","107,00","0,01K","0,00%"
"14/04/2026","107,00","107,00","107,00","107,00","0,02K","0,00%"
"10/04/2026","107,00","107,00","107,00","107,00","0,00K","0,94%"
"09/04/2026","106,00","106,00","106,00","106,00","0,00K","0,95%"
"08/04/2026","105,00","105,00","105,00","105,00","0,00K","0,00%"
"07/04/2026","105,00","105,00","105,00","105,00","0,00K","0,96%"
"02/04/2026","104,00","104,00","104,00","104,00","0,02K","-0,95%"
"26/03/2026","105,00","105,00","105,00","105,00","0,01K","-2,10%"
"16/03/2026","107,25","107,25","107,25","107,25","0,04K","5,98%"
"12/03/2026","101,20","101,20","101,20","101,20","0,01K","5,96%"
"10/03/2026","95,51","95,51","95,51","95,51","0,02K","-5,99%"
"05/03/2026","101,60","101,60","101,60","101,60","0,00K","5,95%"
"04/03/2026","95,89","95,89","95,89","95,89","0,00K","-5,99%"
"03/03/2026","102,00","102,00","102,00","102,00","0,00K","0,00%"
"27/02/2026","102,00","102,00","102,00","102,00","0,00K","0,00%"
"26/02/2026","102,00","102,00","102,00","102,00","0,01K","-3,77%"
"24/02/2026","106,00","106,00","106,00","106,00","0,02K","0,00%"
"18/02/2026","106,00","106,00","106,00","106,00","0,03K","0,00%"
"17/02/2026","106,00","106,00","106,00","106,00","0,01K","3,92%"
"16/02/2026","102,00","102,00","102,00","102,00","0,01K","-3,77%"
"13/02/2026","106,00","106,00","106,00","106,00","0,00K","0,00%"
"12/02/2026","106,00","106,00","106,00","106,00","0,00K","0,95%"
"11/02/2026","105,00","105,00","105,00","105,00","0,01K","3,96%"
"10/02/2026","101,00","101,00","101,00","101,00","0,01K","0,00%"
"09/02/2026","101,00","101,00","101,00","101,00","0,01K","-5,61%"
"06/02/2026","107,00","107,00","107,00","107,00","0,01K","0,28%"
"05/02/2026","106,70","106,70","106,70","106,70","0,02K","5,96%"
"03/02/2026","100,70","100,70","100,70","100,70","0,01K","0,00%"
"02/02/2026","100,70","100,70","100,70","100,70","0,01K","-5,98%"
"29/01/2026","107,10","107,10","107,10","107,10","0,01K","2,00%"
"27/01/2026","105,00","105,00","105,00","105,00","0,07K","0,00%"
"23/01/2026","105,00","105,00","105,00","105,00","0,02K","0,96%"
"22/01/2026","104,00","104,00","104,00","104,00","0,07K","-5,45%"
"21/01/2026","110,00","110,00","110,00","110,00","0,00K","-1,79%"
"20/01/2026","112,00","112,00","112,00","112,00","0,01K","0,00%"
"19/01/2026","112,00","112,00","112,00","112,00","0,03K","-0,88%"
"16/01/2026","113,00","113,00","113,00","113,00","0,19K","0,00%"
"15/01/2026","113,00","113,00","113,00","113,00","0,15K","-0,18%"
"13/01/2026","113,20","113,20","113,20","113,20","0,14K","0,27%"
"12/01/2026","112,90","112,90","112,90","112,90","0,09K","5,91%"
"09/01/2026","106,60","106,60","106,60","106,60","0,00K","5,96%"
"08/01/2026","100,60","100,60","100,60","100,60","0,04K","-5,98%"
"07/01/2026","107,00","107,00","107,00","107,00","0,00K","0,00%"
"06/01/2026","107,00","107,00","107,00","107,00","0,01K","0,00%"
"05/01/2026","107,00","107,00","107,00","107,00","0,01K","0,71%"
"31/12/2025","106,25","106,25","106,25","106,25","0,01K","-5,97%"
"30/12/2025","113,00","113,00","113,00","113,00","0,04K","1,57%"
"29/12/2025","111,25","111,25","111,25","111,25","0,20K","5,95%"
"26/12/2025","105,00","105,00","105,00","105,00","0,05K","5,00%"
"25/12/2025","100,00","100,00","100,00","100,00","0,00K","3,27%"
"23/12/2025","96,83","96,83","96,83","96,83","0,05K","-5,99%"
