"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","330,00","336,00","340,00","330,00","9,98K","-2,94%"
"12/05/2026","340,00","335,30","341,40","332,00","7,90K","-1,42%"
"11/05/2026","344,90","345,10","348,00","332,00","7,78K","-1,46%"
"08/05/2026","350,00","346,00","350,00","345,00","2,26K","0,00%"
"07/05/2026","350,00","350,30","355,00","345,00","3,93K","0,00%"
"06/05/2026","350,00","349,80","358,90","346,00","30,25K","0,06%"
"05/05/2026","349,80","341,05","349,80","341,05","9,69K","0,34%"
"04/05/2026","348,60","350,00","355,00","345,00","10,51K","-0,97%"
"30/04/2026","352,00","350,00","352,00","335,00","5,96K","0,00%"
"29/04/2026","352,00","343,30","358,90","343,30","2,61K","-0,56%"
"28/04/2026","354,00","355,00","360,00","352,00","8,24K","-1,67%"
"27/04/2026","360,00","358,00","363,90","355,25","2,33K","-1,91%"
"24/04/2026","367,00","360,00","367,00","355,00","42,95K","1,94%"
"23/04/2026","360,00","365,00","369,00","360,00","23,05K","0,00%"
"22/04/2026","360,00","350,00","371,00","350,00","128,46K","4,20%"
"21/04/2026","345,50","350,00","353,00","342,10","13,82K","-2,12%"
"20/04/2026","353,00","342,10","354,70","340,00","28,33K","-0,56%"
"17/04/2026","355,00","340,00","357,00","335,00","75,96K","3,50%"
"16/04/2026","343,00","336,40","343,00","336,40","6,53K","0,88%"
"15/04/2026","340,00","330,00","342,00","330,00","18,55K","1,49%"
"14/04/2026","335,00","320,55","335,00","320,55","7,45K","4,04%"
"13/04/2026","322,00","320,30","326,00","317,60","3,80K","-3,16%"
"10/04/2026","332,50","328,20","336,50","328,20","14,53K","0,76%"
"09/04/2026","330,00","329,90","330,00","317,00","15,86K","0,00%"
"08/04/2026","330,00","320,00","330,00","320,00","35,18K","6,45%"
"07/04/2026","310,00","315,00","319,00","310,00","3,36K","-1,90%"
"06/04/2026","316,00","321,00","323,95","316,00","2,96K","-2,62%"
"03/04/2026","324,50","310,30","325,00","310,30","37,55K","4,68%"
"02/04/2026","310,00","307,05","310,00","307,05","6,19K","-1,27%"
"01/04/2026","314,00","306,00","315,00","306,00","12,56K","3,97%"
"31/03/2026","302,00","305,00","306,90","299,10","11,12K","-2,42%"
"30/03/2026","309,50","305,00","314,00","305,00","2,00K","-1,75%"
"27/03/2026","315,00","305,00","315,00","303,00","4,12K","1,94%"
"26/03/2026","309,00","315,00","318,00","308,00","13,25K","-0,32%"
"25/03/2026","310,00","302,00","310,00","302,00","4,34K","1,31%"
"24/03/2026","306,00","304,00","310,00","303,00","3,52K","-0,07%"
"19/03/2026","306,20","303,00","310,00","303,00","1,72K","-1,23%"
"18/03/2026","310,00","300,00","310,00","300,00","3,80K","3,33%"
"17/03/2026","300,00","300,00","302,85","296,15","13,87K","-0,33%"
"16/03/2026","301,00","303,00","303,00","296,00","7,27K","1,69%"
"13/03/2026","296,00","303,10","305,00","296,00","13,77K","-2,92%"
"12/03/2026","304,90","305,00","306,00","302,00","2,48K","0,00%"
"11/03/2026","304,90","301,05","305,00","300,00","6,34K","-0,03%"
"10/03/2026","305,00","304,00","311,00","304,00","11,90K","2,31%"
"09/03/2026","298,10","302,50","303,00","297,10","8,56K","-1,62%"
"06/03/2026","303,00","310,00","310,00","301,05","8,23K","-0,66%"
"05/03/2026","305,00","301,00","309,70","300,00","8,35K","1,67%"
"04/03/2026","300,00","291,00","309,80","291,00","11,08K","3,41%"
"03/03/2026","290,10","306,10","313,00","290,00","34,16K","-5,20%"
"02/03/2026","306,00","305,00","314,40","305,00","21,84K","-8,93%"
"27/02/2026","336,00","329,00","336,00","329,00","12,88K","1,82%"
"26/02/2026","330,00","330,10","332,00","330,00","15,73K","0,00%"
"25/02/2026","330,00","332,50","334,00","330,00","12,32K","-1,20%"
"24/02/2026","334,00","333,00","337,50","332,00","8,16K","-0,74%"
"23/02/2026","336,50","336,55","340,00","336,15","8,43K","-2,46%"
"20/02/2026","345,00","336,00","345,00","335,00","9,52K","2,51%"
"19/02/2026","336,55","335,10","345,00","335,10","8,34K","-1,01%"
"18/02/2026","340,00","342,00","349,50","340,00","19,77K","-1,45%"
"17/02/2026","345,00","346,00","350,10","341,00","23,38K","-1,48%"
"16/02/2026","350,20","350,00","357,00","350,00","63,64K","-2,71%"
"13/02/2026","359,95","360,00","362,00","355,00","46,31K","-0,01%"
"12/02/2026","360,00","350,05","360,00","350,05","75,12K","3,24%"
"11/02/2026","348,70","340,05","349,90","330,10","199,66K","-0,67%"
"10/02/2026","351,05","351,05","351,05","351,05","54,48K","-9,99%"
"09/02/2026","390,00","380,00","395,00","376,00","3,82K","5,41%"
"06/02/2026","370,00","388,50","388,50","370,00","6,76K","-1,33%"
"05/02/2026","375,00","385,00","396,50","375,00","19,60K","1,35%"
"04/02/2026","370,00","375,00","375,00","366,00","1,34K","-1,33%"
"03/02/2026","375,00","375,00","375,00","374,20","0,55K","0,25%"
"02/02/2026","374,05","389,00","389,00","374,00","21,67K","-0,25%"
"30/01/2026","375,00","378,70","379,00","365,00","7,45K","-1,04%"
"29/01/2026","378,95","380,00","385,00","360,00","22,82K","-0,54%"
"28/01/2026","381,00","390,00","390,00","381,00","1,76K","0,26%"
"27/01/2026","380,00","400,00","402,00","380,00","5,28K","-2,81%"
"26/01/2026","391,00","409,00","409,00","390,00","2,96K","-2,74%"
"23/01/2026","402,00","410,00","410,00","402,00","16,41K","-1,71%"
"22/01/2026","409,00","408,95","410,70","407,00","2,15K","0,99%"
"21/01/2026","405,00","410,00","411,00","405,00","2,08K","-0,27%"
"20/01/2026","406,10","411,00","412,00","406,00","1,19K","0,25%"
"19/01/2026","405,10","411,00","413,00","405,00","17,40K","0,02%"
"16/01/2026","405,00","402,00","414,00","400,00","3,44K","-0,74%"
"15/01/2026","408,00","410,00","415,00","407,05","6,89K","2,00%"
"13/01/2026","400,00","408,00","408,00","390,00","0,89K","-0,50%"
"12/01/2026","402,00","406,00","409,85","401,00","1,70K","0,50%"
"09/01/2026","400,00","414,00","414,00","400,00","4,46K","-3,59%"
"08/01/2026","414,90","400,00","420,00","400,00","5,69K","3,98%"
"07/01/2026","399,00","397,00","400,00","396,00","0,22K","-0,25%"
"06/01/2026","400,00","392,00","402,00","392,00","3,11K","2,56%"
"05/01/2026","390,00","390,00","390,00","380,00","1,16K","0,01%"
"02/01/2026","389,95","381,75","390,00","371,00","1,38K","5,39%"
"31/12/2025","370,00","384,00","384,00","370,00","2,05K","0,00%"
"30/12/2025","370,00","377,95","385,00","368,00","3,79K","2,78%"
"29/12/2025","360,00","393,00","393,00","360,00","2,28K","0,00%"
"26/12/2025","360,00","393,00","393,00","360,00","117,79K","-7,69%"
"25/12/2025","390,00","393,00","393,00","383,00","0,33K","-0,76%"
"24/12/2025","393,00","395,00","395,00","382,00","0,34K","0,77%"
"23/12/2025","390,00","395,00","400,00","390,00","0,82K","-1,27%"
"22/12/2025","395,00","386,00","395,00","386,00","0,90K","2,60%"
"19/12/2025","385,00","392,00","395,00","385,00","2,23K","-2,48%"
"18/12/2025","394,80","393,50","394,80","392,00","0,59K","1,23%"
"17/12/2025","390,00","392,00","392,00","390,00","0,67K","0,26%"
"16/12/2025","389,00","389,00","394,90","389,00","0,14K","-0,26%"
