"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","587,00","588,00","588,00","572,00","0,02K","-1,01%"
"11/05/2026","593,00","581,00","593,00","581,00","0,02K","2,24%"
"08/05/2026","580,00","597,00","597,00","580,00","0,06K","-3,01%"
"07/05/2026","598,00","581,10","598,00","581,10","0,11K","3,01%"
"06/05/2026","580,50","581,00","600,00","580,50","0,02K","-0,09%"
"05/05/2026","581,00","581,50","581,50","581,00","0,09K","0,17%"
"04/05/2026","580,00","581,20","582,00","580,00","0,07K","-0,34%"
"30/04/2026","582,00","581,20","582,00","581,20","0,03K","-0,51%"
"29/04/2026","585,00","585,00","585,00","582,50","0,20K","-2,09%"
"28/04/2026","597,50","597,50","597,50","597,00","0,02K","0,42%"
"27/04/2026","595,00","607,80","607,90","572,70","0,24K","-0,83%"
"24/04/2026","600,00","600,00","600,00","600,00","0,01K","-1,30%"
"23/04/2026","607,90","607,90","607,90","607,90","0,00K","0,15%"
"22/04/2026","607,00","609,00","609,00","600,00","0,03K","0,33%"
"21/04/2026","605,00","605,00","611,00","605,00","0,23K","-0,82%"
"20/04/2026","610,00","617,00","617,00","607,00","0,16K","0,83%"
"17/04/2026","605,00","589,00","630,00","589,00","2,21K","3,42%"
"16/04/2026","585,00","590,00","590,00","571,00","0,13K","0,00%"
"15/04/2026","585,00","569,90","585,00","569,90","1,51K","4,46%"
"10/04/2026","560,00","540,00","570,90","540,00","0,06K","0,00%"
"09/04/2026","560,00","560,00","560,00","560,00","0,01K","-1,84%"
"08/04/2026","570,50","540,00","575,00","540,00","0,09K","8,46%"
"07/04/2026","526,00","569,00","569,00","525,00","0,11K","-4,19%"
"06/04/2026","549,00","557,00","557,00","549,00","0,01K","-1,79%"
"03/04/2026","559,00","520,00","559,00","516,00","0,01K","7,50%"
"02/04/2026","520,00","549,00","549,00","520,00","0,32K","-2,80%"
"01/04/2026","535,00","550,00","569,00","535,00","1,18K","-2,73%"
"31/03/2026","550,00","550,00","550,00","550,00","0,10K","-0,90%"
"30/03/2026","555,00","537,00","555,00","537,00","0,13K","0,00%"
"27/03/2026","555,00","554,00","555,00","554,00","0,91K","2,78%"
"26/03/2026","540,00","540,00","550,00","540,00","0,59K","0,00%"
"25/03/2026","540,00","548,10","548,10","540,00","0,28K","-1,60%"
"24/03/2026","548,80","531,00","550,00","531,00","0,15K","3,55%"
"19/03/2026","530,00","530,00","530,00","530,00","0,01K","-3,64%"
"18/03/2026","550,00","535,00","550,00","535,00","0,20K","0,00%"
"17/03/2026","550,00","550,00","550,00","549,00","0,22K","7,19%"
"16/03/2026","513,10","513,10","513,10","513,10","0,00K","-1,52%"
"13/03/2026","521,00","523,00","523,00","520,00","1,14K","0,19%"
"12/03/2026","520,00","530,00","530,00","520,00","0,01K","-3,70%"
"09/03/2026","540,00","550,00","550,00","540,00","0,05K","-3,38%"
"06/03/2026","558,90","559,00","559,00","512,10","5,53K","0,16%"
"05/03/2026","558,00","544,00","558,00","544,00","0,04K","2,39%"
"04/03/2026","545,00","503,00","545,00","500,00","0,19K","1,87%"
"03/03/2026","535,00","527,00","535,00","512,00","0,13K","0,94%"
"02/03/2026","530,00","511,20","530,00","511,20","0,50K","-6,67%"
"27/02/2026","567,90","567,90","567,90","567,90","0,00K","5,17%"
"25/02/2026","540,00","540,00","540,00","540,00","0,00K","-1,46%"
"23/02/2026","548,00","549,00","549,00","548,00","0,19K","0,48%"
"20/02/2026","545,40","550,00","550,00","545,40","0,02K","-0,84%"
"19/02/2026","550,00","560,00","560,00","550,00","0,25K","-1,79%"
"18/02/2026","560,00","569,00","569,00","560,00","0,09K","3,70%"
"17/02/2026","540,00","560,00","560,00","540,00","0,46K","-5,26%"
"16/02/2026","570,00","570,00","570,00","565,00","0,79K","-1,72%"
"13/02/2026","580,00","580,00","580,00","580,00","0,06K","0,87%"
"12/02/2026","575,00","575,00","575,00","575,00","0,01K","-0,69%"
"11/02/2026","579,00","560,00","579,00","550,00","0,07K","5,27%"
"10/02/2026","550,00","551,00","551,00","545,00","0,12K","-5,14%"
"09/02/2026","579,80","579,80","579,80","579,80","0,02K","4,28%"
"06/02/2026","556,00","556,00","557,00","550,50","0,23K","0,00%"
"05/02/2026","556,00","557,00","560,00","556,00","0,38K","-3,97%"
"04/02/2026","579,00","570,00","579,00","570,00","0,02K","1,58%"
"02/02/2026","570,00","560,00","570,00","556,00","0,10K","1,32%"
"30/01/2026","562,60","562,60","562,60","562,60","0,00K","-2,98%"
"29/01/2026","579,90","588,00","588,00","552,20","0,09K","-0,02%"
"28/01/2026","580,00","579,00","580,00","579,00","0,01K","2,65%"
"27/01/2026","565,00","551,20","565,00","551,10","0,19K","2,52%"
"26/01/2026","551,10","565,00","565,00","550,00","0,08K","-4,98%"
"23/01/2026","580,00","565,00","580,00","565,00","0,12K","-1,36%"
"22/01/2026","588,00","560,00","598,00","560,00","0,07K","5,17%"
"21/01/2026","559,10","560,00","560,00","559,10","0,11K","-0,16%"
"20/01/2026","560,00","575,10","575,10","560,00","1,47K","-2,27%"
