"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","460,50","460,50","460,50","460,50","0,13K","-4,52%"
"12/05/2026","482,30","482,30","482,30","482,30","0,13K","1,75%"
"11/05/2026","474,00","474,00","474,00","474,00","0,06K","-2,26%"
"08/05/2026","484,95","484,95","484,95","484,95","1,00K","4,09%"
"07/05/2026","465,90","465,90","465,90","465,90","0,31K","5,89%"
"06/05/2026","440,00","440,00","440,00","440,00","2,00K","-2,00%"
"05/05/2026","449,00","449,00","449,00","449,00","0,20K","5,37%"
"04/05/2026","426,10","426,10","426,10","426,10","3,19K","-4,25%"
"30/04/2026","445,00","445,00","445,00","445,00","0,97K","-1,11%"
"29/04/2026","450,00","450,00","450,00","450,00","0,22K","1,12%"
"28/04/2026","445,00","445,00","445,00","445,00","0,49K","0,00%"
"27/04/2026","445,00","445,00","445,00","445,00","2,10K","-0,44%"
"24/04/2026","446,95","446,95","446,95","446,95","2,14K","-0,22%"
"23/04/2026","447,95","447,95","447,95","447,95","1,17K","-0,01%"
"22/04/2026","448,00","448,00","448,00","448,00","0,05K","2,52%"
"21/04/2026","437,00","437,00","437,00","437,00","0,01K","2,85%"
"20/04/2026","424,90","424,90","424,90","424,90","1,84K","-0,67%"
"17/04/2026","427,75","427,75","427,75","427,75","4,30K","-5,99%"
"16/04/2026","455,00","455,00","455,00","455,00","2,69K","-0,20%"
"15/04/2026","455,90","455,90","455,90","455,90","3,27K","-5,99%"
"14/04/2026","484,95","484,95","484,95","484,95","0,25K","1,68%"
"13/04/2026","476,95","476,95","476,95","476,95","0,02K","5,99%"
"10/04/2026","450,00","450,00","450,00","450,00","0,83K","-5,26%"
"09/04/2026","475,00","475,00","475,00","475,00","1,16K","-1,04%"
"08/04/2026","480,00","480,00","480,00","480,00","1,23K","-4,95%"
"07/04/2026","505,00","505,00","505,00","505,00","0,02K","0,76%"
"06/04/2026","501,20","501,20","501,20","501,20","0,00K","-3,24%"
"03/04/2026","518,00","518,00","518,00","518,00","0,17K","-1,30%"
"02/04/2026","524,80","524,80","524,80","524,80","0,67K","4,96%"
"01/04/2026","500,00","500,00","500,00","500,00","0,47K","0,00%"
"31/03/2026","500,00","500,00","500,00","500,00","0,10K","-5,64%"
"30/03/2026","529,90","529,90","529,90","529,90","0,45K","4,31%"
"27/03/2026","508,00","508,00","508,00","508,00","2,16K","-5,93%"
"26/03/2026","540,00","540,00","540,00","540,00","0,15K","0,02%"
