"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","12.660,00","11.989,00","12.670,00","11.989,00","1,73K","9,73%"
"12/05/2026","11.537,00","10.900,00","11.599,00","10.900,00","1,73K","6,63%"
"11/05/2026","10.820,00","10.104,00","10.950,00","10.053,00","1,14K","6,10%"
"08/05/2026","10.198,00","9.989,00","10.200,00","9.612,00","0,72K","4,59%"
"07/05/2026","9.750,00","9.449,00","9.800,00","9.400,00","0,97K","5,99%"
"06/05/2026","9.199,00","8.985,00","9.419,00","8.980,00","0,99K","3,92%"
"05/05/2026","8.852,00","9.000,00","9.000,00","8.800,00","0,18K","-1,64%"
"04/05/2026","9.000,00","8.851,00","9.000,00","8.800,00","0,61K","1,69%"
"30/04/2026","8.850,00","8.634,00","8.850,00","8.610,00","0,36K","2,91%"
"29/04/2026","8.600,00","8.616,00","8.700,00","8.600,00","0,17K","-0,01%"
"28/04/2026","8.601,00","8.850,00","8.850,00","8.601,00","0,89K","-3,35%"
"27/04/2026","8.899,00","8.810,00","9.000,00","8.810,00","0,05K","1,13%"
"24/04/2026","8.800,00","9.000,00","9.000,00","8.601,00","0,70K","-2,22%"
"23/04/2026","9.000,00","9.040,00","9.150,00","8.970,00","1,01K","0,45%"
"22/04/2026","8.960,00","8.761,00","9.020,00","8.720,00","1,61K","1,24%"
"21/04/2026","8.850,00","8.900,00","8.900,00","8.646,00","0,38K","-0,20%"
"20/04/2026","8.868,00","8.505,00","8.926,00","8.505,00","0,58K","-0,36%"
"17/04/2026","8.900,00","8.423,00","9.250,00","8.423,00","2,80K","2,89%"
"16/04/2026","8.650,00","8.570,00","8.850,00","8.570,00","0,71K","-1,14%"
"15/04/2026","8.750,00","8.985,00","8.985,00","8.302,00","2,37K","-2,62%"
"14/04/2026","8.985,00","8.897,00","9.190,00","8.700,00","2,60K","4,46%"
"13/04/2026","8.601,00","7.851,00","8.779,00","7.851,00","3,74K","4,38%"
