"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","85,40","87,00","87,00","85,01","13,73K","-2,95%"
"12/05/2026","88,00","87,85","88,00","85,55","22,99K","0,57%"
"11/05/2026","87,50","85,00","88,45","85,00","31,53K","0,59%"
"08/05/2026","86,99","86,20","87,00","85,02","8,34K","-1,15%"
"07/05/2026","88,00","86,90","90,40","86,53","22,83K","1,86%"
"06/05/2026","86,39","82,50","86,96","82,01","26,39K","7,32%"
"05/05/2026","80,50","82,00","82,00","78,00","8,57K","-2,39%"
"04/05/2026","82,47","82,99","83,29","80,85","3,99K","2,45%"
"30/04/2026","80,50","81,44","81,44","78,30","16,20K","-0,70%"
"29/04/2026","81,07","84,00","84,00","81,00","22,24K","-3,45%"
"28/04/2026","83,97","86,50","87,00","83,97","24,36K","-4,02%"
"27/04/2026","87,49","88,88","88,88","86,05","2,12K","0,57%"
"24/04/2026","86,99","86,10","88,49","86,10","12,82K","-1,25%"
"23/04/2026","88,09","89,00","89,00","86,61","5,88K","-0,01%"
"22/04/2026","88,10","89,50","91,49","88,10","14,83K","-0,91%"
"21/04/2026","88,91","87,89","93,50","87,50","48,13K","1,63%"
"20/04/2026","87,48","88,00","88,00","82,55","34,56K","-2,37%"
"17/04/2026","89,60","81,20","89,64","81,10","116,73K","9,94%"
"16/04/2026","81,50","81,11","85,90","81,11","86,24K","2,92%"
"15/04/2026","79,19","72,50","79,19","72,50","32,21K","9,99%"
"14/04/2026","72,00","70,64","72,00","68,55","27,58K","4,35%"
"13/04/2026","69,00","70,00","71,00","67,67","22,82K","-4,17%"
"10/04/2026","72,00","71,01","72,50","71,00","14,03K","-0,41%"
"09/04/2026","72,30","72,80","72,80","71,50","5,22K","-0,62%"
"08/04/2026","72,75","72,50","74,00","71,50","25,00K","7,46%"
"07/04/2026","67,70","70,00","70,00","67,00","13,89K","-1,88%"
"06/04/2026","69,00","70,10","70,55","69,00","11,29K","-2,13%"
"03/04/2026","70,50","70,99","70,99","69,16","4,00K","0,71%"
"02/04/2026","70,00","69,99","71,00","69,99","6,11K","0,37%"
"01/04/2026","69,74","71,00","72,00","69,00","26,56K","0,93%"
"31/03/2026","69,10","69,00","70,60","69,00","4,93K","-1,43%"
"30/03/2026","70,10","69,50","70,92","69,50","6,32K","0,14%"
"27/03/2026","70,00","70,00","70,99","69,00","25,15K","-1,39%"
"26/03/2026","70,99","73,00","73,00","68,10","14,81K","-2,75%"
"25/03/2026","73,00","72,20","73,00","70,64","6,90K","1,53%"
"24/03/2026","71,90","72,50","72,95","70,00","9,70K","-0,07%"
"19/03/2026","71,95","72,99","72,99","71,00","4,88K","-1,15%"
"18/03/2026","72,79","72,00","73,00","72,00","5,53K","3,99%"
