"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/05/2026","484,50","460,00","484,50","460,00","0,07K","-0,71%"
"11/05/2026","487,95","466,30","487,95","460,00","0,10K","-1,22%"
"06/05/2026","494,00","494,30","494,30","466,30","0,05K","1,44%"
"05/05/2026","487,00","471,00","487,00","471,00","0,10K","0,00%"
"04/05/2026","487,00","470,00","509,90","466,20","0,18K","-1,62%"
"30/04/2026","495,00","495,00","495,00","495,00","0,02K","-3,51%"
"28/04/2026","513,00","485,10","513,00","485,10","0,02K","0,00%"
"27/04/2026","513,00","477,20","513,40","477,20","0,11K","7,50%"
"24/04/2026","477,20","477,20","477,20","477,20","0,00K","-5,13%"
"23/04/2026","503,00","503,90","504,00","503,00","0,51K","-0,18%"
"22/04/2026","503,90","475,05","503,90","475,05","0,05K","-0,94%"
"21/04/2026","508,70","508,70","508,70","508,70","0,11K","-0,93%"
"16/04/2026","513,50","513,50","513,50","513,50","0,00K","0,71%"
"15/04/2026","509,90","505,00","514,90","500,00","0,11K","0,18%"
"14/04/2026","509,00","472,00","509,00","472,00","0,04K","-1,17%"
"10/04/2026","515,00","514,00","515,00","514,00","0,01K","0,00%"
"09/04/2026","515,00","515,00","515,00","515,00","0,01K","0,00%"
"08/04/2026","515,00","506,00","517,50","500,00","0,37K","1,78%"
"07/04/2026","506,00","508,90","509,00","480,00","0,26K","-0,78%"
"06/04/2026","510,00","518,00","518,00","510,00","0,08K","0,39%"
"03/04/2026","508,00","525,00","525,00","476,10","0,20K","4,53%"
"02/04/2026","486,00","540,00","540,00","486,00","1,24K","-3,82%"
"01/04/2026","505,30","505,30","505,30","505,30","0,22K","9,99%"
"27/03/2026","459,40","450,00","460,00","447,00","0,02K","0,31%"
"24/03/2026","458,00","458,00","458,00","458,00","0,00K","0,00%"
"19/03/2026","458,00","425,10","458,00","425,10","0,00K","-0,43%"
"16/03/2026","460,00","460,00","460,00","460,00","0,00K","-0,65%"
"13/03/2026","463,00","421,10","463,00","421,10","0,02K","0,00%"
"10/03/2026","463,00","450,00","463,00","450,00","0,02K","2,89%"
"09/03/2026","450,00","450,00","450,00","450,00","0,01K","0,00%"
"06/03/2026","450,00","450,00","450,00","450,00","0,01K","-3,23%"
"05/03/2026","465,00","449,50","465,00","449,50","0,02K","5,92%"
"04/03/2026","439,00","439,00","439,00","439,00","0,01K","9,75%"
"03/03/2026","400,00","425,00","458,00","400,00","0,11K","-8,07%"
"02/03/2026","435,10","434,00","465,00","434,00","0,10K","-8,40%"
"24/02/2026","475,00","434,10","475,00","434,10","0,22K","0,00%"
"23/02/2026","475,00","431,15","475,00","431,15","0,07K","-0,82%"
"20/02/2026","478,95","459,00","479,00","459,00","0,15K","4,12%"
"18/02/2026","460,00","445,00","460,00","440,00","0,13K","-1,06%"
"17/02/2026","464,95","423,95","465,00","423,95","0,16K","-1,28%"
"16/02/2026","471,00","464,00","479,90","464,00","0,17K","1,51%"
"13/02/2026","464,00","444,10","464,85","440,10","0,04K","-0,22%"
"12/02/2026","465,00","465,00","465,00","450,00","0,08K","-0,85%"
"11/02/2026","469,00","445,10","470,00","445,10","0,07K","-1,33%"
"10/02/2026","475,30","445,20","475,30","445,20","0,02K","-0,54%"
"06/02/2026","477,90","440,00","478,10","440,00","0,07K","0,93%"
"05/02/2026","473,50","473,50","473,50","473,50","0,01K","-1,34%"
"30/01/2026","479,95","479,95","479,95","479,95","0,00K","5,72%"
"29/01/2026","454,00","488,95","488,95","452,20","0,22K","-6,39%"
"28/01/2026","485,00","465,00","489,00","465,00","0,31K","3,85%"
"27/01/2026","467,00","445,00","469,90","437,70","0,52K","-0,64%"
"26/01/2026","470,00","439,00","477,70","439,00","0,13K","-1,47%"
"23/01/2026","477,00","480,00","480,00","477,00","0,02K","7,92%"
"22/01/2026","442,00","442,00","442,00","442,00","0,07K","-7,72%"
"21/01/2026","479,00","450,00","484,95","450,00","0,06K","-1,21%"
"20/01/2026","484,85","445,20","486,95","445,20","0,11K","-0,03%"
"19/01/2026","485,00","485,00","485,00","485,00","0,00K","-0,81%"
"15/01/2026","488,95","475,10","488,95","470,00","0,09K","1,86%"
"13/01/2026","480,00","480,00","488,95","480,00","0,11K","-3,02%"
"12/01/2026","494,95","495,00","496,80","480,00","0,30K","1,01%"
"09/01/2026","490,00","481,60","490,00","480,00","0,07K","0,00%"
"08/01/2026","490,00","481,60","490,00","481,60","0,01K","0,20%"
"07/01/2026","489,00","497,00","497,00","480,00","0,31K","-0,20%"
"06/01/2026","490,00","490,00","490,00","490,00","0,08K","-1,40%"
"05/01/2026","496,95","480,05","496,95","480,05","0,01K","-0,30%"
"02/01/2026","498,45","498,95","498,95","472,25","0,03K","0,30%"
"31/12/2025","496,95","483,00","496,95","483,00","0,02K","2,89%"
"30/12/2025","483,00","483,00","483,00","483,00","0,05K","-2,71%"
"29/12/2025","496,45","497,50","497,50","470,55","0,03K","-0,11%"
"26/12/2025","497,00","497,00","497,00","474,25","0,03K","4,81%"
"25/12/2025","474,20","495,00","495,00","474,20","0,01K","-4,97%"
"23/12/2025","499,00","499,00","499,00","499,00","0,00K","2,46%"
"22/12/2025","487,00","478,75","499,00","478,75","0,02K","-2,21%"
"18/12/2025","498,00","498,00","498,00","498,00","0,02K","0,10%"
"17/12/2025","497,50","498,00","498,00","473,10","0,02K","1,53%"
"16/12/2025","490,00","494,00","494,00","490,00","0,02K","1,98%"
