Date,Dernier,Ouv., Plus Haut,Plus Bas,Vol.,Variation %
17-12-21,"164,50","164,50","164,50","164,50","482,21K","10,00%"
20-12-21,"165,50","180,90","180,90","164,50","1,53M","0,61%"
21-12-21,"163,05","164,00","165,00","160,00","312,72K","-1,48%"
22-12-21,"168,05","164,00","171,00","163,20","317,59K","3,07%"
23-12-21,"168,00","166,10","168,00","165,50","75,41K","-0,03%"
24-12-21,"168,00","167,00","169,10","166,55","69,48K","0,00%"
27-12-21,"168,00","166,50","168,00","166,35","54,44K","0,00%"
28-12-21,"168,30","167,20","168,95","167,20","93,27K","0,18%"
29-12-21,"170,10","168,30","171,00","168,30","188,06K","1,07%"
30-12-21,"170,35","170,20","171,00","170,20","80,46K","0,15%"
31-12-21,"170,40","170,10","171,70","170,10","64,97K","0,03%"
03-01-22,"170,10","170,05","170,50","170,05","44,05K","-0,18%"
04-01-22,"170,15","170,05","170,50","170,05","34,32K","0,03%"
05-01-22,"168,50","170,10","170,15","168,00","56,59K","-0,97%"
06-01-22,"168,00","168,20","169,90","168,00","37,75K","-0,30%"
07-01-22,"169,90","167,05","170,10","166,00","125,29K","1,13%"
10-01-22,"171,00","169,00","171,00","168,70","85,98K","0,65%"
12-01-22,"177,00","171,50","177,00","171,25","116,15K","3,51%"
13-01-22,"178,10","176,50","180,75","176,50","119,78K","0,62%"
14-01-22,"180,00","178,10","181,00","178,10","117,60K","1,07%"
17-01-22,"180,20","179,00","180,90","178,50","48,88K","0,11%"
18-01-22,"182,00","180,45","182,95","180,45","96,44K","1,00%"
19-01-22,"187,05","183,00","189,00","183,00","105,42K","2,77%"
20-01-22,"189,00","188,00","191,95","187,50","61,65K","1,04%"
21-01-22,"186,05","188,00","189,00","186,05","26,68K","-1,56%"
24-01-22,"185,00","184,60","186,00","184,50","26,51K","-0,56%"
25-01-22,"179,05","184,65","184,65","178,00","15,42K","-3,22%"
26-01-22,"181,15","179,00","183,90","179,00","6,62K","1,17%"
27-01-22,"183,00","181,50","183,50","181,50","11,68K","1,02%"
28-01-22,"183,00","184,00","184,90","180,75","9,74K","0,00%"
31-01-22,"180,00","183,00","183,00","180,00","5,19K","-1,64%"
01-02-22,"181,10","180,00","181,85","180,00","17,35K","0,61%"
02-02-22,"183,65","180,65","185,50","180,40","63,87K","1,41%"
03-02-22,"185,00","185,90","185,90","180,60","34,41K","0,74%"
04-02-22,"182,70","183,15","185,90","182,70","24,39K","-1,24%"
07-02-22,"190,00","182,70","191,00","181,50","133,24K","4,00%"
08-02-22,"188,50","190,00","190,00","186,05","21,55K","-0,79%"
09-02-22,"188,00","188,50","188,50","186,25","16,21K","-0,27%"
10-02-22,"190,05","188,50","190,90","186,65","59,40K","1,09%"
11-02-22,"189,00","189,10","190,70","188,20","18,67K","-0,55%"
14-02-22,"184,05","187,25","187,90","184,05","26,30K","-2,62%"
15-02-22,"185,50","184,00","185,50","184,00","7,51K","0,79%"
16-02-22,"185,00","185,00","185,60","184,55","8,68K","-0,27%"
17-02-22,"186,05","184,50","187,00","184,50","21,21K","0,57%"
18-02-22,"186,00","185,50","186,05","185,05","28,77K","-0,03%"
21-02-22,"184,00","184,75","185,50","184,00","11,61K","-1,08%"
22-02-22,"179,00","183,85","183,85","178,10","40,13K","-2,72%"
23-02-22,"181,00","178,10","182,00","178,00","5,00K","1,12%"
24-02-22,"170,15","180,00","182,00","170,15","53,80K","-5,99%"
25-02-22,"178,00","170,00","178,95","170,00","37,05K","4,61%"
28-02-22,"175,00","178,50","178,50","175,00","8,52K","-1,69%"
01-03-22,"171,00","173,10","174,90","171,00","22,17K","-2,29%"
02-03-22,"168,00","171,00","172,00","166,85","13,44K","-1,75%"
03-03-22,"165,00","165,00","167,00","160,10","22,39K","-1,79%"
04-03-22,"160,10","161,00","165,00","160,05","48,39K","-2,97%"
07-03-22,"159,00","160,00","160,00","150,50","54,57K","-0,69%"
08-03-22,"168,50","160,00","168,50","160,00","56,76K","5,97%"
09-03-22,"168,50","169,00","174,00","168,50","28,71K","0,00%"
10-03-22,"165,00","169,00","172,00","165,00","13,45K","-2,08%"
11-03-22,"164,50","167,90","168,00","158,00","29,92K","-0,30%"
14-03-22,"162,15","161,00","166,90","161,00","5,98K","-1,43%"
15-03-22,"167,00","162,05","167,90","162,05","5,40K","2,99%"
16-03-22,"167,35","165,00","167,50","165,00","4,16K","0,21%"
17-03-22,"172,00","167,00","172,50","166,00","50,05K","2,78%"
18-03-22,"169,50","168,60","171,90","168,30","28,22K","-1,45%"
21-03-22,"170,80","169,60","171,00","169,00","0,88K","0,77%"
22-03-22,"166,15","169,00","170,00","166,15","14,80K","-2,72%"
