"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","1.600,00","1.610,00","1.620,00","1.600,00","3,13K","-0,62%"
"12/05/2026","1.610,00","1.640,00","1.640,00","1.610,00","1,17K","0,00%"
"11/05/2026","1.610,00","1.570,00","1.650,00","1.570,00","1,58K","-0,62%"
"08/05/2026","1.620,00","1.640,00","1.650,00","1.616,00","0,45K","-1,76%"
"07/05/2026","1.649,00","1.657,00","1.662,00","1.649,00","0,35K","-0,06%"
"06/05/2026","1.650,00","1.630,00","1.655,00","1.620,00","2,91K","3,13%"
"05/05/2026","1.600,00","1.570,00","1.620,00","1.550,00","4,52K","2,43%"
"04/05/2026","1.562,00","1.550,00","1.562,00","1.530,00","0,83K","2,76%"
"30/04/2026","1.520,00","1.520,00","1.520,00","1.509,00","7,06K","0,33%"
"29/04/2026","1.515,00","1.525,00","1.525,00","1.502,00","0,06K","0,00%"
"28/04/2026","1.515,00","1.538,00","1.538,00","1.515,00","0,66K","1,00%"
"27/04/2026","1.500,00","1.509,00","1.539,00","1.500,00","2,09K","-0,07%"
"24/04/2026","1.501,00","1.520,00","1.520,00","1.501,00","0,36K","-1,25%"
"23/04/2026","1.520,00","1.549,00","1.549,00","1.520,00","0,14K","-0,91%"
"22/04/2026","1.534,00","1.503,00","1.534,00","1.503,00","2,08K","0,79%"
"21/04/2026","1.522,00","1.530,00","1.530,00","1.520,00","0,36K","-0,52%"
"20/04/2026","1.530,00","1.540,00","1.545,00","1.525,00","0,57K","1,32%"
"17/04/2026","1.510,00","1.520,00","1.525,00","1.500,00","4,74K","0,67%"
"16/04/2026","1.500,00","1.509,00","1.509,00","1.490,00","0,95K","0,47%"
"15/04/2026","1.493,00","1.510,00","1.510,00","1.493,00","0,67K","-0,47%"
"14/04/2026","1.500,00","1.505,00","1.505,00","1.497,00","0,49K","0,20%"
"13/04/2026","1.497,00","1.510,00","1.510,00","1.496,00","0,60K","-0,20%"
"10/04/2026","1.500,00","1.520,00","1.520,00","1.500,00","5,40K","0,00%"
"09/04/2026","1.500,00","1.528,00","1.529,00","1.500,00","0,27K","0,00%"
"08/04/2026","1.500,00","1.526,00","1.537,00","1.500,00","0,49K","0,00%"
"07/04/2026","1.500,00","1.500,00","1.500,00","1.496,00","0,17K","0,27%"
"06/04/2026","1.496,00","1.500,00","1.500,00","1.496,00","0,16K","-0,27%"
"03/04/2026","1.500,00","1.500,00","1.500,00","1.487,00","0,18K","0,54%"
"02/04/2026","1.492,00","1.500,00","1.500,00","1.490,00","0,43K","-0,53%"
"01/04/2026","1.500,00","1.500,00","1.526,00","1.500,00","0,98K","0,07%"
"31/03/2026","1.499,00","1.525,00","1.525,00","1.499,00","0,69K","-1,77%"
"30/03/2026","1.526,00","1.500,00","1.534,00","1.500,00","0,52K","3,74%"
"27/03/2026","1.471,00","1.527,00","1.546,00","1.471,00","1,77K","-1,93%"
"26/03/2026","1.500,00","1.590,00","1.590,00","1.500,00","1,90K","-5,30%"
"25/03/2026","1.584,00","1.600,00","1.600,00","1.584,00","0,18K","2,86%"
"24/03/2026","1.540,00","1.595,00","1.595,00","1.540,00","0,16K","-2,53%"
"19/03/2026","1.580,00","1.600,00","1.620,00","1.580,00","0,45K","-1,25%"
"18/03/2026","1.600,00","1.580,00","1.602,00","1.580,00","0,15K","2,17%"
"17/03/2026","1.566,00","1.555,00","1.590,00","1.555,00","0,55K","0,45%"
"16/03/2026","1.559,00","1.559,00","1.559,00","1.550,00","0,13K","1,23%"
"13/03/2026","1.540,00","1.600,00","1.600,00","1.540,00","2,99K","-2,22%"
"12/03/2026","1.575,00","1.580,00","1.580,00","1.575,00","0,03K","1,61%"
"11/03/2026","1.550,00","1.600,00","1.600,00","1.550,00","0,95K","-0,64%"
"10/03/2026","1.560,00","1.598,00","1.640,00","1.560,00","1,85K","-2,74%"
"09/03/2026","1.604,00","1.650,00","1.650,00","1.600,00","0,16K","0,25%"
