"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2026","1.880,00","1.855,00","1.921,00","1.850,00","11,05K","0,53%"
"16/04/2026","1.870,00","1.899,00","1.899,00","1.870,00","2,08K","-0,85%"
"15/04/2026","1.886,00","1.929,00","1.940,00","1.873,00","11,23K","1,45%"
"14/04/2026","1.859,00","1.900,00","1.945,00","1.859,00","4,59K","-0,59%"
"13/04/2026","1.870,00","1.850,00","1.940,00","1.820,00","2,86K","0,32%"
"10/04/2026","1.864,00","1.830,00","1.864,00","1.830,00","1,30K","3,56%"
"09/04/2026","1.800,00","1.830,00","1.842,00","1.800,00","1,88K","0,00%"
"08/04/2026","1.800,00","1.850,00","1.854,00","1.800,00","1,42K","2,56%"
"07/04/2026","1.755,00","1.799,00","1.799,00","1.755,00","5,30K","-0,85%"
"06/04/2026","1.770,00","1.834,00","1.855,00","1.770,00","14,43K","-1,67%"
"03/04/2026","1.800,00","1.847,00","1.847,00","1.770,00","31,24K","-2,54%"
"02/04/2026","1.847,00","1.800,00","1.850,00","1.800,00","0,22K","-0,16%"
"01/04/2026","1.850,00","1.810,00","1.850,00","1.800,00","0,65K","5,71%"
"31/03/2026","1.750,00","1.818,00","1.818,00","1.750,00","1,81K","-2,78%"
"30/03/2026","1.800,00","1.770,00","1.820,00","1.770,00","0,05K","1,69%"
"27/03/2026","1.770,00","1.870,00","1.870,00","1.770,00","7,57K","-5,04%"
"26/03/2026","1.864,00","1.870,00","1.870,00","1.820,00","0,17K","-0,16%"
"25/03/2026","1.867,00","1.870,00","1.870,00","1.810,00","1,58K","-0,16%"
"24/03/2026","1.870,00","1.870,00","1.885,00","1.853,00","0,15K","1,91%"
"19/03/2026","1.835,00","1.794,00","1.849,00","1.771,00","70,18K","2,23%"
"18/03/2026","1.795,00","1.875,00","1.875,00","1.795,00","0,99K","-1,37%"
"17/03/2026","1.820,00","1.760,00","1.820,00","1.760,00","0,03K","3,41%"
