"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/05/2026","168,00","168,00","168,00","168,00","0,00K","0,60%"
"04/05/2026","167,00","167,00","167,00","167,00","0,01K","2,45%"
"29/04/2026","163,00","163,00","163,00","163,00","0,00K","-2,40%"
"22/04/2026","167,00","167,00","167,00","167,00","0,04K","1,21%"
"15/04/2026","165,00","165,00","165,00","165,00","0,00K","3,13%"
"10/04/2026","160,00","160,00","160,00","160,00","0,09K","0,00%"
"09/04/2026","160,00","160,00","160,00","160,00","0,10K","1,91%"
"08/04/2026","157,00","157,00","157,00","157,00","0,01K","-1,88%"
"24/03/2026","160,00","160,00","160,00","160,00","0,06K","0,00%"
"13/03/2026","160,00","160,00","160,00","160,00","0,10K","1,27%"
"11/03/2026","158,00","158,00","158,00","158,00","0,02K","-0,94%"
"04/03/2026","159,50","159,50","159,50","159,50","0,05K","-0,31%"
"27/02/2026","160,00","160,00","160,00","160,00","0,02K","0,00%"
"25/02/2026","160,00","160,00","160,00","160,00","0,03K","-2,44%"
"13/02/2026","164,00","164,00","164,00","164,00","0,05K","2,50%"
"12/02/2026","160,00","160,00","160,00","160,00","0,03K","-2,44%"
"10/02/2026","164,00","164,00","164,00","164,00","0,03K","-0,61%"
"05/02/2026","165,00","165,00","165,00","165,00","0,02K","3,13%"
"03/02/2026","160,00","160,00","160,00","160,00","0,01K","-3,03%"
"29/01/2026","165,00","165,00","165,00","165,00","0,00K","0,00%"
"28/01/2026","165,00","165,00","165,00","165,00","0,00K","3,13%"
"27/01/2026","160,00","160,00","160,00","160,00","0,02K","5,68%"
"26/01/2026","151,40","151,40","151,40","151,40","0,02K","-5,38%"
"23/01/2026","160,00","160,00","160,00","160,00","0,04K","1,27%"
"22/01/2026","158,00","158,00","158,00","158,00","0,00K","-1,25%"
"20/01/2026","160,00","160,00","160,00","160,00","0,01K","0,00%"
"16/01/2026","160,00","160,00","160,00","160,00","0,08K","0,00%"
"15/01/2026","160,00","160,00","160,00","160,00","0,01K","0,00%"
"12/01/2026","160,00","160,00","160,00","160,00","0,00K","0,00%"
"07/01/2026","160,00","160,00","160,00","160,00","0,20K","5,61%"
"06/01/2026","151,50","151,50","151,50","151,50","0,05K","-5,31%"
"30/12/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"29/12/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"19/12/2025","160,00","160,00","160,00","160,00","0,03K","0,00%"
"18/12/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"11/12/2025","160,00","160,00","160,00","160,00","0,01K","0,00%"
"10/12/2025","160,00","160,00","160,00","160,00","0,10K","5,96%"
"09/12/2025","151,00","151,00","151,00","151,00","0,01K","-5,03%"
"01/12/2025","159,00","159,00","159,00","159,00","0,00K","-0,63%"
"26/11/2025","160,00","160,00","160,00","160,00","0,01K","0,00%"
"25/11/2025","160,00","160,00","160,00","160,00","0,05K","0,03%"
"24/11/2025","159,95","159,95","159,95","159,95","0,00K","0,00%"
"21/11/2025","159,95","159,95","159,95","159,95","0,01K","-0,03%"
"17/11/2025","160,00","160,00","160,00","160,00","0,01K","0,00%"
"14/11/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"11/11/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"10/11/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"05/11/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"04/11/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"03/11/2025","160,00","160,00","160,00","160,00","0,00K","0,63%"
"31/10/2025","159,00","159,00","159,00","159,00","0,15K","0,00%"
"30/10/2025","159,00","159,00","159,00","159,00","0,00K","0,00%"
"28/10/2025","159,00","159,00","159,00","159,00","0,00K","0,00%"
"27/10/2025","159,00","159,00","159,00","159,00","0,00K","0,00%"
"24/10/2025","159,00","159,00","159,00","159,00","0,00K","0,00%"
"23/10/2025","159,00","159,00","159,00","159,00","0,01K","0,00%"
"21/10/2025","159,00","159,00","159,00","159,00","0,00K","-0,63%"
"26/09/2025","160,00","160,00","160,00","160,00","0,00K","0,00%"
"16/09/2025","160,00","160,00","160,00","160,00","0,02K","0,00%"
"15/09/2025","160,00","160,00","160,00","160,00","0,01K","-1,23%"
"08/09/2025","162,00","162,00","162,00","162,00","0,02K","0,00%"
"04/09/2025","162,00","162,00","162,00","162,00","0,01K","0,00%"
"02/09/2025","162,00","162,00","162,00","162,00","0,01K","-0,61%"
"28/08/2025","163,00","163,00","163,00","163,00","0,04K","0,00%"
"27/08/2025","163,00","163,00","163,00","163,00","0,01K","5,16%"
"26/08/2025","155,00","155,00","155,00","155,00","0,01K","-4,91%"
"25/08/2025","163,00","163,00","163,00","163,00","0,00K","0,00%"
"22/08/2025","163,00","163,00","163,00","163,00","0,02K","0,00%"
"19/08/2025","163,00","163,00","163,00","163,00","0,01K","0,00%"
"18/08/2025","163,00","163,00","163,00","163,00","0,00K","0,00%"
"15/08/2025","163,00","163,00","163,00","163,00","0,02K","0,00%"
"12/08/2025","163,00","163,00","163,00","163,00","0,01K","0,00%"
"11/08/2025","163,00","163,00","163,00","163,00","0,01K","0,00%"
"08/08/2025","163,00","163,00","163,00","163,00","0,01K","0,00%"
"07/08/2025","163,00","163,00","163,00","163,00","0,02K","0,00%"
"06/08/2025","163,00","163,00","163,00","163,00","0,00K","0,62%"
"05/08/2025","162,00","162,00","162,00","162,00","0,01K","-0,61%"
"04/08/2025","163,00","163,00","163,00","163,00","0,01K","-0,61%"
"01/08/2025","164,00","164,00","164,00","164,00","0,00K","0,61%"
"31/07/2025","163,00","163,00","163,00","163,00","0,01K","-0,61%"
"28/07/2025","164,00","164,00","164,00","164,00","0,00K","2,50%"
"25/07/2025","160,00","160,00","160,00","160,00","0,01K","0,00%"
"24/07/2025","160,00","160,00","160,00","160,00","0,03K","0,00%"
"23/07/2025","160,00","160,00","160,00","160,00","0,02K","-1,84%"
"22/07/2025","163,00","163,00","163,00","163,00","0,01K","-0,61%"
"21/07/2025","164,00","164,00","164,00","164,00","0,00K","0,00%"
"18/07/2025","164,00","164,00","164,00","164,00","0,00K","2,50%"
"17/07/2025","160,00","160,00","160,00","160,00","1,00K","0,00%"
"16/07/2025","160,00","160,00","160,00","160,00","0,11K","-2,44%"
"14/07/2025","164,00","164,00","164,00","164,00","0,01K","0,00%"
"11/07/2025","164,00","164,00","164,00","164,00","0,53K","2,50%"
"10/07/2025","160,00","160,00","160,00","160,00","0,15K","0,00%"
"09/07/2025","160,00","160,00","160,00","160,00","0,01K","-2,44%"
"03/07/2025","164,00","164,00","164,00","164,00","0,00K","0,00%"
"01/07/2025","164,00","164,00","164,00","164,00","0,01K","0,00%"
"26/06/2025","164,00","164,00","164,00","164,00","0,00K","0,00%"
"23/06/2025","164,00","164,00","164,00","164,00","0,01K","0,00%"
"13/06/2025","164,00","164,00","164,00","164,00","0,02K","0,00%"
"10/06/2025","164,00","164,00","164,00","164,00","0,02K","-0,61%"
"06/06/2025","165,00","165,00","165,00","165,00","3,50K","2,64%"
"05/06/2025","160,75","160,75","160,75","160,75","0,00K","-5,99%"
"04/06/2025","171,00","171,00","171,00","171,00","0,01K","0,00%"
"03/06/2025","171,00","171,00","171,00","171,00","0,03K","5,75%"
"02/06/2025","161,70","161,70","161,70","161,70","0,01K","-5,99%"
"28/05/2025","172,00","172,00","172,00","172,00","0,08K","1,18%"
"16/05/2025","170,00","170,00","170,00","170,00","0,03K","0,00%"
"28/04/2025","170,00","170,00","170,00","170,00","0,16K","0,00%"
"25/04/2025","170,00","170,00","170,00","170,00","0,08K","0,27%"
"23/04/2025","169,55","169,55","169,55","169,55","0,47K","5,97%"
"22/04/2025","160,00","160,00","160,00","160,00","0,00K","-5,88%"
"09/04/2025","170,00","170,00","170,00","170,00","0,05K","-0,93%"
"03/04/2025","171,60","171,60","171,60","171,60","0,00K","-0,23%"
"02/04/2025","172,00","172,00","172,00","172,00","0,00K","0,23%"
"28/03/2025","171,60","171,60","171,60","171,60","3,07K","5,93%"
"27/03/2025","162,00","162,00","162,00","162,00","1,00K","0,19%"
"26/03/2025","161,70","161,70","161,70","161,70","0,00K","-5,99%"
"25/03/2025","172,00","172,00","172,00","172,00","0,60K","0,00%"
"10/03/2025","172,00","172,00","172,00","172,00","0,08K","0,00%"
"06/03/2025","172,00","172,00","172,00","172,00","0,00K","0,00%"
"05/03/2025","172,00","172,00","172,00","172,00","0,25K","2,38%"
"04/03/2025","168,00","168,00","168,00","168,00","0,00K","-2,33%"
"24/02/2025","172,00","172,00","172,00","172,00","","0,00%"
"20/02/2025","172,00","172,00","172,00","172,00","0,02K","1,44%"
"13/02/2025","169,55","169,55","169,55","169,55","0,02K","5,97%"
"12/02/2025","160,00","160,00","160,00","160,00","0,01K","-5,88%"
"11/02/2025","170,00","170,00","170,00","170,00","0,00K","0,00%"
"05/02/2025","170,00","170,00","170,00","170,00","0,00K","-1,16%"
"04/02/2025","172,00","172,00","172,00","172,00","0,00K","-1,15%"
"31/01/2025","174,00","174,00","174,00","174,00","0,00K","-0,57%"
"29/01/2025","175,00","175,00","175,00","175,00","0,00K","0,00%"
"23/01/2025","175,00","175,00","175,00","175,00","0,05K","2,94%"
"22/01/2025","170,00","170,00","170,00","170,00","0,00K","-3,95%"
"17/01/2025","177,00","177,00","177,00","177,00","0,01K","0,00%"
"08/01/2025","177,00","177,00","177,00","177,00","0,03K","0,00%"
"07/01/2025","177,00","177,00","177,00","177,00","0,01K","0,00%"
"02/01/2025","177,00","177,00","177,00","177,00","0,01K","4,12%"
"30/12/2024","170,00","170,00","170,00","170,00","0,00K","0,00%"
"25/12/2024","170,00","170,00","170,00","170,00","0,00K","0,00%"
"16/12/2024","170,00","170,00","170,00","170,00","0,00K","-1,11%"
"13/12/2024","171,90","171,90","171,90","171,90","9,04K","-1,72%"
"18/09/2024","174,90","174,90","174,90","174,90","0,00K","-0,57%"
"05/09/2024","175,90","175,90","175,90","175,90","0,35K","0,00%"
"04/09/2024","175,90","175,90","175,90","175,90","0,05K","0,00%"
"29/08/2024","175,90","175,90","175,90","175,90","0,06K","0,00%"
"27/08/2024","175,90","175,90","175,90","175,90","0,01K","-0,57%"
"18/07/2024","176,90","176,90","176,90","176,90","0,02K","-0,06%"
"12/07/2024","177,00","177,00","177,00","177,00","0,00K","0,00%"
"05/07/2024","177,00","177,00","177,00","177,00","0,01K","0,00%"
"06/06/2024","177,00","177,00","177,00","177,00","0,01K","-0,11%"
"14/05/2024","177,20","177,20","177,20","177,20","0,00K","-0,28%"
"15/04/2024","177,70","177,70","177,70","177,70","12,87K","-0,17%"
"13/02/2024","178,00","178,00","178,00","178,00","0,03K","1,77%"
"12/02/2024","174,90","174,90","174,90","174,90","0,04K","4,48%"
"07/02/2024","167,40","167,40","167,40","167,40","0,01K","-5,96%"
"26/01/2024","178,00","178,00","178,00","178,00","0,01K","1,14%"
"23/01/2024","176,00","176,00","176,00","176,00","0,00K","-0,56%"
"29/12/2023","177,00","177,00","177,00","177,00","0,05K","2,91%"
"21/12/2023","172,00","172,00","172,00","172,00","0,05K","1,78%"
"18/12/2023","169,00","169,00","169,00","169,00","0,01K","2,18%"
"15/12/2023","165,40","165,40","165,40","165,40","0,47K","3,44%"
"12/12/2023","159,90","159,90","159,90","159,90","0,06K","0,57%"
"07/12/2023","159,00","159,00","159,00","159,00","0,40K","0,00%"
"06/12/2023","159,00","159,00","159,00","159,00","0,16K","5,82%"
"05/12/2023","150,25","150,25","150,25","150,25","0,01K","-5,98%"
"20/11/2023","159,80","159,80","159,80","159,80","0,00K","0,82%"
"15/11/2023","158,50","158,50","158,50","158,50","0,02K","0,44%"
"09/11/2023","157,80","157,80","157,80","157,80","0,15K","0,00%"
"02/11/2023","157,80","157,80","157,80","157,80","0,07K","0,00%"
"20/10/2023","157,80","157,80","157,80","157,80","0,06K","0,00%"
"18/10/2023","157,80","157,80","157,80","157,80","0,20K","0,19%"
"09/10/2023","157,50","157,50","157,50","157,50","0,02K","-0,94%"
"16/08/2023","159,00","159,00","159,00","159,00","0,03K","2,58%"
"07/08/2023","155,00","155,00","155,00","155,00","0,01K","-1,90%"
"03/08/2023","158,00","158,00","158,00","158,00","0,01K","0,00%"
"31/07/2023","158,00","158,00","158,00","158,00","0,00K","0,00%"
"25/07/2023","158,00","158,00","158,00","158,00","0,01K","-1,25%"
"07/07/2023","160,00","160,00","160,00","160,00","0,20K","3,23%"
"04/07/2023","155,00","155,00","155,00","155,00","0,00K","-3,06%"
"13/06/2023","159,90","159,90","159,90","159,90","0,01K","0,00%"
"31/05/2023","159,90","159,90","159,90","159,90","0,01K","2,50%"
"28/04/2023","156,00","156,00","156,00","156,00","0,00K","-0,57%"
