"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/05/2026","5.750,0","5.750,0","5.750,0","5.301,0","0,65K","3,60%"
"08/05/2026","5.550,0","5.740,0","5.740,0","5.550,0","0,21K","-3,31%"
"07/05/2026","5.740,0","5.690,0","5.750,0","5.690,0","0,29K","2,41%"
"05/05/2026","5.605,0","5.749,0","5.749,0","5.605,0","0,20K","0,09%"
"04/05/2026","5.600,0","5.580,0","5.600,0","5.580,0","0,17K","-2,59%"
"29/04/2026","5.749,0","5.739,0","5.750,0","5.500,0","4,28K","-0,02%"
"28/04/2026","5.750,0","5.700,0","5.750,0","5.700,0","0,02K","0,17%"
"27/04/2026","5.740,0","5.740,0","5.740,0","5.740,0","0,10K","4,36%"
"24/04/2026","5.500,0","5.400,0","5.500,0","5.400,0","1,88K","0,00%"
"23/04/2026","5.500,0","5.500,0","5.500,0","5.500,0","0,06K","0,00%"
"22/04/2026","5.500,0","5.400,0","5.500,0","5.400,0","0,08K","1,85%"
"21/04/2026","5.400,0","5.400,0","5.400,0","5.400,0","0,03K","2,47%"
"20/04/2026","5.270,0","5.278,0","5.278,0","5.270,0","0,00K","1,35%"
"17/04/2026","5.200,0","5.200,0","5.200,0","5.200,0","0,68K","3,98%"
"16/04/2026","5.001,0","5.100,0","5.100,0","5.001,0","5,07K","-1,94%"
"15/04/2026","5.100,0","5.100,0","5.280,0","5.100,0","0,13K","2,00%"
"14/04/2026","5.000,0","5.000,0","5.000,0","5.000,0","0,01K","0,00%"
"13/04/2026","5.000,0","5.000,0","5.000,0","5.000,0","0,05K","-6,28%"
"10/04/2026","5.335,0","5.335,0","5.335,0","5.335,0","0,13K","9,98%"
"09/04/2026","4.851,0","4.990,0","4.990,0","4.851,0","0,70K","-1,02%"
"08/04/2026","4.901,0","4.900,0","4.993,0","4.770,0","1,07K","0,02%"
"07/04/2026","4.900,0","4.900,0","4.900,0","4.900,0","0,05K","0,00%"
"01/04/2026","4.900,0","4.463,0","4.900,0","4.463,0","0,08K","1,14%"
"31/03/2026","4.845,0","4.845,0","4.845,0","4.845,0","0,60K","-1,12%"
"30/03/2026","4.900,0","4.900,0","4.900,0","4.900,0","0,00K","1,01%"
"27/03/2026","4.851,0","4.851,0","4.851,0","4.851,0","1,20K","-2,94%"
"26/03/2026","4.998,0","4.998,0","4.998,0","4.998,0","0,25K","2,63%"
"25/03/2026","4.870,0","4.850,0","4.870,0","4.850,0","0,04K","1,46%"
"24/03/2026","4.800,0","4.850,0","4.850,0","4.800,0","0,37K","-1,03%"
"19/03/2026","4.850,0","4.850,0","4.850,0","4.850,0","0,55K","-2,96%"
"18/03/2026","4.998,0","4.998,0","4.998,0","4.998,0","0,07K","1,40%"
"17/03/2026","4.929,0","4.800,0","4.929,0","4.800,0","0,11K","2,69%"
"16/03/2026","4.800,0","4.850,0","4.850,0","4.800,0","0,14K","-0,02%"
"13/03/2026","4.801,0","4.800,0","4.801,0","4.800,0","1,13K","0,02%"
"12/03/2026","4.800,0","4.800,0","4.800,0","4.800,0","0,70K","0,00%"
"11/03/2026","4.800,0","4.800,0","4.800,0","4.800,0","0,51K","2,13%"
"10/03/2026","4.700,0","4.700,0","4.700,0","4.700,0","0,05K","-0,04%"
"09/03/2026","4.702,0","4.702,0","4.702,0","4.702,0","0,71K","0,00%"
"06/03/2026","4.702,0","4.850,0","4.850,0","4.702,0","1,01K","-3,05%"
"05/03/2026","4.850,0","4.849,0","4.850,0","4.849,0","0,12K","4,30%"
