"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"12/05/2026","217,40","217,40","217,40","217,40","0,00K","6,00%"
"11/05/2026","205,10","205,10","205,10","205,10","0,25K","-5,27%"
"08/05/2026","216,50","216,50","216,50","216,50","0,00K","6,00%"
"07/05/2026","204,25","204,25","204,25","204,25","0,16K","-5,98%"
"06/05/2026","217,25","217,25","217,25","217,25","0,02K","5,98%"
"05/05/2026","205,00","205,00","205,00","205,00","0,25K","-0,89%"
"04/05/2026","206,85","206,85","206,85","206,85","0,11K","-5,98%"
"30/04/2026","220,00","220,00","220,00","220,00","0,02K","-5,98%"
"29/04/2026","234,00","234,00","234,00","234,00","0,12K","5,88%"
"28/04/2026","221,00","221,00","221,00","221,00","0,00K","0,00%"
"27/04/2026","221,00","221,00","221,00","221,00","0,12K","-5,96%"
"22/04/2026","235,00","235,00","235,00","235,00","0,05K","0,00%"
"21/04/2026","235,00","235,00","235,00","235,00","0,08K","0,00%"
"20/04/2026","235,00","235,00","235,00","235,00","0,00K","0,00%"
"15/04/2026","235,00","235,00","235,00","235,00","0,03K","2,17%"
"14/04/2026","230,00","230,00","230,00","230,00","0,00K","5,82%"
"09/04/2026","217,35","217,35","217,35","217,35","0,00K","-3,40%"
"08/04/2026","225,00","225,00","225,00","225,00","0,02K","0,00%"
"07/04/2026","225,00","225,00","225,00","225,00","0,08K","-0,62%"
"03/04/2026","226,40","226,40","226,40","226,40","0,00K","-5,67%"
"02/04/2026","240,00","240,00","240,00","240,00","0,00K","0,04%"
"01/04/2026","239,90","239,90","239,90","239,90","0,02K","-0,04%"
"31/03/2026","240,00","240,00","240,00","240,00","0,29K","0,00%"
"30/03/2026","240,00","240,00","240,00","240,00","0,01K","4,35%"
"27/03/2026","230,00","230,00","230,00","230,00","0,02K","-4,52%"
"26/03/2026","240,90","240,90","240,90","240,90","0,01K","5,66%"
"25/03/2026","228,00","228,00","228,00","228,00","0,01K","0,88%"
"24/03/2026","226,00","226,00","226,00","226,00","0,15K","0,44%"
"12/03/2026","225,00","225,00","225,00","225,00","0,02K","2,27%"
"11/03/2026","220,00","220,00","220,00","220,00","0,01K","3,29%"
"09/03/2026","213,00","213,00","213,00","213,00","0,02K","-5,65%"
"06/03/2026","225,75","225,75","225,75","225,75","0,02K","5,99%"
"05/03/2026","213,00","213,00","213,00","213,00","0,02K","5,97%"
"04/03/2026","201,00","201,00","201,00","201,00","0,03K","0,50%"
"03/03/2026","200,00","200,00","200,00","200,00","0,01K","-3,75%"
"02/03/2026","207,80","207,80","207,80","207,80","0,01K","-5,95%"
"27/02/2026","220,95","220,95","220,95","220,95","0,01K","-5,98%"
"26/02/2026","235,00","235,00","235,00","235,00","0,03K","0,00%"
"25/02/2026","235,00","235,00","235,00","235,00","0,02K","-2,08%"
"23/02/2026","240,00","240,00","240,00","240,00","0,00K","4,35%"
"20/02/2026","230,00","230,00","230,00","230,00","0,02K","-4,17%"
"19/02/2026","240,00","240,00","240,00","240,00","0,00K","1,27%"
"18/02/2026","237,00","237,00","237,00","237,00","0,01K","5,92%"
"17/02/2026","223,75","223,75","223,75","223,75","0,05K","-5,99%"
"16/02/2026","238,00","238,00","238,00","238,00","0,00K","-2,86%"
"13/02/2026","245,00","245,00","245,00","245,00","0,02K","0,00%"
"12/02/2026","245,00","245,00","245,00","245,00","0,05K","0,02%"
"11/02/2026","244,95","244,95","244,95","244,95","0,00K","-0,02%"
"10/02/2026","245,00","245,00","245,00","245,00","0,00K","4,70%"
"09/02/2026","234,00","234,00","234,00","234,00","0,03K","-4,88%"
"06/02/2026","246,00","246,00","246,00","246,00","0,00K","5,97%"
"04/02/2026","232,15","232,15","232,15","232,15","0,01K","0,00%"
"02/02/2026","232,15","232,15","232,15","232,15","0,03K","-5,99%"
"30/01/2026","246,95","246,95","246,95","246,95","0,02K","5,99%"
"29/01/2026","233,00","233,00","233,00","233,00","0,02K","-1,71%"
"28/01/2026","237,05","237,05","237,05","237,05","0,01K","-0,40%"
"27/01/2026","238,00","238,00","238,00","238,00","0,01K","2,15%"
"26/01/2026","233,00","233,00","233,00","233,00","0,03K","0,54%"
"23/01/2026","231,75","231,75","231,75","231,75","0,01K","-5,98%"
"21/01/2026","246,50","246,50","246,50","246,50","0,07K","0,61%"
"20/01/2026","245,00","245,00","245,00","245,00","0,03K","5,15%"
"19/01/2026","233,00","233,00","233,00","233,00","0,03K","0,34%"
"16/01/2026","232,20","232,20","232,20","232,20","0,02K","-5,99%"
"15/01/2026","247,00","247,00","247,00","247,00","0,01K","5,92%"
"13/01/2026","233,20","233,20","233,20","233,20","0,06K","-5,97%"
"12/01/2026","248,00","248,00","248,00","248,00","0,04K","1,74%"
"09/01/2026","243,75","243,75","243,75","243,75","0,06K","0,31%"
"08/01/2026","243,00","243,00","243,00","243,00","0,10K","-0,31%"
"07/01/2026","243,75","243,75","243,75","243,75","0,01K","5,98%"
"06/01/2026","230,00","230,00","230,00","230,00","0,14K","0,35%"
"05/01/2026","229,20","229,20","229,20","229,20","0,01K","5,99%"
"02/01/2026","216,25","216,25","216,25","216,25","0,00K","5,98%"
"31/12/2025","204,05","204,05","204,05","204,05","0,02K","-5,97%"
"30/12/2025","217,00","217,00","217,00","217,00","0,02K","0,00%"
"29/12/2025","217,00","217,00","217,00","217,00","0,04K","-0,09%"
"26/12/2025","217,20","217,20","217,20","217,20","0,03K","5,98%"
"25/12/2025","204,95","204,95","204,95","204,95","0,00K","6,00%"
"24/12/2025","193,35","193,35","193,35","193,35","0,01K","-3,90%"
"23/12/2025","201,20","201,20","201,20","201,20","0,01K","-5,98%"
"15/12/2025","214,00","214,00","214,00","214,00","0,01K","-0,05%"
"10/12/2025","214,10","214,10","214,10","214,10","0,00K","5,99%"
"03/12/2025","202,00","202,00","202,00","202,00","0,02K","-1,32%"
"02/12/2025","204,70","204,70","204,70","204,70","0,00K","0,96%"
"01/12/2025","202,75","202,75","202,75","202,75","0,01K","-5,98%"
"28/11/2025","215,65","215,65","215,65","215,65","0,00K","-5,99%"
"27/11/2025","229,40","229,40","229,40","229,40","0,00K","-5,98%"
"21/11/2025","244,00","244,00","244,00","244,00","0,01K","-2,03%"
"17/11/2025","249,05","249,05","249,05","249,05","0,01K","5,98%"
"14/11/2025","235,00","235,00","235,00","235,00","0,03K","0,00%"
"13/11/2025","235,00","235,00","235,00","235,00","0,02K","0,00%"
"12/11/2025","235,00","235,00","235,00","235,00","0,08K","3,62%"
"11/11/2025","226,80","226,80","226,80","226,80","0,02K","5,98%"
"04/11/2025","214,00","214,00","214,00","214,00","0,03K","-2,73%"
"03/11/2025","220,00","220,00","220,00","220,00","0,06K","2,80%"
"31/10/2025","214,00","214,00","214,00","214,00","0,01K","-1,04%"
"30/10/2025","216,25","216,25","216,25","216,25","0,00K","5,98%"
"29/10/2025","204,05","204,05","204,05","204,05","0,12K","0,02%"
"28/10/2025","204,00","204,00","204,00","204,00","0,14K","-0,49%"
"27/10/2025","205,00","205,00","205,00","205,00","0,01K","-5,96%"
"24/10/2025","218,00","218,00","218,00","218,00","0,05K","0,00%"
"23/10/2025","218,00","218,00","218,00","218,00","0,03K","-5,99%"
"22/10/2025","231,90","231,90","231,90","231,90","0,00K","5,99%"
"21/10/2025","218,80","218,80","218,80","218,80","0,01K","-4,04%"
"14/10/2025","228,00","228,00","228,00","228,00","0,12K","-0,11%"
"13/10/2025","228,25","228,25","228,25","228,25","0,00K","5,99%"
"10/10/2025","215,35","215,35","215,35","215,35","0,00K","5,93%"
"09/10/2025","203,30","203,30","203,30","203,30","0,01K","0,02%"
"08/10/2025","203,25","203,25","203,25","203,25","0,01K","-5,90%"
"06/10/2025","216,00","216,00","216,00","216,00","0,07K","0,33%"
