Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,6.45,6.59,6.59,6.36,170680.0,0.94
2021-01-05,6.57,6.49,6.6,6.45,93820.0,1.86
2021-01-06,6.72,6.57,6.8,6.56,367630.0,2.28
2021-01-07,6.7,6.74,6.79,6.65,293190.0,-0.3
2021-01-08,6.65,6.74,6.77,6.56,25200.0,-0.75
2021-01-12,6.68,6.59,6.68,6.59,61330.0,0.45
2021-01-13,6.6,6.68,6.68,6.59,50940.0,-1.2
2021-01-14,6.48,6.58,6.65,6.46,145610.0,-1.82
2021-01-15,6.69,6.48,6.73,6.48,229110.0,3.24
2021-01-18,6.66,6.75,6.75,6.62,71850.0,-0.45
2021-01-19,6.62,6.71,6.72,6.59,142730.0,-0.6
2021-01-20,6.6,6.64,6.69,6.56,145050.0,-0.3
2021-01-21,6.62,6.63,6.68,6.58,490210.0,0.3
2021-01-22,6.6,6.67,6.67,6.56,68290.0,-0.3
2021-01-25,6.86,6.55,6.86,6.55,295940.0,3.94
2021-01-26,7.13,7.13,7.13,6.92,598750.0,3.94
2021-01-27,7.41,7.19,7.41,7.19,1000000.0,3.93
2021-01-28,7.12,7.5,7.51,7.12,271980.0,-3.91
2021-01-29,7.08,7.0,7.28,7.0,152550.0,-0.56
2021-02-01,7.05,7.13,7.24,6.9,168510.0,-0.42
2021-02-02,6.9,7.0,7.05,6.8,326680.0,-2.13
2021-02-03,6.85,6.88,6.94,6.85,24720.0,-0.72
2021-02-04,6.88,6.96,6.96,6.8,114070.0,0.44
2021-02-05,7.09,6.85,7.13,6.85,180070.0,3.05
2021-02-08,7.05,7.09,7.17,7.02,59550.0,-0.56
2021-02-09,7.0,7.11,7.11,7.0,95830.0,-0.71
2021-02-10,6.84,6.97,7.08,6.84,171440.0,-2.29
2021-02-11,6.83,6.82,6.95,6.82,25270.0,-0.15
2021-02-12,6.85,6.89,6.97,6.84,31330.0,0.29
2021-02-15,6.87,6.93,6.93,6.83,13890.0,0.29
2021-02-16,6.88,6.91,7.0,6.87,92670.0,0.15
2021-02-17,6.82,6.88,6.88,6.77,314780.0,-0.87
2021-02-18,6.79,6.88,6.88,6.78,16820.0,-0.44
2021-02-19,6.78,6.79,6.82,6.75,57670.0,-0.15
2021-02-22,6.74,6.75,6.83,6.7,24850.0,-0.59
2021-02-23,6.56,6.72,6.78,6.5,218280.0,-2.67
2021-02-24,6.56,6.6,6.62,6.51,101790.0,0.0
2021-02-25,6.45,6.5,6.55,6.41,95540.0,-1.68
2021-02-26,6.4,6.45,6.61,6.34,115930.0,-0.78
2021-03-01,6.4,6.52,6.52,6.3,54940.0,0.0
2021-03-02,6.4,6.4,6.46,6.31,61280.0,0.0
2021-03-03,6.39,6.4,6.4,6.33,44450.0,-0.16
2021-03-04,6.37,6.42,6.43,6.37,32940.0,-0.31
2021-03-05,6.3,6.39,6.39,6.25,222150.0,-1.1
2021-03-08,6.3,6.3,6.36,6.25,101860.0,0.0
2021-03-09,6.29,6.3,6.3,6.21,20910.0,-0.16
2021-03-10,6.17,6.37,6.37,6.17,57790.0,-1.91
2021-03-11,6.2,6.17,6.26,6.1,33180.0,0.49
2021-03-12,6.28,6.24,6.35,6.15,11120.0,1.29
2021-03-15,6.26,6.43,6.43,6.2,7070.0,-0.32
2021-03-16,6.24,6.21,6.35,6.21,6190.0,-0.32
2021-03-17,6.29,6.26,6.34,6.2,27970.0,0.8
2021-03-18,6.22,6.32,6.32,6.14,24110.0,-1.11
2021-03-19,6.12,6.22,6.22,6.1,49090.0,-1.61
2021-03-22,6.08,6.1,6.15,6.05,61290.0,-0.65
