Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,37.18,35.9,37.25,35.9,990.0,3.42
2021-01-05,36.6,37.13,37.13,36.17,128530.0,-1.56
2021-01-06,37.47,36.1,37.48,36.1,4000.0,2.38
2021-01-07,37.4,36.27,37.4,36.27,640.0,-0.19
2021-01-08,36.04,37.4,37.4,36.01,9830.0,-3.64
2021-01-12,36.96,37.0,37.0,36.3,3770.0,2.55
2021-01-13,36.8,37.0,37.3,36.4,10450.0,-0.43
2021-01-14,36.89,36.83,37.25,36.51,3510.0,0.24
2021-01-15,37.0,36.41,37.4,36.41,8970.0,0.3
2021-01-18,36.72,37.0,37.3,36.6,7720.0,-0.76
2021-01-19,36.95,36.72,37.0,36.2,5400.0,0.63
2021-01-20,36.68,36.73,37.1,36.68,10620.0,-0.73
2021-01-21,36.7,36.7,36.9,36.16,3560.0,0.05
2021-01-22,36.7,36.11,37.0,36.11,6100.0,0.0
2021-01-25,38.16,36.81,38.16,36.7,19680.0,3.98
2021-01-26,39.3,38.98,39.5,38.4,63190.0,2.99
2021-01-27,39.6,39.3,40.5,39.29,57280.0,0.76
2021-01-28,38.08,39.0,39.0,38.02,23270.0,-3.84
2021-01-29,36.75,36.94,38.24,36.6,33280.0,-3.49
2021-02-01,37.55,36.75,37.72,36.73,1740.0,2.18
2021-02-02,36.98,37.56,37.59,36.1,7980.0,-1.52
2021-02-03,37.46,36.98,37.46,36.05,9450.0,1.3
2021-02-04,37.19,37.0,37.44,36.5,700.0,-0.72
2021-02-05,38.0,36.65,38.0,36.65,11250.0,2.18
2021-02-08,37.21,37.05,38.5,37.05,6930.0,-2.08
2021-02-09,37.35,37.95,37.95,36.95,5850.0,0.38
2021-02-10,37.0,36.72,37.35,36.65,2220.0,-0.94
2021-02-11,36.9,36.35,36.9,36.27,2820.0,-0.27
2021-02-12,37.29,36.9,37.45,36.9,1340.0,1.06
2021-02-15,37.0,37.0,37.25,37.0,2100.0,-0.78
2021-02-16,36.99,37.0,37.0,36.27,3660.0,-0.03
2021-02-17,37.0,36.55,37.0,36.36,2900.0,0.03
2021-02-18,36.47,37.0,37.0,36.47,250.0,-1.43
2021-02-19,36.6,37.21,37.21,36.35,4710.0,0.36
2021-02-22,36.88,36.34,37.0,36.21,18080.0,0.77
2021-02-23,36.0,36.3,36.4,35.7,5060.0,-2.39
2021-02-24,35.0,35.7,35.99,35.0,5770.0,-2.78
2021-02-25,35.15,33.7,35.3,33.7,1510.0,0.43
2021-02-26,34.1,35.38,35.38,34.1,1870.0,-2.99
2021-03-01,35.3,34.25,35.3,34.1,420.0,3.52
2021-03-02,35.3,35.0,35.3,35.0,5450.0,0.0
2021-03-03,35.99,35.5,36.0,35.1,270.0,1.95
2021-03-04,35.95,35.95,36.0,35.75,3450.0,-0.11
2021-03-08,35.5,35.6,35.85,35.0,3190.0,-1.25
2021-03-09,35.5,35.5,35.5,35.01,600.0,0.0
2021-03-10,34.99,35.4,35.5,34.1,10230.0,-1.44
2021-03-11,34.0,34.42,34.98,33.75,15680.0,-2.83
2021-03-12,34.0,34.0,34.0,34.0,4250.0,0.0
2021-03-15,33.5,34.0,34.0,33.5,10810.0,-1.47
2021-03-16,33.99,33.26,34.0,33.26,8260.0,1.46
2021-03-17,33.98,33.98,33.99,33.5,220.0,-0.03
2021-03-18,33.3,33.3,33.6,32.63,14690.0,-2.0
2021-03-19,32.6,33.0,33.28,32.6,2170.0,-2.1
2021-03-22,32.49,32.11,32.68,32.0,1800.0,-0.34
2021-03-23,32.2,31.92,32.29,31.3,1950.0,-0.89
2021-03-24,32.2,31.4,32.2,31.32,6330.0,0.0
2021-03-25,32.0,31.5,32.2,31.5,20320.0,-0.62
2021-03-26,31.93,31.87,32.0,31.4,8700.0,-0.22
2021-03-29,31.89,31.58,31.97,31.58,1130.0,-0.13
2021-03-30,30.62,30.62,30.8,30.62,52170.0,-3.98
