Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,279.9,279.9,279.9,279.9,20.0,1.05
2021-01-06,275.0,275.0,275.0,275.0,0.0,-1.75
2021-01-07,275.0,275.0,275.0,275.0,0.0,0.0
2021-01-08,270.0,270.0,270.0,270.0,0.0,-1.82
2021-01-13,270.0,270.0,270.0,270.0,0.0,0.0
2021-01-14,270.05,270.05,270.05,270.05,10.0,0.02
2021-01-18,275.0,275.0,275.0,275.0,80.0,1.83
2021-01-26,275.0,275.0,275.0,275.0,60.0,0.0
2021-01-27,275.0,275.0,275.0,275.0,110.0,0.0
2021-02-01,275.0,275.0,275.0,275.0,150.0,0.0
2021-02-02,275.0,275.0,275.0,275.0,10.0,0.0
2021-02-03,275.2,275.2,275.2,275.2,30.0,0.07
2021-02-05,275.1,275.1,275.1,275.1,20.0,-0.04
2021-02-08,280.6,280.6,280.6,280.6,0.0,2.0
2021-02-15,286.2,286.2,286.2,286.2,0.0,2.0
2021-02-16,286.9,286.9,286.9,286.9,0.0,0.24
2021-02-18,286.0,286.0,286.0,286.0,40.0,-0.31
2021-02-23,280.3,280.3,280.3,280.3,10.0,-1.99
2021-02-24,280.0,280.0,280.0,280.0,10.0,-0.11
2021-02-25,281.0,281.0,281.0,281.0,10.0,0.36
2021-03-01,280.0,280.0,280.0,280.0,70.0,-0.36
2021-03-09,285.0,285.0,285.0,285.0,0.0,1.79
2021-03-15,285.0,285.0,285.0,285.0,10.0,0.0
2021-03-16,289.5,289.5,289.5,289.5,0.0,1.58
2021-03-17,290.0,290.0,290.0,290.0,0.0,0.17
2021-03-22,285.0,285.0,285.0,285.0,30.0,-1.72
2021-03-23,289.95,289.95,289.95,289.95,0.0,1.74
2021-03-25,284.2,284.2,284.2,284.2,10.0,-1.98
2021-03-30,289.85,289.85,289.85,289.85,250.0,1.99
2021-03-31,295.0,295.0,295.0,295.0,260.0,1.78
2021-04-01,294.0,294.0,294.0,294.0,210.0,-0.34
2021-04-02,294.0,294.0,294.0,294.0,80.0,0.0
2021-04-05,288.6,288.6,288.6,288.6,20.0,-1.84
2021-04-06,293.0,293.0,293.0,293.0,0.0,1.52
2021-04-08,298.5,298.5,298.5,298.5,0.0,1.88
2021-04-12,300.0,300.0,300.0,300.0,30.0,0.5
2021-04-22,295.4,295.4,295.4,295.4,30.0,-1.53
2021-04-23,290.5,290.5,290.5,290.5,120.0,-1.66
2021-04-27,290.0,290.0,290.0,290.0,20.0,-0.17
2021-04-28,295.5,295.5,295.5,295.5,110.0,1.9
2021-04-29,296.2,296.2,296.2,296.2,80.0,0.24
2021-05-03,298.2,298.2,298.2,298.2,80.0,0.68
2021-05-05,300.0,300.0,300.0,300.0,150.0,0.6
2021-05-07,300.0,300.0,300.0,300.0,15340.0,0.0
2021-05-10,300.0,300.0,300.0,300.0,530.0,0.0
2021-05-11,300.0,300.0,300.0,300.0,360.0,0.0
2021-05-12,300.0,300.0,300.0,300.0,2020.0,0.0
2021-05-17,300.0,300.0,300.0,300.0,170.0,0.0
2021-05-18,300.0,300.0,300.0,300.0,150.0,0.0
2021-05-19,300.0,300.0,300.0,300.0,30.0,0.0
2021-05-20,300.0,300.0,300.0,300.0,100.0,0.0
2021-05-21,300.0,300.0,300.0,300.0,400.0,0.0
2021-05-24,300.0,300.0,300.0,300.0,80.0,0.0
2021-05-25,300.0,300.0,300.0,300.0,150.0,0.0
2021-05-31,300.0,300.0,300.0,300.0,360.0,0.0
2021-06-01,300.0,300.0,300.0,300.0,80.0,0.0
2021-06-02,300.0,300.0,300.0,300.0,20.0,0.0
2021-06-03,300.0,300.0,300.0,300.0,100.0,0.0
2021-06-07,300.0,300.0,300.0,300.0,150.0,0.0
2021-06-08,305.9,305.9,305.9,305.9,0.0,1.97
2021-06-09,312.0,312.0,312.0,312.0,0.0,1.99
2021-06-11,305.8,305.8,305.8,305.8,150.0,-1.99
2021-06-14,300.0,300.0,300.0,300.0,300.0,-1.9
2021-06-15,305.95,305.95,305.95,305.95,20.0,1.98
2021-06-16,306.0,306.0,306.0,306.0,20.0,0.02
2021-06-21,311.9,311.9,311.9,311.9,0.0,1.93
2021-06-22,306.0,306.0,306.0,306.0,110.0,-1.89
2021-06-23,306.0,306.0,306.0,306.0,190.0,0.0
2021-06-24,311.9,311.9,311.9,311.9,0.0,1.93
2021-06-28,305.7,305.7,305.7,305.7,0.0,-1.99
2021-06-29,300.0,300.0,300.0,300.0,280.0,-1.86
2021-06-30,305.0,305.0,305.0,305.0,30.0,1.67
2021-07-01,305.0,305.0,305.0,305.0,100.0,0.0
2021-07-02,305.0,305.0,305.0,305.0,10.0,0.0
2021-07-05,300.0,300.0,300.0,300.0,650.0,-1.64
2021-07-06,283.55,283.55,283.55,283.55,50.0,-5.48
2021-07-07,289.2,289.2,289.2,289.2,10.0,1.99
2021-07-08,294.95,294.95,294.95,294.95,0.0,1.99
2021-07-13,296.5,296.5,296.5,296.5,20.0,0.53
2021-07-16,297.0,297.0,297.0,297.0,0.0,0.17
2021-07-19,297.0,295.0,297.0,295.0,110.0,0.0
2021-07-23,297.0,297.0,297.0,297.0,10.0,0.0
2021-07-27,297.0,297.0,297.0,297.0,10.0,0.0
2021-07-28,297.0,297.0,297.0,297.0,0.0,0.0
2021-07-29,300.0,297.0,300.0,297.0,50.0,1.01
2021-08-03,300.0,298.0,300.0,298.0,870.0,0.0
2021-08-04,300.0,300.0,300.0,300.0,50.0,0.0
2021-08-06,302.0,304.0,304.0,302.0,20.0,0.67
2021-08-09,300.2,300.2,300.2,300.2,30.0,-0.6
2021-08-11,298.0,298.0,298.0,298.0,40.0,-0.73
2021-08-12,286.1,286.1,286.1,286.1,0.0,-3.99
2021-08-13,287.0,287.0,287.0,287.0,20.0,0.31
2021-08-17,290.0,290.0,290.0,290.0,40.0,1.05
2021-08-25,300.0,301.55,301.55,291.0,110.0,3.45
2021-08-26,306.0,301.5,306.0,301.5,220.0,2.0
2021-08-27,303.0,303.0,303.0,303.0,10.0,-0.98
2021-08-31,306.0,305.0,306.0,305.0,100.0,0.99
2021-09-01,309.0,307.0,309.0,307.0,100.0,0.98
2021-09-02,309.0,309.0,309.0,309.0,10.0,0.0
2021-09-03,310.5,308.95,311.0,308.95,1730.0,0.49
2021-09-06,312.0,312.0,312.0,312.0,10.0,0.48
2021-09-07,306.0,312.0,312.0,306.0,30.0,-1.92
2021-09-09,312.0,312.0,312.0,312.0,120.0,1.96
2021-09-10,313.0,318.0,319.0,313.0,40.0,0.32
