Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,1116.0,1116.0,1116.0,1116.0,0.0,0.0
2021-01-05,1111.0,1111.0,1111.0,1111.0,0.0,-0.45
2021-01-06,1111.0,1111.0,1111.0,1111.0,0.0,0.0
2021-01-07,1111.0,1111.0,1111.0,1111.0,0.0,0.0
2021-01-08,1090.0,1090.0,1090.0,1090.0,10.0,-1.89
2021-01-12,1091.0,1091.0,1091.0,1091.0,0.0,0.09
2021-01-13,1112.0,1112.0,1112.0,1112.0,40.0,1.92
2021-01-14,1122.0,1122.0,1122.0,1122.0,0.0,0.9
2021-01-15,1122.0,1122.0,1122.0,1122.0,160.0,0.0
2021-01-18,1132.0,1132.0,1132.0,1132.0,0.0,0.89
2021-01-19,1133.0,1133.0,1133.0,1133.0,0.0,0.09
2021-01-20,1133.0,1133.0,1133.0,1133.0,0.0,0.0
2021-01-21,1133.0,1133.0,1133.0,1133.0,0.0,0.0
2021-01-22,1133.0,1133.0,1133.0,1133.0,0.0,0.0
2021-01-25,1133.0,1133.0,1133.0,1133.0,0.0,0.0
2021-01-26,1133.0,1133.0,1133.0,1133.0,0.0,0.0
2021-01-27,1154.0,1154.0,1154.0,1154.0,0.0,1.85
2021-01-28,1152.0,1152.0,1152.0,1152.0,0.0,-0.17
2021-01-29,1152.0,1152.0,1152.0,1152.0,460.0,0.0
2021-02-01,1152.0,1152.0,1152.0,1152.0,0.0,0.0
2021-02-02,1152.0,1152.0,1152.0,1152.0,0.0,0.0
2021-02-03,1152.0,1152.0,1152.0,1152.0,0.0,0.0
2021-02-04,1152.0,1152.0,1152.0,1152.0,0.0,0.0
2021-02-05,1131.0,1131.0,1131.0,1131.0,0.0,-1.82
2021-02-08,1138.0,1138.0,1138.0,1138.0,0.0,0.62
2021-02-09,1141.0,1141.0,1141.0,1141.0,0.0,0.26
2021-02-10,1141.0,1141.0,1141.0,1141.0,0.0,0.0
2021-02-11,1163.0,1163.0,1163.0,1163.0,10.0,1.93
2021-02-12,1172.0,1172.0,1172.0,1172.0,0.0,0.77
2021-02-15,1171.0,1171.0,1171.0,1171.0,0.0,-0.09
2021-02-16,1192.0,1192.0,1192.0,1192.0,0.0,1.79
2021-02-17,1192.0,1192.0,1192.0,1192.0,0.0,0.0
2021-02-18,1192.0,1192.0,1192.0,1192.0,0.0,0.0
2021-02-19,1192.0,1192.0,1192.0,1192.0,0.0,0.0
2021-02-22,1192.0,1192.0,1192.0,1192.0,0.0,0.0
2021-02-23,1170.0,1171.0,1171.0,1170.0,10.0,-1.85
2021-02-24,1172.0,1172.0,1172.0,1172.0,0.0,0.17
2021-02-25,1172.0,1172.0,1172.0,1172.0,0.0,0.0
2021-02-26,1187.0,1187.0,1187.0,1187.0,0.0,1.28
2021-03-01,1187.0,1187.0,1187.0,1187.0,0.0,0.0
2021-03-02,1187.0,1187.0,1187.0,1187.0,0.0,0.0
2021-03-03,1187.0,1187.0,1187.0,1187.0,0.0,0.0
2021-03-04,1187.0,1187.0,1187.0,1187.0,0.0,0.0
2021-03-05,1165.0,1165.0,1165.0,1165.0,10.0,-1.85
2021-03-08,1165.0,1165.0,1165.0,1165.0,0.0,0.0
2021-03-09,1143.0,1143.0,1143.0,1143.0,0.0,-1.89
2021-03-10,1148.0,1148.0,1148.0,1148.0,0.0,0.44
2021-03-11,1148.0,1148.0,1148.0,1148.0,0.0,0.0
2021-03-12,1148.0,1148.0,1148.0,1148.0,120.0,0.0
2021-03-15,1148.0,1148.0,1148.0,1148.0,0.0,0.0
2021-03-16,1148.0,1148.0,1148.0,1148.0,0.0,0.0
2021-03-17,1148.0,1148.0,1148.0,1148.0,0.0,0.0
2021-03-18,1148.0,1148.0,1148.0,1148.0,0.0,0.0
2021-03-19,1129.0,1129.0,1129.0,1129.0,10.0,-1.66
2021-03-22,1133.0,1133.0,1133.0,1133.0,0.0,0.35
