Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,3791.0,3791.0,3791.0,3791.0,20.0,1.99
2021-01-08,3865.0,3865.0,3865.0,3865.0,0.0,1.95
2021-01-14,3942.0,3942.0,3942.0,3942.0,1550.0,1.99
2021-01-19,3999.0,3999.0,3999.0,3999.0,10.0,1.45
2021-02-05,4000.0,4000.0,4000.0,4000.0,20.0,0.03
2021-02-08,4079.0,4079.0,4079.0,4079.0,0.0,1.98
2021-02-09,4100.0,4100.0,4100.0,4100.0,360.0,0.51
2021-02-15,4019.0,4019.0,4019.0,4019.0,10.0,-1.98
2021-02-23,4099.0,4099.0,4099.0,4099.0,0.0,1.99
2021-02-26,4018.0,4018.0,4018.0,4018.0,10.0,-1.98
2021-03-09,4020.0,4020.0,4020.0,4020.0,20.0,0.05
2021-03-15,4100.0,4100.0,4100.0,4100.0,0.0,1.99
2021-03-16,4025.0,4025.0,4025.0,4025.0,20.0,-1.83
2021-03-17,4105.0,4105.0,4105.0,4105.0,10.0,1.99
2021-03-18,4187.0,4187.0,4187.0,4187.0,0.0,2.0
2021-03-24,4120.0,4120.0,4120.0,4120.0,10.0,-1.6
2021-04-06,4041.0,4041.0,4041.0,4041.0,10.0,-1.92
2021-04-13,4100.0,4100.0,4100.0,4100.0,10.0,1.46
2021-04-22,4181.0,4181.0,4181.0,4181.0,0.0,1.98
2021-04-23,4250.0,4250.0,4250.0,4250.0,0.0,1.65
2021-04-27,4330.0,4330.0,4330.0,4330.0,0.0,1.88
2021-04-28,4416.0,4416.0,4416.0,4416.0,0.0,1.99
2021-04-30,4420.0,4420.0,4420.0,4420.0,10.0,0.09
2021-05-03,4498.0,4498.0,4498.0,4498.0,0.0,1.76
2021-05-10,4499.0,4499.0,4499.0,4499.0,0.0,0.02
2021-05-11,4415.0,4415.0,4415.0,4415.0,5130.0,-1.87
2021-05-27,4350.0,4350.0,4350.0,4350.0,10080.0,-1.47
2021-06-02,4436.0,4436.0,4436.0,4436.0,120.0,1.98
2021-06-07,4524.0,4524.0,4524.0,4524.0,0.0,1.98
2021-06-09,4614.0,4614.0,4614.0,4614.0,0.0,1.99
2021-06-11,4522.0,4522.0,4522.0,4522.0,0.0,-1.99
2021-07-08,4432.0,4432.0,4432.0,4432.0,0.0,-1.99
2021-07-09,4432.0,4432.0,4432.0,4432.0,10.0,0.0
2021-08-03,4150.0,4150.0,4150.0,4150.0,0.0,-6.36
2021-08-17,4232.0,4232.0,4232.0,4232.0,0.0,1.98
2021-08-24,4233.0,4233.0,4233.0,4233.0,0.0,0.02
2021-08-25,4155.0,4155.0,4155.0,4155.0,0.0,-1.84
2021-08-31,4100.0,4100.0,4100.0,4100.0,20.0,-1.32
2021-09-09,4181.0,4181.0,4181.0,4181.0,0.0,1.98
2021-09-15,4264.0,4264.0,4264.0,4264.0,0.0,1.99
2021-09-24,4264.0,4264.0,4264.0,4264.0,250.0,0.0
2021-09-30,4300.0,4300.0,4300.0,4300.0,500.0,0.84
2021-10-01,4349.0,4349.0,4349.0,4349.0,0.0,1.14
2021-10-07,4349.0,4349.0,4349.0,4349.0,30.0,0.0
2021-10-11,4435.0,4435.0,4435.0,4435.0,10.0,1.98
2021-10-12,4450.0,4450.0,4450.0,4450.0,0.0,0.34
2021-10-13,4470.0,4470.0,4470.0,4470.0,0.0,0.45
2021-10-14,4500.0,4500.0,4500.0,4500.0,0.0,0.67
2021-10-18,4679.0,4679.0,4679.0,4679.0,0.0,3.98
2021-10-21,4700.0,4700.0,4700.0,4700.0,10.0,0.45
2021-10-22,4700.0,4700.0,4700.0,4700.0,10.0,0.0
2021-10-25,4800.0,4800.0,4800.0,4800.0,0.0,2.13
2021-11-01,4609.0,4609.0,4609.0,4609.0,10.0,-3.98
2021-11-02,4425.0,4425.0,4425.0,4425.0,0.0,-3.99
2021-11-23,4266.0,4266.0,4266.0,4266.0,20.0,-3.59
2021-12-17,4400.0,4400.0,4400.0,4400.0,0.0,3.14
2021-12-22,4500.0,4500.0,4500.0,4500.0,0.0,2.27
2021-12-23,4321.0,4321.0,4321.0,4321.0,2400.0,-3.98
2021-12-29,4490.0,4490.0,4490.0,4490.0,0.0,3.91
2021-12-30,4550.0,4550.0,4550.0,4550.0,280.0,1.34
2021-12-31,4730.0,4730.0,4730.0,4730.0,10.0,3.96
2022-01-06,4541.0,4541.0,4541.0,4541.0,0.0,-4.0
2022-01-07,4550.0,4550.0,4550.0,4550.0,0.0,0.2
2022-01-13,4500.0,4500.0,4500.0,4500.0,30.0,-1.1
2022-01-17,4679.0,4679.0,4679.0,4679.0,0.0,3.98
2022-01-18,4702.0,4702.0,4702.0,4702.0,10.0,0.49
2022-01-19,4820.0,4820.0,4820.0,4820.0,0.0,2.51
2022-01-20,4820.0,4820.0,4820.0,4820.0,0.0,0.0
2022-01-21,5012.0,5012.0,5012.0,5012.0,0.0,3.98
2022-01-25,4850.0,4850.0,4850.0,4850.0,0.0,-3.23
2022-02-07,4802.0,4802.0,4802.0,4802.0,10.0,-0.99
2022-02-08,4802.0,4802.0,4802.0,4802.0,10.0,0.0
2022-02-09,4801.0,4801.0,4801.0,4801.0,10.0,-0.02
2022-02-15,4810.0,4810.0,4810.0,4810.0,10.0,0.19
2022-02-18,4850.0,4850.0,4850.0,4850.0,10.0,0.83
2022-02-21,5002.0,5002.0,5002.0,5002.0,10.0,3.13
2022-02-22,5002.0,5002.0,5002.0,5002.0,0.0,0.0
2022-02-23,5089.0,5089.0,5089.0,5089.0,0.0,1.74
2022-02-24,5003.0,5003.0,5003.0,5003.0,10.0,-1.69
2022-02-28,5088.0,5088.0,5088.0,5088.0,0.0,1.7
2022-03-01,5088.0,5088.0,5088.0,5088.0,0.0,0.0
2022-03-03,4885.0,4885.0,4885.0,4885.0,0.0,-3.99
2022-03-07,4807.0,4807.0,4807.0,4807.0,10.0,-1.6
