Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2022-12-15,303.0,303.0,303.0,302.0,34730.0,0.33
2022-12-16,300.0,303.0,303.9,294.0,54480.0,-0.99
2022-12-19,301.4,300.0,301.95,300.0,62820.0,0.47
2022-12-20,300.0,300.0,301.0,297.0,48740.0,-0.46
2022-12-21,290.0,287.2,295.0,287.1,10130.0,-3.33
2022-12-22,290.0,290.05,292.0,290.0,5890.0,0.0
2022-12-23,291.0,290.0,291.0,290.0,8250.0,0.34
2022-12-26,280.2,291.0,292.0,280.0,6860.0,-3.71
2022-12-27,284.0,275.05,284.0,272.0,117010.0,1.36
2022-12-28,275.0,272.0,280.2,272.0,42250.0,-3.17
2022-12-29,275.1,273.0,279.8,271.25,12940.0,0.04
2022-12-30,276.0,276.05,279.7,276.0,9100.0,0.33
2023-01-02,276.0,275.0,276.0,273.0,2930.0,0.0
2023-01-03,277.0,277.0,280.0,277.0,5410.0,0.36
2023-01-04,280.0,279.75,282.8,275.0,4670.0,1.08
2023-01-05,275.0,278.1,284.0,275.0,49900.0,-1.79
2023-01-06,272.15,280.0,280.0,272.15,1030.0,-1.04
2023-01-09,270.5,272.15,279.35,270.0,2380.0,-0.61
2023-01-10,270.6,270.0,275.0,270.0,13940.0,0.04
2023-01-12,271.0,270.1,277.95,270.1,1510.0,0.15
2023-01-13,274.0,272.0,277.0,272.0,11320.0,1.11
2023-01-16,275.05,273.0,276.0,272.1,3650.0,0.38
2023-01-17,285.6,275.0,285.6,272.5,12770.0,3.84
2023-01-18,291.1,286.0,291.1,285.0,18970.0,1.93
2023-01-19,295.0,291.35,295.0,290.0,22540.0,1.34
2023-01-20,299.9,296.0,300.0,295.0,35970.0,1.66
2023-01-23,290.0,299.9,299.9,287.0,820.0,-3.3
2023-01-24,284.0,290.0,294.95,280.0,1770.0,-2.07
2023-01-25,285.1,286.0,291.95,285.1,440.0,0.39
2023-01-26,289.0,285.15,292.5,285.15,1730.0,1.37
2023-01-27,290.0,290.0,291.8,290.0,2400.0,0.35
2023-01-30,302.0,292.0,302.45,285.2,46020.0,4.14
2023-01-31,294.1,295.05,300.0,292.05,2960.0,-2.62
2023-02-01,295.0,293.1,298.0,288.1,1020.0,0.31
2023-02-02,293.0,288.8,293.0,285.0,2130.0,-0.68
2023-02-03,295.0,292.95,295.0,287.0,2100.0,0.68
2023-02-06,301.95,297.9,303.0,296.0,23750.0,2.36
2023-02-07,302.0,302.0,302.0,297.1,8000.0,0.02
2023-02-08,303.05,300.0,303.05,299.05,18770.0,0.35
2023-02-09,295.4,302.0,302.0,295.05,4540.0,-2.52
2023-02-10,298.0,301.8,301.8,296.0,530.0,0.88
2023-02-13,297.0,297.0,299.8,297.0,560.0,-0.34
2023-02-14,295.0,296.0,299.0,295.0,530.0,-0.67
2023-02-15,296.95,297.0,297.0,294.0,10.0,0.66
2023-02-16,292.5,296.95,296.95,292.5,980.0,-1.5
2023-02-17,299.95,292.6,299.95,292.5,260.0,2.55
2023-02-20,294.5,295.0,298.0,292.5,880.0,-1.82
2023-02-21,294.95,292.1,297.85,292.0,2990.0,0.15
2023-02-22,293.0,292.0,294.9,292.0,660.0,-0.66
2023-02-23,294.8,290.0,294.8,290.0,1550.0,0.61
2023-02-24,294.9,294.8,294.95,290.0,930.0,0.03
2023-02-27,294.9,294.0,294.95,290.0,990.0,0.0
2023-02-28,293.9,295.0,295.0,290.0,1250.0,-0.34
2023-03-01,295.0,296.0,296.0,294.0,660.0,0.37
2023-03-02,290.05,295.0,295.0,290.05,290.0,-1.68
2023-03-03,290.0,290.0,294.8,290.0,750.0,-0.02
2023-03-06,290.0,294.65,294.65,290.0,1360.0,0.0
2023-03-07,290.1,288.1,290.1,288.1,1380.0,0.03
2023-03-08,288.05,294.0,294.0,288.05,840.0,-0.71
2023-03-09,288.05,288.05,290.0,288.0,630.0,0.0
2023-03-10,292.0,290.0,293.0,288.0,470.0,1.37
2023-03-13,290.0,292.95,292.95,288.0,480.0,-0.68
2023-03-14,288.5,287.1,290.0,287.05,410.0,-0.52
