Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,397.0,399.95,399.95,397.0,290.0,-0.75
2021-01-05,400.0,397.0,400.0,396.0,1240.0,0.76
2021-01-06,398.9,396.05,398.9,396.0,3790.0,-0.28
2021-01-07,398.3,396.1,398.4,396.0,670.0,-0.15
2021-01-08,396.05,396.2,398.0,396.05,480.0,-0.56
2021-01-12,396.0,398.0,398.0,396.0,120.0,-0.01
2021-01-13,397.9,397.0,397.9,397.0,100.0,0.48
2021-01-14,396.0,396.0,396.0,396.0,130.0,-0.48
2021-01-15,398.0,398.0,398.0,398.0,280.0,0.51
2021-01-18,398.0,398.0,398.0,395.0,210.0,0.0
2021-01-19,398.0,398.0,398.0,395.05,1100.0,0.0
2021-01-20,395.0,396.0,397.75,395.0,2880.0,-0.75
2021-01-21,394.9,394.45,395.0,392.1,1870.0,-0.03
2021-01-22,394.9,394.0,395.0,393.0,1410.0,0.0
2021-01-25,394.9,394.0,394.9,390.0,5430.0,0.0
2021-01-26,393.8,390.1,394.8,390.1,2620.0,-0.28
2021-01-27,385.0,393.9,393.9,383.5,31270.0,-2.23
2021-01-28,389.75,385.0,389.8,382.0,9090.0,1.23
2021-01-29,385.1,385.1,385.1,385.1,360.0,-1.19
2021-02-01,382.15,385.1,385.1,382.0,510.0,-0.77
2021-02-02,382.15,382.2,385.0,380.25,1280.0,0.0
2021-02-03,392.5,387.95,394.95,387.95,2070.0,2.71
2021-02-04,394.8,392.1,394.8,390.0,5360.0,0.59
2021-02-08,393.95,393.95,393.95,393.95,10.0,-0.22
2021-02-09,394.0,393.95,394.0,390.0,3530.0,0.01
2021-02-10,390.0,390.05,390.05,390.0,160.0,-1.02
2021-02-11,390.0,390.0,390.0,390.0,1920.0,0.0
2021-02-12,391.5,391.0,391.5,390.5,1240.0,0.38
2021-02-15,391.0,390.5,391.0,390.5,110.0,-0.13
2021-02-16,390.0,390.5,390.5,390.0,290.0,-0.26
2021-02-17,392.0,391.0,392.0,391.0,410.0,0.51
2021-02-18,392.0,391.0,392.0,391.0,900.0,0.0
2021-02-19,393.0,393.0,393.0,392.0,110.0,0.26
2021-02-22,393.0,392.0,393.0,392.0,1040.0,0.0
2021-02-23,393.0,393.0,393.0,393.0,1000.0,0.0
2021-02-24,393.0,393.0,393.0,393.0,690.0,0.0
2021-02-25,393.0,393.0,393.5,393.0,1630.0,0.0
2021-02-26,393.0,393.0,393.0,393.0,100.0,0.0
2021-03-02,391.0,392.0,392.0,391.0,180.0,-0.51
2021-03-03,392.0,391.0,392.9,391.0,470.0,0.26
2021-03-04,398.0,394.05,399.7,394.05,11530.0,1.53
2021-03-05,398.0,399.0,399.0,398.0,1720.0,0.0
2021-03-08,398.0,399.75,399.75,398.0,960.0,0.0
2021-03-09,398.0,398.75,398.75,398.0,860.0,0.0
2021-03-10,398.0,398.0,398.0,398.0,200.0,0.0
2021-03-11,397.5,398.0,398.0,397.5,880.0,-0.13
2021-03-12,398.0,398.0,398.0,398.0,1860.0,0.13
2021-03-15,398.0,398.0,398.0,398.0,540.0,0.0
2021-03-16,398.0,398.0,398.0,397.5,5440.0,0.0
2021-03-17,400.0,398.0,400.0,398.0,10240.0,0.5
2021-03-18,398.0,400.1,400.1,398.0,290.0,-0.5
2021-03-19,398.0,401.8,401.8,398.0,100.0,0.0
2021-03-22,401.9,399.0,401.9,397.0,940.0,0.98
2021-03-23,397.0,397.0,397.0,397.0,30.0,-1.22
2021-03-24,397.0,397.0,398.0,397.0,530.0,0.0
