Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,69.51,69.51,69.51,69.51,40.0,-1.4
2021-01-06,70.5,70.5,70.5,70.5,250.0,1.42
2021-01-07,71.4,70.05,71.4,70.05,40.0,1.28
2021-01-08,71.05,71.05,71.05,71.05,0.0,-0.49
2021-01-12,70.1,70.5,70.5,70.1,0.0,-1.34
2021-01-14,70.05,70.05,70.05,70.05,30.0,-0.07
2021-01-15,70.05,70.1,70.1,70.05,50.0,0.0
2021-01-18,71.8,71.2,71.8,70.7,850.0,2.5
2021-01-19,72.49,72.0,72.49,72.0,740.0,0.96
2021-01-21,72.89,72.49,72.89,72.49,200.0,0.55
2021-01-22,72.0,72.0,72.9,72.0,31360.0,-1.22
2021-01-25,72.0,72.0,72.0,72.0,370.0,0.0
2021-01-26,74.0,72.0,74.0,72.0,6050.0,2.78
2021-01-27,72.0,73.3,73.3,72.0,170.0,-2.7
2021-01-28,74.0,74.0,74.0,74.0,50.0,2.78
2021-01-29,74.0,73.0,74.0,73.0,4340.0,0.0
2021-02-01,73.99,72.21,73.99,72.1,300.0,-0.01
2021-02-02,74.13,73.99,74.13,73.99,1080.0,0.19
2021-02-03,77.09,74.16,77.09,74.16,4920.0,3.99
2021-02-04,80.0,80.0,80.17,79.1,6180.0,3.77
2021-02-05,78.05,78.05,78.05,78.05,6060.0,-2.44
2021-02-08,79.9,79.4,79.9,79.4,50.0,2.37
2021-02-09,79.0,78.5,79.4,78.5,30750.0,-1.13
2021-02-10,78.95,77.1,78.95,77.1,60.0,-0.06
2021-02-11,78.5,78.5,78.5,78.5,3550.0,-0.57
2021-02-12,78.5,78.5,78.6,78.49,3120.0,0.0
2021-02-15,77.1,77.0,77.1,77.0,80.0,-1.78
2021-02-16,77.01,77.01,77.01,77.01,80.0,-0.12
2021-02-17,76.3,77.03,77.03,76.3,3820.0,-0.92
2021-02-18,76.0,76.1,76.1,76.0,480.0,-0.39
2021-02-19,77.95,77.95,77.95,77.95,0.0,2.57
2021-02-26,77.5,77.5,77.5,77.5,40.0,-0.58
2021-03-02,77.45,77.45,77.45,77.45,20.0,-0.06
2021-03-04,77.4,77.4,77.4,77.4,0.0,-0.06
2021-03-08,77.8,76.5,77.8,76.5,170.0,0.52
2021-03-09,78.0,77.8,78.9,77.8,4120.0,0.26
2021-03-10,78.4,78.4,78.4,78.4,10.0,0.51
2021-03-12,78.19,78.19,78.19,78.19,6690.0,-0.27
2021-03-15,78.49,75.5,78.49,75.5,10.0,0.38
2021-03-16,80.0,78.4,80.0,78.4,7030.0,1.92
2021-03-17,80.5,80.0,80.5,80.0,420.0,0.63
2021-03-18,80.05,80.0,80.05,80.0,1620.0,-0.56
2021-03-19,82.99,80.45,82.99,80.45,160.0,3.67
2021-03-22,82.9,81.1,82.9,81.1,210.0,-0.11
2021-03-23,82.95,82.9,82.95,82.9,10.0,0.06
