Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,82.0,82.0,82.0,82.0,1000.0,0.0
2021-01-06,81.0,81.0,81.01,80.6,430.0,-1.22
2021-01-07,80.7,81.0,81.01,80.7,100.0,-0.37
2021-01-08,81.0,81.01,81.01,81.0,50.0,0.37
2021-01-12,82.0,80.71,82.0,80.71,80.0,1.23
2021-01-13,81.0,81.11,81.11,81.0,220.0,-1.22
2021-01-14,81.0,81.01,81.01,81.0,20.0,0.0
2021-01-15,81.9,82.0,82.0,80.7,850.0,1.11
2021-01-18,80.01,80.7,80.7,80.01,40.0,-2.31
2021-01-19,80.0,80.5,80.5,80.0,44600.0,-0.01
2021-01-20,80.0,80.0,80.0,79.0,1100.0,0.0
2021-01-21,80.99,79.3,80.99,79.0,1430.0,1.24
2021-01-22,77.77,80.0,80.0,77.77,26430.0,-3.98
2021-01-25,79.0,80.52,80.52,78.99,160.0,1.58
2021-01-26,78.44,79.0,80.0,78.25,73910.0,-0.71
2021-01-27,78.0,78.52,78.57,78.0,1760.0,-0.56
2021-01-28,79.97,78.55,79.97,78.55,6020.0,2.53
2021-01-29,79.1,78.5,79.99,78.5,5740.0,-1.09
2021-02-01,79.0,79.0,79.99,79.0,240.0,-0.13
2021-02-02,79.0,79.01,79.01,78.15,1750.0,0.0
2021-02-03,78.15,79.0,79.0,78.15,180.0,-1.08
2021-02-04,81.0,79.0,81.0,79.0,1600.0,3.65
2021-02-05,80.0,80.0,80.01,80.0,3100.0,-1.23
2021-02-08,80.89,80.87,80.89,80.87,60.0,1.11
2021-02-09,80.05,80.05,80.05,80.05,17090.0,-1.04
2021-02-10,81.0,79.61,81.0,79.61,240.0,1.19
2021-02-11,80.01,80.25,80.25,80.01,60.0,-1.22
2021-02-12,81.0,81.0,81.0,81.0,350.0,1.24
2021-02-15,79.3,79.3,79.3,79.3,40.0,-2.1
2021-02-16,79.53,79.5,79.53,79.5,20060.0,0.29
2021-02-17,79.41,79.53,79.55,79.41,2780.0,-0.15
2021-02-18,79.8,79.25,79.99,79.25,240.0,0.49
2021-02-19,79.8,79.8,79.8,79.0,350.0,0.0
2021-02-22,77.0,78.55,78.55,77.0,160.0,-3.51
2021-02-23,77.64,79.8,79.8,77.64,7920.0,0.83
2021-02-24,78.5,77.7,78.5,77.7,170.0,1.11
2021-02-26,79.6,77.55,79.6,77.5,720.0,1.4
2021-03-02,77.56,77.56,77.56,77.56,20.0,-2.56
2021-03-03,79.48,77.58,79.48,77.15,220.0,2.48
2021-03-04,79.5,78.0,79.5,78.0,260.0,0.03
2021-03-09,79.5,79.5,79.5,79.5,130.0,0.0
2021-03-10,79.1,79.1,79.1,79.1,60.0,-0.5
2021-03-12,79.4,79.1,79.4,78.04,4520.0,0.38
2021-03-15,78.2,78.13,78.25,78.05,700.0,-1.51
2021-03-16,78.02,79.2,79.2,78.02,1860.0,-0.23
2021-03-17,80.0,77.51,80.0,77.51,1650.0,2.54
2021-03-18,80.5,80.9,80.9,80.5,300.0,0.63
2021-03-19,83.71,83.71,83.71,83.71,2120.0,3.99
2021-03-22,87.05,87.05,87.05,87.05,152120.0,3.99
2021-03-23,90.53,90.53,90.53,90.53,27430.0,4.0
2021-03-24,90.0,90.0,93.0,88.5,115820.0,-0.59
2021-03-25,90.0,89.01,90.77,89.0,140.0,0.0
2021-03-26,90.99,90.01,90.99,90.01,15020.0,1.1
2021-03-29,91.0,90.01,91.0,90.0,11830.0,0.01
2021-03-30,91.97,91.39,91.98,91.39,2940.0,1.07
2021-03-31,91.9,91.9,91.9,91.1,400.0,-0.08
2021-04-01,91.49,90.5,91.85,90.2,2700.0,-0.45
2021-04-02,91.44,91.85,91.85,90.22,22490.0,-0.05
2021-04-05,90.5,91.0,91.49,90.35,2710.0,-1.03
2021-04-06,91.8,91.8,91.8,90.6,330.0,1.44
2021-04-07,90.31,91.0,91.0,90.31,1620.0,-1.62
2021-04-08,90.32,90.31,90.32,90.31,120.0,0.01
2021-04-09,91.0,91.0,91.0,91.0,500.0,0.75
2021-04-12,91.0,90.53,91.0,90.52,1390.0,0.0
2021-04-13,90.88,90.52,90.88,90.52,110.0,-0.13
2021-04-14,91.0,90.6,91.0,90.52,38730.0,0.13
2021-04-15,91.0,91.0,91.0,91.0,110.0,0.0
2021-04-16,90.52,90.6,91.39,90.0,960.0,-0.53
2021-04-19,90.31,90.31,90.31,90.31,20.0,-0.23
2021-04-20,91.0,90.4,91.0,90.36,760.0,0.76
2021-04-21,93.0,91.0,93.0,91.0,70660.0,2.2
2021-04-22,93.0,93.0,93.1,92.0,31550.0,0.0
2021-04-23,92.0,92.0,93.0,92.0,4800.0,-1.08
2021-04-26,91.2,91.2,91.2,91.15,640.0,-0.87
2021-04-27,92.0,91.35,92.0,91.35,41050.0,0.88
2021-04-28,93.0,92.0,93.0,92.0,1150.0,1.09
2021-04-29,94.0,93.0,94.0,93.0,6170.0,1.08
2021-04-30,93.5,93.0,94.4,93.0,2920.0,-0.53
2021-05-03,93.5,93.1,93.5,92.6,250.0,0.0
2021-05-04,93.5,94.0,94.0,93.5,45780.0,0.0
2021-05-05,94.7,93.16,94.7,93.16,560.0,1.28
2021-05-06,95.0,93.9,95.0,93.9,6970.0,0.32
2021-05-07,94.7,94.75,94.75,94.7,13960.0,-0.32
2021-05-10,93.99,94.0,94.95,93.99,1530.0,-0.75
2021-05-11,93.0,94.5,94.5,93.0,14640.0,-1.05
2021-05-12,93.5,92.76,93.5,92.75,4780.0,0.54
2021-05-17,94.98,93.6,94.99,93.6,1230.0,1.58
2021-05-18,94.7,94.0,94.7,94.0,430.0,-0.29
2021-05-19,94.73,94.05,94.73,94.05,60150.0,0.03
2021-05-20,94.3,94.9,94.98,93.6,36160.0,-0.45
2021-05-21,93.6,93.6,93.7,93.6,990.0,-0.74
2021-05-24,94.96,93.55,94.97,93.5,15250.0,1.45
2021-05-25,94.7,94.9,94.9,94.0,420.0,-0.27
2021-05-26,95.5,94.0,95.5,94.0,10360.0,0.84
2021-05-27,94.15,95.5,95.5,94.15,13130.0,-1.41
2021-05-28,95.0,93.8,95.0,93.8,12560.0,0.9
2021-05-31,95.0,97.9,97.9,95.0,1840.0,0.0
2021-06-01,95.5,97.74,97.9,95.5,26020.0,0.53
2021-06-02,96.5,95.05,96.5,95.05,100.0,1.05
2021-06-03,98.5,96.9,98.5,96.89,4059.9999999999995,2.07
2021-06-04,98.45,96.1,98.5,96.1,2800.0,-0.05
2021-06-07,98.0,98.45,98.5,98.0,1040.0,-0.46
2021-06-08,97.0,97.5,98.0,96.5,45850.0,-1.02
2021-06-09,93.01,95.0,96.0,92.5,32790.0,-4.11
2021-06-10,93.0,93.01,94.97,93.0,31580.0,-0.01
2021-06-11,94.45,94.85,94.85,93.0,7250.0,1.56
2021-06-14,94.0,94.5,94.5,93.0,24530.0,-0.48
2021-06-15,93.2,94.0,94.5,93.2,1900.0,-0.85
2021-06-16,94.49,94.45,94.49,93.14,10710.0,1.38
2021-06-17,94.39,94.3,94.45,93.2,10090.0,-0.11
2021-06-18,94.0,93.2,94.24,92.7,14360.0,-0.41
2021-06-21,93.94,93.02,93.94,92.72,1610.0,-0.06
2021-06-22,92.56,93.95,93.99,92.5,1260.0,-1.47
2021-06-23,94.0,93.0,94.0,92.61,3640.0,1.56
2021-06-24,93.1,93.0,93.1,93.0,90.0,-0.96
2021-06-25,90.0,93.6,93.6,90.0,29260.0,-3.33
2021-06-28,92.0,90.15,92.0,90.15,220.0,2.22
2021-06-29,92.0,91.2,93.5,91.0,4550.0,0.0
2021-06-30,93.0,92.5,93.01,92.5,410.0,1.09
2021-07-01,92.52,93.0,93.0,92.51,1880.0,-0.52
2021-07-02,93.5,93.0,93.5,92.51,4470.0,1.06
2021-07-05,92.0,92.55,93.5,92.0,810.0,-1.6
2021-07-06,92.86,92.0,92.86,91.23,190.0,0.93
2021-07-07,92.48,92.5,92.51,92.48,13790.0,-0.41
2021-07-08,92.5,91.4,92.86,90.3,8029.999999999999,0.02
2021-07-09,92.02,92.99,92.99,91.5,1080.0,-0.52
2021-07-12,92.97,92.3,93.0,92.0,2240.0,1.03
2021-07-13,92.0,92.0,92.0,92.0,80.0,-1.04
2021-07-14,92.96,92.0,92.96,90.5,20920.0,1.04
2021-07-15,92.0,93.0,93.0,91.5,1170.0,-1.03
2021-07-16,92.88,91.1,92.88,91.07,80.0,0.96
2021-07-19,91.1,90.52,92.89,90.52,530.0,-1.92
2021-07-20,91.01,91.0,91.01,90.6,80.0,-0.1
2021-07-23,92.99,90.7,92.99,90.68,2570.0,2.18
2021-07-27,92.98,92.97,92.98,92.9,300.0,-0.01
2021-07-28,92.88,92.7,92.88,91.2,70.0,-0.11
2021-07-29,92.99,91.27,93.0,91.27,3100.0,0.12
2021-08-02,92.97,92.3,92.97,92.3,110.0,-0.02
2021-08-03,94.32,92.5,94.32,92.5,2009.9999999999998,1.45
2021-08-04,94.0,94.0,94.0,92.35,3190.0,-0.34
2021-08-05,93.98,94.0,94.0,91.56,480.0,-0.02
2021-08-06,92.5,93.9,93.9,92.5,1510.0,-1.57
2021-08-09,92.5,92.01,92.5,92.0,110.0,0.0
2021-08-11,93.47,93.5,93.5,93.47,70.0,1.05
2021-08-12,93.0,92.5,93.49,92.5,630.0,-0.5
2021-08-13,93.49,92.6,93.49,92.6,19590.0,0.53
2021-08-16,93.47,92.61,93.47,92.61,120.0,-0.02
2021-08-17,93.8,93.48,94.0,93.48,1180.0,0.35
2021-08-18,95.88,94.0,95.97,94.0,2890.0,2.22
2021-08-19,94.5,94.5,95.0,94.5,910.0,-1.44
2021-08-23,94.66,94.66,95.0,94.65,270.0,0.17
2021-08-24,95.61,94.67,98.0,94.67,1270.0,1.0
2021-08-25,94.0,95.62,97.79,94.0,8010.0,-1.68
2021-08-26,96.69,97.19,97.19,95.2,60.0,2.86
2021-08-27,94.0,94.35,94.35,94.0,21000.0,-2.78
2021-08-30,94.7,96.49,96.49,94.51,40.0,0.74
2021-08-31,95.1,95.11,96.99,95.1,8550.0,0.42
2021-09-01,95.0,95.0,95.5,95.0,890.0,-0.11
2021-09-02,95.0,95.99,95.99,94.9,1700.0,0.0
2021-09-03,96.0,93.5,96.46,93.5,2260.0,1.05
2021-09-06,96.0,96.9,97.0,95.5,1970.0,0.0
2021-09-07,98.0,96.0,98.0,96.0,6100.0,2.08
2021-09-08,99.5,97.85,99.5,97.85,2770.0,1.53
2021-09-09,99.5,98.0,100.5,98.0,6150.0,0.0
2021-09-10,99.5,98.1,100.0,98.0,10830.0,0.0
