Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2026-04-13,700.0,705.0,705.0,695.0,32030.0,-1.55
2026-04-14,700.2,704.0,709.0,700.2,103270.0,0.03
2026-04-15,703.0,696.1,708.0,696.1,49380.0,0.4
2026-04-16,703.0,702.3,705.0,700.7,34360.0,0.0
2026-04-17,715.0,703.0,723.0,701.1,201680.0,1.71
2026-04-20,710.0,703.0,710.0,703.0,46600.0,-0.7
2026-04-21,715.0,706.0,716.0,706.0,30250.0,0.7
2026-04-22,714.0,710.0,717.0,710.0,29330.0,-0.14
2026-04-23,710.0,711.0,715.0,710.0,23600.0,-0.56
2026-04-24,689.0,710.0,710.0,689.0,83850.0,-2.96
2026-04-27,691.8,697.0,705.0,691.1,22400.0,0.41
2026-04-28,692.1,692.0,700.1,692.0,24850.0,0.04
2026-04-29,698.9,699.9,700.0,693.0,19980.0,0.98
2026-04-30,696.0,695.0,700.0,690.1,36570.0,-0.41
2026-05-04,696.0,695.1,700.0,695.0,15250.0,0.0
2026-05-05,698.5,696.5,700.0,690.0,28550.0,0.36
2026-05-06,699.9,699.0,705.0,698.2,65660.0,0.2
2026-05-07,697.0,699.5,702.0,697.0,20400.0,-0.41
2026-05-08,699.8,699.9,699.9,696.5,10710.0,0.4
2026-05-11,698.0,700.0,701.0,698.0,12290.0,-0.26
2026-05-12,692.6,690.0,697.9,690.0,3380.0,-0.77
2026-05-13,691.0,693.0,700.0,691.0,21510.0,-0.23
