Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-06-01,83.43,83.43,83.43,83.43,0.0,-16.57
2021-08-06,78.0,78.0,78.0,78.0,610.0,-6.51
2021-08-09,78.0,78.0,78.0,78.0,840.0,0.0
2021-08-11,78.0,78.0,78.0,78.0,190.0,0.0
2021-08-12,78.0,78.0,78.0,78.0,30.0,0.0
2021-08-13,78.0,78.0,78.0,78.0,30.0,0.0
2021-08-16,78.0,78.0,78.0,78.0,40.0,0.0
2021-08-17,76.55,76.55,76.55,76.55,0.0,-1.86
2021-08-18,78.0,78.0,78.0,78.0,50.0,1.89
2021-08-19,78.0,78.0,78.0,78.0,100.0,0.0
2021-08-23,78.0,78.0,78.0,78.0,790.0,0.0
2021-08-25,79.55,79.55,79.55,79.55,170.0,1.99
2021-08-26,81.14,81.14,81.14,81.14,10.0,2.0
2021-08-27,82.76,82.76,82.76,82.76,60.0,2.0
2021-09-10,84.41,84.41,84.41,84.41,0.0,1.99
2021-09-20,86.09,86.09,86.09,86.09,0.0,1.99
2021-09-28,84.5,84.5,84.5,84.5,0.0,-1.85
2021-09-29,86.0,86.0,86.0,86.0,0.0,1.78
2021-10-04,87.71,87.71,87.71,87.71,10.0,1.99
2021-10-06,85.97,85.97,85.97,85.97,190.0,-1.98
2021-10-07,86.05,86.05,86.05,86.05,2610.0,0.09
2021-10-21,89.45,89.45,89.45,89.45,10.0,3.95
2021-10-22,93.0,93.0,93.0,93.0,10.0,3.97
2021-10-26,95.0,95.0,95.0,95.0,10.0,2.15
2021-10-27,95.0,95.0,95.0,95.0,10.0,0.0
2021-10-28,97.99,97.99,97.99,97.99,20.0,3.15
2021-10-29,101.9,101.9,101.9,101.9,20.0,3.99
2021-11-02,105.5,105.5,105.5,105.5,20.0,3.53
2021-11-03,105.5,105.5,105.5,105.5,10.0,0.0
2021-11-04,108.0,108.0,108.0,108.0,10.0,2.37
2021-11-05,108.0,108.0,108.0,108.0,0.0,0.0
2021-11-08,112.3,112.3,112.3,112.3,40.0,3.98
2021-11-09,116.75,116.75,116.75,116.75,30.0,3.96
2021-11-11,118.0,118.0,118.0,118.0,30.0,1.07
2021-11-12,122.5,122.5,122.5,122.5,10.0,3.81
2021-11-15,125.0,125.0,125.0,125.0,50.0,2.04
2021-11-16,129.0,129.0,129.0,129.0,40.0,3.2
2021-11-17,129.0,129.0,129.0,129.0,50.0,0.0
2021-11-19,133.0,133.0,133.0,133.0,0.0,3.1
2021-11-22,133.0,133.0,133.0,133.0,30.0,0.0
2021-11-25,136.0,136.0,136.0,136.0,10.0,2.26
2021-11-26,136.0,136.0,136.0,136.0,10.0,0.0
2021-11-29,130.6,130.6,130.6,130.6,10.0,-3.97
2021-12-02,125.4,125.4,125.4,125.4,0.0,-3.98
2021-12-03,120.4,120.4,120.4,120.4,20.0,-3.99
2021-12-06,115.6,115.6,115.6,115.6,20.0,-3.99
2021-12-07,114.0,114.0,114.0,114.0,20.0,-1.38
2021-12-09,109.5,109.5,109.5,109.5,60.0,-3.95
2021-12-13,110.0,110.0,110.0,110.0,60.0,0.46
2021-12-17,108.0,108.0,108.0,108.0,90.0,-1.82
2021-12-20,108.0,108.0,108.0,108.0,130.0,0.0
2021-12-23,109.0,109.0,109.0,109.0,10.0,0.93
2021-12-27,110.0,110.0,110.0,110.0,0.0,0.92
2022-01-07,113.0,113.0,113.0,113.0,20.0,2.73
2022-01-13,113.5,113.5,113.5,113.5,30.0,0.44
2022-01-17,115.0,115.0,115.0,115.0,10.0,1.32
2022-01-18,119.5,119.5,119.5,119.5,0.0,3.91
2022-01-20,119.5,119.5,119.5,119.5,0.0,0.0
2022-02-04,114.75,114.75,114.75,114.75,10.0,-3.97
2022-02-10,119.3,119.3,119.3,119.3,0.0,3.97
2022-02-11,124.0,124.0,124.0,124.0,0.0,3.94
2022-02-15,124.0,124.0,124.0,124.0,0.0,0.0
2022-02-17,120.0,120.0,120.0,120.0,0.0,-3.23
2022-02-21,117.0,117.0,117.0,117.0,20.0,-2.5
2022-02-25,117.0,117.0,117.0,117.0,10.0,0.0
2022-03-08,113.0,113.0,113.0,113.0,10.0,-3.42
2022-03-11,116.0,116.0,116.0,116.0,10.0,2.65
2022-03-14,120.6,120.6,120.6,120.6,40.0,3.97
2022-03-21,120.8,120.8,120.8,120.8,20.0,0.17
2022-04-11,125.6,125.6,125.6,125.6,0.0,3.97
2022-04-13,120.7,120.7,120.7,120.7,520.0,-3.9
2022-04-15,125.0,125.0,125.0,125.0,0.0,3.56
2022-04-19,125.0,125.0,125.0,125.0,0.0,0.0
2022-04-20,129.0,129.0,129.0,129.0,20.0,3.2
2022-04-26,130.0,130.0,130.0,130.0,10.0,0.78
2022-04-27,135.0,135.0,135.0,135.0,0.0,3.85
2022-04-28,129.65,129.65,129.65,129.65,0.0,-3.96
2022-04-29,126.0,126.0,126.0,126.0,200.0,-2.82
2022-05-09,127.5,127.5,127.5,127.5,10.0,1.19
2022-05-10,125.0,125.0,125.0,125.0,20.0,-1.96
2022-05-12,125.0,125.0,125.0,125.0,10.0,0.0
2022-05-16,129.0,129.0,129.0,129.0,10.0,3.2
2022-05-31,134.0,134.0,134.0,134.0,10.0,3.88
2022-06-08,134.0,134.0,134.0,134.0,10.0,0.0
2022-06-27,138.5,138.5,138.5,138.5,0.0,3.36
2022-08-19,135.0,135.0,135.0,135.0,0.0,-2.53
2022-08-25,135.0,135.0,135.0,135.0,0.0,0.0
2022-09-26,140.0,140.0,140.0,140.0,0.0,3.7
2022-09-27,145.55,145.55,145.55,145.55,1070.0,3.96
2022-09-30,141.0,141.0,141.0,141.0,0.0,-3.13
2022-10-03,140.0,140.0,140.0,140.0,10.0,-0.71
2022-10-20,145.0,145.0,145.0,145.0,10.0,3.57
2022-10-27,150.0,150.0,150.0,150.0,60.0,3.45
2022-10-31,151.0,151.0,151.0,151.0,530.0,0.67
2022-11-10,151.0,151.0,151.0,151.0,0.0,0.0
2022-11-11,151.0,151.0,151.0,151.0,30.0,0.0
2022-11-17,157.0,157.0,157.0,157.0,400.0,3.97
2022-11-29,160.0,160.0,160.0,160.0,20.0,1.91
2022-12-06,165.0,165.0,165.0,165.0,350.0,3.13
2022-12-21,165.0,165.0,165.0,165.0,710.0,0.0
2023-01-18,158.45,158.45,158.45,158.45,0.0,-3.97
2023-01-19,160.0,160.0,160.0,160.0,0.0,0.98
2023-03-13,160.0,160.0,160.0,160.0,0.0,0.0
2023-05-02,166.35,166.35,166.35,166.35,10.0,3.97
2023-05-08,173.0,173.0,173.0,173.0,0.0,4.0
2023-05-17,170.5,170.5,170.5,170.5,0.0,-1.45
2023-05-29,163.7,163.7,163.7,163.7,0.0,-3.99
2023-06-13,160.0,160.0,160.0,160.0,0.0,-2.26
2023-06-14,160.0,160.0,160.0,160.0,10.0,0.0
2023-06-21,155.0,155.0,155.0,155.0,0.0,-3.13
2023-06-22,155.5,155.5,155.5,155.5,0.0,0.32
2023-06-26,155.0,155.0,155.0,155.0,10.0,-0.32
2023-07-26,155.0,155.0,155.0,155.0,100.0,0.0
2023-08-02,161.15,161.15,161.15,161.15,0.0,3.97
2023-08-10,164.95,164.95,164.95,164.95,0.0,2.36
2023-08-11,161.2,161.2,161.2,161.2,50.0,-2.27
2023-09-07,155.0,155.0,155.0,155.0,10.0,-3.85
2023-09-26,161.15,161.15,161.15,161.15,0.0,3.97
2023-10-06,167.55,167.55,167.55,167.55,0.0,3.97
2023-10-09,174.0,174.0,174.0,174.0,10.0,3.85
2023-11-14,183.0,183.0,183.0,183.0,60.0,5.17
2023-12-21,185.0,185.0,185.0,185.0,10.0,1.09
2024-01-12,196.05,196.05,196.05,196.05,0.0,5.97
2024-01-17,201.0,201.0,201.0,201.0,0.0,2.52
2024-02-02,210.0,210.0,210.0,210.0,500.0,4.48
2024-02-19,212.0,212.0,212.0,212.0,0.0,0.95
2024-02-29,220.0,220.0,220.0,220.0,2009.9999999999998,3.77
2024-03-01,220.0,220.0,220.0,220.0,260.0,0.0
2024-03-04,233.15,233.15,233.15,233.15,0.0,5.98
2024-03-05,219.2,219.2,219.2,219.2,580.0,-5.98
2024-03-07,219.2,219.2,219.2,219.2,0.0,0.0
2024-04-01,219.2,219.2,219.2,219.2,0.0,0.0
2024-04-02,219.2,219.2,219.2,219.2,230.0,0.0
