Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-05,620,620,620,620,1400.0,-2.82
2021-01-06,615,620,620,615,220.0,-0.81
2021-01-07,620,620,620,620,270.0,0.83
2021-01-08,620,630,630,620,3120.0,0.0
2021-01-12,630,630,630,630,2800.0,1.56
2021-01-13,640,630,640,630,2510.0,1.59
2021-01-14,645,633,645,630,5730.0,0.78
2021-01-15,650,650,650,650,50.0,0.78
2021-01-18,670,645,670,645,2050.0,3.08
2021-01-19,670,670,670,670,15600.0,0.0
2021-01-20,671,670,693,670,110.0,0.15
2021-01-21,669,671,680,665,16620.0,-0.3
2021-01-22,670,670,670,669,13920.0,0.13
2021-01-25,683,683,683,683,0.0,1.99
2021-01-26,700,679,710,679,6220.0,2.46
2021-01-28,690,690,690,690,100.0,-1.43
2021-01-29,683,690,690,683,5880.0,-1.01
2021-02-01,688,688,688,688,1500.0,0.73
2021-02-03,710,699,710,695,630.0,3.2
2021-02-04,700,700,705,700,150.0,-1.41
2021-02-05,700,700,700,700,90.0,0.0
2021-02-08,700,700,700,700,1660.0,0.0
2021-02-09,694,700,700,694,4220.0,-0.84
2021-02-10,667,691,691,667,7200.0,-3.96
2021-02-11,660,667,667,660,60.0,-0.98
2021-02-12,686,660,686,660,180.0,3.94
2021-02-15,670,670,670,670,650.0,-2.33
2021-02-19,680,662,680,662,80.0,1.49
2021-02-24,680,680,680,680,0.0,0.0
2021-02-26,653,679,680,653,290.0,-3.96
2021-03-02,679,679,679,679,140.0,3.98
2021-03-11,660,660,660,652,1530.0,-2.8
2021-03-12,660,660,670,660,1610.0,0.0
2021-03-15,660,660,660,660,30.0,0.0
2021-03-17,655,655,657,655,6480.0,-0.76
2021-03-18,664,664,664,664,0.0,1.36
2021-03-19,655,655,655,655,10.0,-1.34
2021-03-22,665,665,665,655,1800.0,1.53
2021-03-23,677,668,677,650,60.0,1.79
2021-03-24,700,677,703,677,7430.0,3.41
2021-03-25,700,700,700,700,60.0,0.0
2021-03-26,720,700,727,700,6800.0,2.83
2021-03-29,700,719,719,700,230.0,-2.75
2021-03-30,700,685,710,685,1380.0,0.0
2021-03-31,710,708,710,700,750.0,1.41
2021-04-01,720,715,734,715,8980.0,1.42
2021-04-02,715,720,720,715,370.0,-0.69
2021-04-05,720,728,729,720,570.0,0.7
2021-04-06,717,729,735,717,24280.0,-0.42
2021-04-07,720,717,720,717,160.0,0.42
2021-04-08,719,717,725,717,1730.0,-0.14
2021-04-09,714,723,723,714,2630.0,-0.7
2021-04-12,712,714,714,710,120.0,-0.28
2021-04-13,710,710,710,710,70.0,-0.28
2021-04-14,710,710,722,710,1920.0,0.0
2021-04-15,710,710,710,710,190.0,0.0
2021-04-16,710,710,710,710,0.0,0.0
2021-04-19,700,700,700,700,200.0,-1.41
2021-04-20,710,715,715,700,16670.0,1.41
2021-04-21,695,697,697,695,9500.0,-2.1
2021-04-22,709,709,709,708,90.0,2.01
2021-04-23,708,696,708,695,90.0,-0.14
2021-04-26,695,696,696,695,8100.0,-1.84
2021-04-27,695,707,707,695,770.0,0.0
2021-04-28,705,707,707,695,6500.0,1.44
2021-04-29,696,696,696,696,1500.0,-1.28
2021-04-30,696,696,696,696,5220.0,0.0
2021-05-03,700,707,708,700,3440.0,0.57
2021-05-04,700,702,702,700,8080.0,0.0
2021-05-05,708,705,708,705,3520.0,1.11
2021-05-06,707,708,715,707,9820.0,-0.11
2021-05-07,695,710,710,695,6750.0,-1.7
2021-05-10,705,695,705,695,200.0,1.44
2021-05-11,705,705,705,705,1000.0,0.0
2021-05-12,700,705,708,695,11330.0,-0.71
2021-05-17,728,700,728,700,11440.0,3.99
2021-05-18,733,733,733,733,0.0,0.69
2021-05-19,704,710,728,704,108760.0,-4.0
2021-05-20,660,687,687,657,78720.0,-6.2
2021-05-21,684,662,684,662,10.0,3.62
