Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,252.5,252.5,252.5,252.5,0.0,1.12
2021-01-05,249.6,248.5,249.6,246.55,820.0,-1.15
2021-01-06,244.0,246.05,249.55,244.0,4820.0,-2.24
2021-01-07,247.0,249.5,249.5,245.0,10.0,1.23
2021-01-08,246.0,245.1,246.0,245.0,3950.0,-0.4
2021-01-12,249.0,247.0,249.0,243.1,2009.9999999999998,1.22
2021-01-13,244.05,249.0,249.0,244.05,20.0,-1.99
2021-01-14,250.0,244.9,250.0,244.9,13970.0,2.44
2021-01-15,253.5,250.0,253.5,250.0,76970.0,1.4
2021-01-18,255.0,252.0,255.9,250.0,7360.0,0.59
2021-01-19,256.0,255.0,257.0,251.85,57170.0,0.39
2021-01-20,257.5,256.95,257.5,256.0,20720.0,0.59
2021-01-21,252.7,256.0,257.95,252.7,32150.0,-1.86
2021-01-22,256.95,250.8,257.5,250.8,104330.0,1.68
2021-01-25,257.0,251.45,257.0,251.45,36160.0,0.02
2021-01-26,259.95,257.75,260.0,257.75,63580.0,1.15
2021-01-27,257.65,258.5,258.5,257.55,4250.0,-0.88
2021-01-28,257.25,257.25,257.25,257.2,1900.0,-0.16
2021-01-29,258.95,258.0,258.95,257.2,22800.0,0.66
2021-02-01,257.1,258.95,258.95,254.1,4900.0,-0.71
2021-02-02,257.1,257.0,258.0,254.2,10230.0,0.0
2021-02-03,256.2,254.0,258.55,254.0,6400.0,-0.35
2021-02-04,255.1,255.05,256.5,255.05,14750.0,-0.43
2021-02-05,256.25,256.0,256.25,256.0,37360.0,0.45
2021-02-08,258.0,256.0,258.0,256.0,54610.0,0.68
2021-02-09,254.75,255.0,258.0,254.7,47690.0,-1.26
2021-02-10,254.0,257.9,257.9,251.1,2020.0,-0.29
2021-02-11,253.0,257.7,257.7,251.2,35120.0,-0.39
2021-02-12,253.1,257.8,257.8,251.0,44910.0,0.04
2021-02-15,253.3,253.1,253.3,253.1,1010.0,0.08
2021-02-16,254.0,256.25,256.4,251.3,3140.0,0.28
2021-02-17,254.05,254.0,254.05,254.0,11150.0,0.02
2021-02-18,255.0,252.0,256.0,252.0,10210.0,0.37
2021-02-19,254.9,252.25,254.9,252.25,70.0,-0.04
2021-02-22,254.9,252.3,255.0,252.25,3000.0,0.0
2021-02-23,251.0,252.0,252.0,250.0,6060.0,-1.53
