Date,Dernier,Ouv.,Plus Haut,Plus Bas,Vol.,Variation %
2021-01-04,151.67,148.71,151.67,148.71,110.0,-1.25
2021-01-05,148.71,148.71,151.67,148.71,11080.0,-1.95
2021-01-06,149.01,148.96,149.06,148.96,1590.0,0.2
2021-01-07,150.19,149.06,150.19,149.06,16149.999999999998,0.79
2021-01-08,149.75,149.75,149.75,149.75,50.0,-0.29
2021-01-13,149.11,149.2,152.55,149.11,2880.0,-0.43
2021-01-14,148.81,149.2,149.2,148.81,1340.0,-0.2
2021-01-15,151.67,148.86,152.65,148.86,820.0,1.92
2021-01-18,151.67,151.67,151.67,149.7,90.0,0.0
2021-01-19,153.64,149.7,154.47,149.7,19510.0,1.3
2021-01-20,154.42,151.32,154.47,151.32,3410.0,0.51
2021-01-21,153.64,154.42,154.42,153.64,160.0,-0.51
2021-01-22,156.59,150.68,156.59,150.68,38720.0,1.92
2021-01-26,159.54,156.49,159.54,153.04,19050.0,1.89
2021-01-27,157.58,159.5,159.5,157.58,630.0,-1.23
2021-01-28,157.58,157.58,158.56,157.58,190.0,0.0
2021-01-29,158.46,157.58,158.56,157.58,6040.0,0.56
2021-02-01,156.59,156.59,157.58,156.59,12130.0,-1.18
2021-02-02,157.58,155.21,157.58,153.64,3000.0,0.63
2021-02-03,159.05,155.65,159.05,155.65,29820.0,0.94
2021-02-04,157.67,157.58,159.54,157.58,46600.0,-0.87
2021-02-05,157.67,160.43,160.43,157.67,30720.0,0.0
2021-02-08,158.66,160.24,160.38,158.66,15660.0,0.62
2021-02-09,158.66,159.05,160.14,158.66,27670.0,0.0
2021-02-10,157.58,158.66,158.71,157.48,1100.0,-0.68
2021-02-11,157.43,154.82,157.43,152.65,530.0,-0.09
2021-02-12,157.08,157.08,157.08,157.08,100.0,-0.22
2021-02-15,156.1,152.45,156.49,152.45,5090.0,-0.63
2021-02-17,153.24,153.24,153.24,153.24,20.0,-1.83
2021-02-18,154.62,153.24,155.56,150.19,1290.0,0.9
2021-02-19,152.7,156.89,156.89,152.7,530.0,-1.24
2021-02-22,155.11,155.75,155.75,155.11,1560.0,1.58
2021-02-24,150.58,152.65,152.65,150.58,24590.0,-2.92
2021-02-25,152.65,149.7,152.65,149.7,5350.0,1.37
2021-02-26,152.65,154.13,156.39,149.85,29850.0,0.0
2021-03-01,152.65,149.89,155.06,149.89,5080.0,0.0
2021-03-02,147.88,151.67,151.67,147.73,2180.0,-3.13
2021-03-03,148.71,150.63,150.63,148.71,200.0,0.57
2021-03-05,147.48,147.73,148.22,147.48,2780.0,-0.83
2021-03-08,145.81,147.73,147.73,145.76,280.0,-1.14
2021-03-09,146.3,149.65,149.65,146.3,190.0,0.34
2021-03-11,146.35,146.3,146.35,146.3,490.0,0.03
2021-03-12,150.39,150.39,150.39,150.39,35350.0,2.76
2021-03-15,150.39,150.39,150.39,150.39,1570.0,0.0
2021-03-16,146.74,147.73,147.73,146.74,40.0,-2.42
2021-03-17,150.29,147.73,150.29,147.73,430.0,2.42
2021-03-18,154.42,150.29,154.42,150.29,2410.0,2.75
2021-03-19,155.61,152.16,155.61,152.16,7320.0,0.77
2021-03-22,154.57,149.89,155.61,149.89,40.0,-0.66
2021-03-23,148.71,152.65,152.65,148.71,10180.0,-3.79
2021-03-24,154.62,151.67,154.62,151.67,3320.0,3.97
2021-03-25,158.56,154.57,158.56,154.57,50920.0,2.55
2021-03-26,157.58,158.71,158.71,157.58,44680.0,-0.62
2021-03-29,151.67,152.7,152.7,151.67,430.0,-3.75
2021-03-30,156.1,154.62,156.1,154.62,12690.0,2.92
2021-03-31,154.52,154.62,154.62,154.52,71080.0,-1.01
2021-04-01,157.58,156.59,157.58,152.7,2980.0,1.98
2021-04-02,158.46,158.07,158.56,158.07,130.0,0.56
2021-04-05,157.58,152.26,157.58,152.26,6600.0,-0.56
2021-04-06,157.92,157.92,157.92,157.92,10.0,0.22
